pair_id,label,method,horizon_ms,block_index,target_frame_index,target_frame_start_sample,target_reference_sample,target_time_s,target_odd_cfo_hz,cutoff_sample,cutoff_time_s,training_cutoff_frame_start_sample,training_stop_reference_sample,training_stop_time_s,last_training_age_ms,actual_forecast_s,selected_history_ms,cfo_hz_at_cutoff,rate_hz_s,prediction_hz,prediction_sigma_hz,odd_residual_hz
D1:124551941:312500samples,D1,fixed_125ms,125.0,49,615,124551941,124553613,49.8214452,-191688.8404,124241113,49.6964452,124238607,124240279,49.6961116,0.3336,0.1253336,125.0,-191218.22981596307,-3797.8451820353307,-191694.22742487022,31.721697002024925,5.387024870229652
D1:124551941:312500samples,D1,fixed_500ms,125.0,49,615,124551941,124553613,49.8214452,-191688.8404,124241113,49.6964452,124238607,124240279,49.6961116,0.3336,0.1253336,500.0,-191209.3912456082,-3696.024790437386,-191672.62733828294,8.547282675086874,-16.21306171704782
D1:124551941:312500samples,D1,adaptive_75_500ms,125.0,49,615,124551941,124553613,49.8214452,-191688.8404,124241113,49.6964452,124238607,124240279,49.6961116,0.3336,0.1253336,500.0,-191209.3912456082,-3696.024790437386,-191672.62733828294,8.547282675086874,-16.21306171704782
D1:124601941:312500samples,D1,fixed_125ms,125.0,49,630,124601941,124603613,49.8414452,-191778.454621,124291113,49.7164452,124281941,124283613,49.7134452,3.0,0.128,125.0,-191280.36580246518,-3735.1624774932416,-191758.46659958432,31.569462666838774,-19.9880214156874
D1:124601941:312500samples,D1,fixed_500ms,125.0,49,630,124601941,124603613,49.8414452,-191778.454621,124291113,49.7164452,124281941,124283613,49.7134452,3.0,0.128,500.0,-191273.97745353976,-3696.6696744100914,-191747.15117186424,8.55556428544458,-31.30344913576846
D1:124601941:312500samples,D1,adaptive_75_500ms,125.0,49,630,124601941,124603613,49.8414452,-191778.454621,124291113,49.7164452,124281941,124283613,49.7134452,3.0,0.128,500.0,-191273.97745353976,-3696.6696744100914,-191747.15117186424,8.55556428544458,-31.30344913576846
D1:124651941:312500samples,D1,fixed_125ms,125.0,49,645,124651941,124653613,49.8614452,-191846.73216,124341113,49.7364452,124338607,124340279,49.7361116,0.3336,0.1253336,125.0,-191390.90464435992,-4048.4186001741505,-191898.3075218267,30.516873071161314,51.575361826689914
D1:124651941:312500samples,D1,fixed_500ms,125.0,49,645,124651941,124653613,49.8614452,-191846.73216,124341113,49.7364452,124338607,124340279,49.7361116,0.3336,0.1253336,500.0,-191366.59081822966,-3725.1188516807365,-191833.47337433868,8.532849059595081,-13.258785661339061
D1:124651941:312500samples,D1,adaptive_75_500ms,125.0,49,645,124651941,124653613,49.8614452,-191846.73216,124341113,49.7364452,124338607,124340279,49.7361116,0.3336,0.1253336,500.0,-191366.59081822966,-3725.1188516807365,-191833.47337433868,8.532849059595081,-13.258785661339061
D1:124701941:312500samples,D1,fixed_125ms,125.0,49,660,124701941,124703613,49.8814452,-191922.407227,124391113,49.7564452,124388607,124390279,49.7561116,0.3336,0.1253336,125.0,-191452.50436398998,-3842.3786255245986,-191934.08350969004,29.742026000171112,11.676282690052176
D1:124701941:312500samples,D1,fixed_500ms,125.0,49,660,124701941,124703613,49.8814452,-191922.407227,124391113,49.7564452,124388607,124390279,49.7561116,0.3336,0.1253336,500.0,-191440.5313724822,-3724.990904726537,-191907.39789253884,8.31925028164358,-15.00933446115232
D1:124701941:312500samples,D1,adaptive_75_500ms,125.0,49,660,124701941,124703613,49.8814452,-191922.407227,124391113,49.7564452,124388607,124390279,49.7561116,0.3336,0.1253336,500.0,-191440.5313724822,-3724.990904726537,-191907.39789253884,8.31925028164358,-15.00933446115232
D1:124751941:312500samples,D1,fixed_125ms,125.0,49,675,124751941,124753613,49.9014452,-192002.39537,124441113,49.7764452,124438607,124440279,49.7761116,0.3336,0.1253336,125.0,-191520.94779617933,-3741.503944243978,-191989.88395492564,29.96613919596769,-12.511415074375691
D1:124751941:312500samples,D1,fixed_500ms,125.0,49,675,124751941,124753613,49.9014452,-192002.39537,124441113,49.7764452,124438607,124440279,49.7761116,0.3336,0.1253336,500.0,-191515.07127620882,-3726.4030374598997,-191982.11478394462,8.28518434847705,-20.280586055392632
D1:124751941:312500samples,D1,adaptive_75_500ms,125.0,49,675,124751941,124753613,49.9014452,-192002.39537,124441113,49.7764452,124438607,124440279,49.7761116,0.3336,0.1253336,500.0,-191515.07127620882,-3726.4030374598997,-191982.11478394462,8.28518434847705,-20.280586055392632
D1:124801941:312500samples,D1,fixed_125ms,125.0,49,690,124801941,124803613,49.9214452,-192043.625544,124491113,49.7964452,124488607,124490279,49.7961116,0.3336,0.1253336,125.0,-191585.31426074347,-3609.1913533090783,-192037.66720614256,32.0502303819034,-5.958337857446168
D1:124801941:312500samples,D1,fixed_500ms,125.0,49,690,124801941,124803613,49.9214452,-192043.625544,124491113,49.7964452,124488607,124490279,49.7961116,0.3336,0.1253336,500.0,-191590.7497578748,-3738.5510371632604,-192059.3158181462,8.304123373460156,15.690274146181764
D1:124801941:312500samples,D1,adaptive_75_500ms,125.0,49,690,124801941,124803613,49.9214452,-192043.625544,124491113,49.7964452,124488607,124490279,49.7961116,0.3336,0.1253336,500.0,-191590.7497578748,-3738.5510371632604,-192059.3158181462,8.304123373460156,15.690274146181764
D1:124851941:312500samples,D1,fixed_125ms,125.0,49,705,124851941,124853613,49.9414452,-192137.98177,124541113,49.8164452,124538607,124540279,49.8161116,0.3336,0.1253336,125.0,-191646.65687168084,-3412.4243817378247,-192074.3483041718,30.553499420208194,-63.633465828199405
D1:124851941:312500samples,D1,fixed_500ms,125.0,49,705,124851941,124853613,49.9414452,-192137.98177,124541113,49.8164452,124538607,124540279,49.8161116,0.3336,0.1253336,500.0,-191663.77101764356,-3735.7522606323278,-192131.98629717674,8.226595498741728,-5.995472823269665
D1:124851941:312500samples,D1,adaptive_75_500ms,125.0,49,705,124851941,124853613,49.9414452,-192137.98177,124541113,49.8164452,124538607,124540279,49.8161116,0.3336,0.1253336,500.0,-191663.77101764356,-3735.7522606323278,-192131.98629717674,8.226595498741728,-5.995472823269665
D1:124901941:312500samples,D1,fixed_125ms,125.0,49,720,124901941,124903613,49.9614452,-192199.257703,124591113,49.8364452,124581941,124583613,49.8334452,3.0,0.128,125.0,-191710.01286248188,-3412.967552940996,-192146.8727092583,30.725674935916718,-52.384993741696235
D1:124901941:312500samples,D1,fixed_500ms,125.0,49,720,124901941,124903613,49.9614452,-192199.257703,124591113,49.8364452,124581941,124583613,49.8334452,3.0,0.128,500.0,-191728.28019783532,-3735.7898532731815,-192206.4612990543,8.187592136022552,7.203596054285299
D1:124901941:312500samples,D1,adaptive_75_500ms,125.0,49,720,124901941,124903613,49.9614452,-192199.257703,124591113,49.8364452,124581941,124583613,49.8334452,3.0,0.128,500.0,-191728.28019783532,-3735.7898532731815,-192206.4612990543,8.187592136022552,7.203596054285299
