group_id,mode,time_s,phase_rad,valid,weight,retune_id,visit_index,window_start_sample,split,device_counter,frame_count,relative_frequency_hz,common_rx1_minus_rx0_authority_hz,canonical_cfo_hz,alias_group
visit-52,m0,0.0105,-0.5000281771373865,True,0.7313077239529648,visit-52,52,70000,training,492216168758,4,647106.7671384234,647448.5725768767,16033.389177419856,visit-52-canonical-2
visit-52,m1,0.0105,1.6103731306197777,True,0.836459762899191,visit-52,52,70000,training,492216168758,4,647796.4258486268,647448.5725768767,50898.53152517945,visit-52-canonical-5
visit-52,m0,0.0175,1.1956059334638882,True,0.7793007019139301,visit-52,52,140000,training,492216238758,4,647227.6964707205,647448.5725768767,16033.389177419856,visit-52-canonical-2
visit-52,m1,0.0175,1.426390052336448,True,0.7255148588971333,visit-52,52,140000,training,492216238758,4,647076.07554493,647448.5725768767,50898.53152517945,visit-52-canonical-5
visit-52,m0,0.0245,1.919664047290602,True,0.8569498286758237,visit-52,52,210000,training,492216308758,5,647475.6530125389,647448.5725768767,16033.389177419856,visit-52-canonical-2
visit-52,m1,0.0245,2.0816014166472256,True,0.9213340497975896,visit-52,52,210000,training,492216308758,5,647482.5218155981,647448.5725768767,50898.53152517945,visit-52-canonical-5
visit-52,m0,0.0315,2.435367599090939,True,0.8201655171679114,visit-52,52,280000,evaluation,492216378758,4,647211.9740012485,647448.5725768767,16033.389177419856,visit-52-canonical-2
visit-52,m1,0.0315,-1.2641556689619444,True,0.9453416125765092,visit-52,52,280000,evaluation,492216378758,4,647396.3659544879,647448.5725768767,50898.53152517945,visit-52-canonical-5
visit-52,m0,0.0385,0.7614803748901018,True,0.7870371225870268,visit-52,52,350000,evaluation,492216448758,4,647264.7661864478,647448.5725768767,16033.389177419856,visit-52-canonical-2
visit-52,m1,0.0385,1.1031345430869375,True,0.8465149304728996,visit-52,52,350000,evaluation,492216448758,4,647533.2545963991,647448.5725768767,50898.53152517945,visit-52-canonical-5
visit-52,m0,0.0455,-2.573256698718992,True,0.8373689198525601,visit-52,52,420000,evaluation,492216518758,4,647506.8792663118,647448.5725768767,16033.389177419856,visit-52-canonical-2
visit-52,m1,0.0455,1.116319648123467,True,0.8501865976271837,visit-52,52,420000,evaluation,492216518758,4,647104.4212039909,647448.5725768767,50898.53152517945,visit-52-canonical-5
visit-52,m0,0.0525,-2.051415961190044,True,0.7327820734919273,visit-52,52,490000,evaluation,492216588758,5,647467.7279392765,647448.5725768767,16033.389177419856,visit-52-canonical-2
