track_rank,arm,fold,rank,norad,name,train_rms_hz,holdout_rms_hz
3,glrt_pss_gated,reverse,6,63560,STARLINK-11592,1424.2108022164848,9316.032952532358
3,glrt_pss_gated,reverse,7,68171,STARLINK-37034,1978.6128534938155,8585.486821649407
3,glrt_pss_gated,reverse,8,58089,STARLINK-30584,2134.577312600885,4730.052757172741
3,glrt_pss_gated,reverse,9,59404,STARLINK-31374,2673.3987596725087,6601.781807387275
3,glrt_pss_gated,reverse,10,57991,STARLINK-30537,2691.494265207185,9249.912187405882
3,glrt_pss_gated,reverse,11,48142,STARLINK-2485,3278.317625441541,13114.119187871253
3,glrt_pss_gated,reverse,12,57527,STARLINK-30250,3369.37212139114,9170.06612981405
3,glrt_pss_gated,reverse,13,66967,STARLINK-36136,3526.127514812844,11933.97159754213
3,glrt_pss_gated,reverse,14,57666,STARLINK-30301,3749.3361690626907,12949.938024289648
3,glrt_pss_gated,reverse,15,55393,STARLINK-4786,3779.163593280046,10074.076464016478
3,glrt_pss_gated,reverse,16,45064,STARLINK-1133,3921.4645627381306,11478.288679519961
3,glrt_pss_gated,reverse,17,58631,STARLINK-31064,4496.300646716405,16001.317232457592
3,glrt_pss_gated,reverse,18,50180,STARLINK-3265,4498.391849502793,14277.82882102579
3,glrt_pss_gated,reverse,19,53064,STARLINK-4313,4992.315985940479,15985.593374340524
3,glrt_pss_gated,reverse,20,47993,STARLINK-2273,5201.170790344575,11501.952869889265
3,glrt_pss_gated,reverse,21,63997,STARLINK-34165,5208.5595692857105,16748.464002119348
3,glrt_pss_gated,reverse,22,64370,STARLINK-11732,5314.12170625292,15640.400216488433
3,glrt_pss_gated,reverse,23,64426,STARLINK-34432,5359.2157601105755,14984.373110225142
3,glrt_pss_gated,reverse,24,60733,STARLINK-32253,5435.6148763117035,17783.068680743432
3,glrt_pss_gated,reverse,25,63779,STARLINK-33881,5436.650965382685,16608.44792973231
3,pss_precise,forward,1,57991,STARLINK-30537,311.1430026157119,1421.5197836209622
3,pss_precise,forward,2,68171,STARLINK-37034,396.2005583142173,2750.1806160042124
3,pss_precise,forward,3,55393,STARLINK-4786,411.0339293518774,616.0927985836792
3,pss_precise,forward,4,45064,STARLINK-1133,430.0387690748522,1367.6373337324367
3,pss_precise,forward,5,57527,STARLINK-30250,634.2276338844121,749.6948876297294
3,pss_precise,forward,6,47993,STARLINK-2273,640.2500853966678,3058.4629437302015
3,pss_precise,forward,7,61055,STARLINK-11268,642.7211096245545,4446.36779442082
3,pss_precise,forward,8,66967,STARLINK-36136,853.356944277516,1165.6926303249322
3,pss_precise,forward,9,63560,STARLINK-11592,906.1004673913048,3786.7812899727064
