segment_index,segment_qualified,frame_index,capture_time_s,measurement_supported,absolute_cfo_measurement_hz,tracked_absolute_cfo_hz,frozen_model_cfo_hz,measurement_residual_hz,tracked_residual_hz,tracked_doppler_rate_hz_s,phase_innovation_modulo_pi_rad,phase_update_applied,frequency_update_applied
176,False,15,52.245733200000004,True,-70844.20164397825,-70853.17429758939,-70881.80692966488,37.60528568662994,28.6326320754888,-7583.320573734354,0.09453128039852654,True,True
176,False,16,52.2470664,True,-70833.68074119701,-70868.13684302104,-70887.51385758293,53.83311638592568,19.377014561890974,-8524.114057644036,-0.11182857623895615,True,True
176,False,17,52.248400000000004,True,-70835.58120886653,-70873.28455071032,-70893.22249775061,57.64128888408595,19.937947040292784,-7371.3562605108045,0.11237161324239864,True,True
176,False,18,52.2497332,True,-70832.46440541004,-70856.67608190548,-70898.92942566868,66.46502025864902,42.25334376320825,-3181.891943130787,0.6273471865876283,True,True
176,False,19,52.2510664,True,-70813.73587925856,-70859.12693663234,-70904.63635358674,90.90047432818392,45.509416954402695,-2916.2731501209964,0.04047933328725195,True,True
176,False,20,52.2524,True,-70795.59273729964,-70855.15466521887,-70910.34499375442,114.75225645478349,55.19032853555109,-1911.3838819522502,0.25132770831321505,True,True
176,False,21,52.2537332,True,-70813.78344882805,-70836.11315689865,-70916.05192167248,102.2684728444292,79.9387647738331,561.9533595235691,0.9086766370006951,True,True
176,False,22,52.255066400000004,True,-70819.5837693,-70826.35487588351,-70921.75884959058,102.17508029057353,95.40397370707069,1504.8988153121263,0.4375877201723144,True,True
176,False,23,52.2564,True,-70805.27141554122,-70814.1565500623,-70927.46748975823,122.19607421700493,113.31093969593348,2488.16898887641,0.5112206708767624,True,True
176,False,24,52.257733200000004,True,-70832.43280331763,-70811.3797888665,-70933.17441767632,100.74161435868882,121.79462880981737,2438.430256426591,-0.031247902203577427,True,True
176,False,25,52.2590664,True,-70825.09540373266,-70814.80830556469,-70938.88134559439,113.78594186172995,124.0730400297034,1875.2553470020011,-0.46091624689746147,True,True
176,False,26,52.260400000000004,True,-70839.36123042717,-70821.89429488324,-70944.58998576207,105.2287553349015,122.69569087882701,1113.3028595373037,-0.7145621732912197,True,True
176,False,27,52.2617332,True,-70855.01760111963,-70825.56640465875,-70950.29691368013,95.27931256049487,124.73050902137766,723.3012190431612,-0.4087922485855131,True,True
176,False,28,52.2630664,True,-70872.01376017185,-70833.97547693586,-70956.00384159818,83.99008142633829,122.02836466232839,45.09183218285835,-0.8344588850110037,True,True
176,False,29,52.2644,True,-70880.09981027454,-70834.02685699682,-70961.71248176586,81.61267149132618,127.68562476904481,36.04827338331979,-1.4126813822810016,False,True
176,False,30,52.2657332,True,-70896.4163050833,-70834.13873006184,-70967.41940968393,71.00310460063338,133.28067962209752,24.037105474441294,1.432172714535369,False,True
176,False,31,52.267066400000004,True,-70884.05748519,-70834.24879844535,-70973.12633760202,89.06885241201962,138.87753915667417,14.102984108210793,0.6804572807995428,False,True
176,False,32,52.2684,True,-70874.68158067482,-70834.07780409942,-70978.83497776967,104.15339709485124,144.7571736702521,21.900800065743105,0.016607898590450976,True,True
176,False,33,52.269733200000005,True,-70879.74797466809,-70834.79414383446,-70984.54190568777,104.79393101968162,149.74776185331575,-22.24968358752669,-0.07446135017112887,True,True
176,False,34,52.2710664,True,-70874.71906797063,-70834.88119377449,-70990.24883360583,115.52976563520497,155.36763983134006,-26.515810200232742,-0.5987461830390741,False,True
176,False,35,52.272400000000005,True,-70860.0753035775,-70840.49134060864,-70995.95747377351,135.88217019601143,155.46613316486764,-341.5430328382106,-0.6425046607430884,True,True
176,False,36,52.2737332,True,-70886.85005659524,-70847.80059915413,-71001.66440169157,114.81434509632527,153.86380253743846,-731.0833021744849,-0.9651473207286632,True,True
176,False,37,52.2750664,True,-70941.13045322412,-70848.87239339213,-71007.37132960962,66.24087638550554,158.49893621749652,-738.6289575267011,-1.2591556135270765,False,True
