beam_category,channel,confirmatory_after_prior_freeze,edge,evaluation_rms_ratio_rank2_over_rank1,identity_evidence_use,paired_points,pass_key,profile_rms_contrast,rank1_beam_rms_db,rank1_catalog_number,rank1_evaluation_rms_hz,rank1_training_rms_hz,rank2_beam_rms_db,rank2_catalog_number,rank2_evaluation_rms_hz,rank2_training_rms_hz,reason,receiver_id,reject_identity_on_missing_detection,reject_identity_on_response_mismatch,session_id,state,stratum,tracklet_id,visibility_status
corroborates-rank-1,2,False,lower,35.03771423050509,descriptive-response-consistency-only,16,scan-hop-01b11a5d776e7369:67852,3.084371211872623,1.7881711418603374,67852,79.7119281736318,67.56423781812592,3.105154973787025,64071,2792.9237601102586,2355.761246712821,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:8c03fa2befa3b173bf445de1fd22a48b845b6ba62db92ff043e5c0e6ccffa2dc,unobstructed-visibility-unknown
,1,False,lower,1.829349187094935,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:65348,0.28626972007687124,,65348,70.07362847266576,66.66447932615519,,57249,128.1891352832636,108.90646060184368,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,intermediate-1.5-to-3,sha256:8f7cc646af3fe15dc3a26506c42fed368f17e056b535d310df73d2aad169bbae,unobstructed-visibility-unknown
,2,False,lower,2.951838540737318,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:67852,0.5657963331549933,,67852,61.176199174469026,55.26658045387912,,63148,180.58226249902017,153.8404921033641,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,intermediate-1.5-to-3,sha256:90252e23a1c848f115d466b44e7ddede8152fb78eefadff7da7e8f896f3a41b9,unobstructed-visibility-unknown
corroborates-rank-1,4,False,lower,19.786269722637073,descriptive-response-consistency-only,17,scan-hop-01b11a5d776e7369:68115,2.6396901809058657,1.9190753174415265,68115,160.32378846936498,122.19173167385624,3.7451935619686276,52452,3172.209721609867,2961.7132254679245,,0,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:92b77a1042fdf8e931c09c3713b5ca7c2edfea6996d69c51090e799518eedd5e,unobstructed-visibility-unknown
,1,False,lower,1.5438476864658472,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:63148,0.2628766762211323,,63148,209.58647850964596,61.29493129962403,,67852,323.5695999616409,157.8485126113532,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,intermediate-1.5-to-3,sha256:945833c8419b1488d71ba3f05b7fc9d8b979821f1a68da31720ef03475e084d0,unobstructed-visibility-unknown
,2,False,lower,5.153982647165134,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:67175,0.9636008242877556,,67175,54.59709966047503,61.66241454014702,,67870,281.39250423563374,258.71202753748844,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,clear-at-least-3,sha256:96371c04d9a1b2d7af8443870546b5d27f74f69c02cc96a56a3f85d81ab77d04,unobstructed-visibility-unknown
orientation-calibration-uncertain,1,False,lower,5.78874606692901,descriptive-response-consistency-only,9,scan-hop-01b11a5d776e7369:59554,1.280909581382331,1.0124525283260173,59554,76.28621007117009,78.15526181033829,1.4130897391156907,68115,441.60149851040603,386.1910966690138,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:97edfd237f3cc26e95789dee8d13b970423974db60988ec1434dac3761cf30b8,unobstructed-visibility-unknown
corroborates-rank-1,3,False,lower,4.2454724928814915,descriptive-response-consistency-only,33,scan-hop-01b11a5d776e7369:65348,0.9385027930196651,2.1434499130577986,65348,69.3990707293914,109.07042456130948,3.3404433582335185,64184,294.63184581316824,335.2479206516345,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:9ff8a3c8fdd83bd59b3424e1daba1603a74154d76b1af031cc16ac2f403dcf54,unobstructed-visibility-unknown
corroborates-rank-1,4,False,lower,1.6891276812733689,descriptive-response-consistency-only,6,scan-hop-01b11a5d776e7369:68116,0.25707453269687236,0.3957215738512367,68116,75.44676975057111,84.015023370843,0.8339249646901263,47770,127.43922724834792,105.30018295136138,,0,False,False,scan-hop-01b11a5d776e7369,scored,intermediate-1.5-to-3,sha256:a5496c5be930738c2b378edcc0a4d5b3acf197f9282993ac42b049921d098dae,unobstructed-visibility-unknown
orientation-calibration-uncertain,1,False,lower,2.4345885668008753,descriptive-response-consistency-only,9,scan-hop-01b11a5d776e7369:59554,0.6211558063960698,1.0124525283260173,59554,115.58340997312274,107.9535586241523,1.4130897391156907,68115,281.3980484324229,444.0887507333884,,0,False,False,scan-hop-01b11a5d776e7369,scored,intermediate-1.5-to-3,sha256:ab022ad49f7a432fc3130250360d6827348a895920e26f211dc0cce85348227a,unobstructed-visibility-unknown
,3,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:b057d4e20b33eba3ccf14d86a529a18db7087defb93aa785e732813d2d1315a4,,,,,,,,,,fewer-than-two-candidates,1,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:b057d4e20b33eba3ccf14d86a529a18db7087defb93aa785e732813d2d1315a4,unobstructed-visibility-unknown
,4,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:b5ce3e1d37bb1dcfb14154c44f4440db0f7462eb2ea6c68e3cde1e2e6a301b73,,,,,,,,,,fewer-than-two-candidates,0,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:b5ce3e1d37bb1dcfb14154c44f4440db0f7462eb2ea6c68e3cde1e2e6a301b73,unobstructed-visibility-unknown
corroborates-rank-1,1,False,lower,11.387607029458078,descriptive-response-consistency-only,16,scan-hop-01b11a5d776e7369:67870,2.05461288485067,1.8662854133044526,67870,93.32260721594417,50.52568356320648,6.11256025241843,45369,1062.721177939641,1138.5535639258248,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:c30467fede94973abad4c0ede4e0c6ae24c909f0a8df2467e6c804e9f4d6484d,unobstructed-visibility-unknown
,3,False,lower,2.3594665190860638,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:63152,0.5944612260146365,,63152,112.47121836118009,94.94486268291222,,55572,265.3720740840222,175.5081439899681,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,intermediate-1.5-to-3,sha256:cba3b0e8fa0d5019581d706ded6869343e3912dc5f4c322afa31398eaf9d7d21,unobstructed-visibility-unknown
corroborates-rank-1,1,False,lower,20.892394574263612,descriptive-response-consistency-only,27,scan-hop-01b11a5d776e7369:59081,2.4878926992624812,1.0965599588227468,59081,70.23572781292111,165.45777874437297,4.5592482755650225,65323,1467.3925386781289,1552.5627829581542,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:ce4f143587a0f9c2e829ce7e9e9359c22a62b67d44c17f2cd0185c22b5ce097d,unobstructed-visibility-unknown
,2,False,lower,3.6439432464793438,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:67079,0.9827976446537364,,67079,127.36105780529559,77.33941919336847,,63570,464.0964664540722,369.9326333092891,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,clear-at-least-3,sha256:d6d1c6204fcb7722fef81f3aeb8080b465c8b75a8caa869b9423e052e7eaaae3,unobstructed-visibility-unknown
,4,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:d8412d4049ef107783d3dca29eef7700335e7811c6a281e8c44364d02ded5cb6,,,,,,,,,,fewer-than-two-candidates,1,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:d8412d4049ef107783d3dca29eef7700335e7811c6a281e8c44364d02ded5cb6,unobstructed-visibility-unknown
