visit_index,time_s,fixed_phase_deg,dwell_phase_deg,fixed_coherence,dwell_coherence,delta_f_hz
259,0.10731515,26.700365352005058,26.70036535269612,0.07275640646550238,0.07275640646555141,682434.861324057
259,0.10895355,40.64041398526715,40.64041398539709,0.06396817620318918,0.06396817620342242,682434.861324057
259,0.11059195,39.65331331887393,39.653313319211314,0.0756246968137133,0.07562469681371628,682434.861324057
259,0.11223034999999999,56.42941854641991,56.4294185469532,0.06507847568528055,0.06507847568563176,682434.861324057
259,0.11386875,101.34138542746382,101.34138542779348,0.03866334981675372,0.038663349816928275,682434.861324057
259,0.11550715,96.9653969539525,96.96539695428002,0.07683940938199628,0.07683940938220313,682434.861324057
259,0.11714555,92.86347568596828,92.86347568658017,0.06450501574146343,0.0645050157420853,682434.861324057
259,0.11878395,102.42716461480138,102.42716461541822,0.09730432593148067,0.09730432593169486,682434.861324057
260,0.12103855000000001,151.02106102819656,142.3748639685027,0.046479289541254354,0.046550671496673496,682465.0678911909
260,0.12267695,139.69909134059432,112.38029723728415,0.03800733789890171,0.03798917520987093,682465.0678911909
260,0.12431535,121.87094868850082,77.29712152315027,0.06621329421836983,0.06574920403745116,682465.0678911909
260,0.12595374999999998,125.37998694837971,62.52143102144181,0.07513178632255543,0.07492146474295554,682465.0678911909
260,0.12759215000000002,118.66275288644295,38.63743166661342,0.06496309622283164,0.06503278867468108,682465.0678911909
260,0.12923055,147.92768756361417,50.30568616442889,0.022862565335422688,0.022593053763036705,682465.0678911909
260,0.13086894999999998,109.22933301846615,-7.308814942499617,0.049782090627019174,0.04997290310077764,682465.0678911909
260,0.13250735000000002,106.23677535618825,-27.441175994806738,0.07082317813940885,0.07055562471398286,682465.0678911909
260,0.13414575,138.23336066845957,-12.619341715520818,0.05149228233930824,0.05179463614750874,682465.0678911909
260,0.13578415,124.20413349538151,-44.91824962478809,0.08036895474912648,0.08024745261266669,682465.0678911909
260,0.13742255,110.50490023424504,-76.67883577016829,0.03687243388527135,0.037276495534504586,682465.0678911909
260,0.13906095000000002,110.20677882572075,-94.9562592736206,0.0508053229295642,0.05034404626751009,682465.0678911909
260,0.14069935,142.8559183287436,-79.10439568253847,0.0304479906308406,0.0308001157388777,682465.0678911909
260,0.14233774999999999,135.2122983655901,-105.00961636982508,0.04398265374746165,0.04405045710181088,682465.0678911909
260,0.14397615000000002,146.8056180730026,-111.20448268231917,0.077303361420518,0.07778364552672666,682465.0678911909
260,0.14561455,156.3470465697078,-119.0791198837303,0.06407641821678237,0.06438834036911846,682465.0678911909
260,0.14725295,-178.98249189665668,-113.42036655861506,0.05543300415310015,0.05574253083694255,682465.0678911909
260,0.14889134999999998,-172.23168557327446,-124.19463232438287,0.03255903898652654,0.032801275341937275,682465.0678911909
260,0.15052975000000002,-144.97564346392136,-114.79211169755186,0.049129225799086323,0.0488634742259933,682465.0678911909
260,0.15216815,177.55350343726363,-169.8521841956376,0.07532751238457207,0.07540729097778644,682465.0678911909
260,0.15380655,-166.56687286827466,-171.14075955759523,0.05614512123760099,0.05603631277605068,682465.0678911909
260,0.15544495000000003,-172.2084321037981,164.4417580576453,0.06979559009627888,0.06928891446920285,682465.0678911909
260,0.15708335,-145.61703163564033,173.73015918406142,0.03792042798694022,0.038092088516433135,682465.0678911909
260,0.15872175,-142.3767701675842,158.38435905706564,0.04974254534994358,0.04971372990918904,682465.0678911909
260,0.16036014999999998,-142.70684461736792,140.34322069379508,0.06141910672577552,0.06147032197660764,682465.0678911909
260,0.16199855000000002,-157.69172311169635,107.74280821352825,0.02876505520565239,0.02875727924736898,682465.0678911909
260,0.16363695,-137.75953763228068,110.02710632303845,0.06863561669885801,0.06822734065883906,682465.0678911909
260,0.16527535,-122.03654479089246,108.26854898108479,0.033014069289254606,0.03327648996775273,682465.0678911909
260,0.16691375000000003,-137.86317645442014,73.76301372998563,0.0447250486833705,0.044008513070687524,682465.0678911909
260,0.16855215,-152.36875039547166,41.98301633456825,0.07375350921887594,0.07354001468135667,682465.0678911909
260,0.17019055,-160.58829643659828,15.870715474466072,0.037796760046648004,0.03784927380484404,682465.0678911909
260,0.17182894999999998,176.75123262916048,-24.233906323419497,0.07229557309656529,0.0724456117178721,682465.0678911909
260,0.17346735000000002,-173.0098739105136,-31.987216716353544,0.03806966263912916,0.037745850137168586,682465.0678911909
260,0.17510575,143.74999317354343,-93.24886293180181,0.06055579201752386,0.060192861299934175,682465.0678911909
260,0.17674415,153.846482136679,-100.83601037231537,0.0364595832903905,0.03633585706908185,682465.0678911909
260,0.17838255,131.72462803758668,-140.80561903246348,0.07852344998587878,0.0781906878296264,682465.0678911909
260,0.18002095,106.88263565620872,177.15427839705973,0.06409756131332149,0.06358613668670693,682465.0678911909
260,0.18165935,72.9298976644693,124.74533056858627,0.02491270453631754,0.024760072852405248,682465.0678911909
260,0.18329774999999998,64.95472459266696,98.81597583200463,0.0774642876791808,0.0764244137282798,682465.0678911909
260,0.18493615000000002,45.85690511495326,62.40127059912823,0.08356771544079117,0.08332610249180973,682465.0678911909
260,0.18657455,17.42786846641779,16.13986348851813,0.06741520202715773,0.06728512175774977,682465.0678911909
260,0.18821295,14.023031992540702,-4.9681833166869,0.06117942594914471,0.06101890058339206,682465.0678911909
260,0.18985135,1.9643973189527355,-36.11062226122035,0.01869645073174448,0.018960570709808878,682465.0678911909
260,0.19148975000000001,-40.00063223237621,-95.0837512600248,0.07583580053823627,0.0756530940512161,682465.0678911909
260,0.19312815,-77.00289488073533,-149.78552183685986,0.08136650464736611,0.0805452220638339,682465.0678911909
260,0.19476654999999998,-163.84741827797586,105.27561991999676,0.07434226739516003,0.07368266442081517,682465.0678911909
260,0.19640495000000002,129.8499526673593,22.506798345954646,0.038875374116075286,0.03865327547100259,682465.0678911909
260,0.19804335,25.792814418462953,-101.22581873239966,0.0263342091355596,0.02584750576156211,682465.0678911909
260,0.19968175,-87.05665241135856,128.62297618958752,0.05943257902061177,0.0585960758929986,682465.0678911909
260,0.20132015000000003,-148.98449684744304,48.959829161422554,0.07633862378982532,0.0762115933359854,682465.0678911909
260,0.20295855000000002,-163.28773492612225,16.737408121513337,0.07407803848058345,0.0735586769712612,682465.0678911909
260,0.20459695,-175.9033558125459,-13.309550924559991,0.024436258601855505,0.02420018124453281,682465.0678911909
260,0.20623534999999998,-166.1732216243749,-21.215690365824827,0.03139248234971628,0.030957244832333537,682465.0678911909
260,0.20787375000000002,-172.97896908578704,-46.09660383670228,0.06830380783702132,0.06855552598065041,682465.0678911909
260,0.20951215,-155.05757031457614,-45.57396281071546,0.058079676853937605,0.058570194831885955,682465.0678911909
260,0.21115055,163.7114833585335,-105.62849102906951,0.0767732570857158,0.07632320363051245,682465.0678911909
260,0.21278895,171.36219662586643,-114.75699116503924,0.033115482325237845,0.0331842927077342,682465.0678911909
260,0.21442735000000002,128.95350812275223,-175.3199949943202,0.03991626679577665,0.0397502388910165,682465.0678911909
260,0.21606575,95.92552090237186,133.97456781614991,0.07032793683583403,0.06987513134118944,682465.0678911909
260,0.21770414999999999,104.38985792755955,123.90886736802565,0.04022106849901917,0.03995614765786615,682465.0678911909
260,0.21934255000000003,71.15279412566414,73.32576637900074,0.06451602448796498,0.0640553399812451,682465.0678911909
260,0.22098095,47.319893774121475,31.64804708531632,0.07133304454655183,0.07133265049673383,682465.0678911909
260,0.22261935,69.85202332690749,35.88561760881903,0.04492787822931441,0.04455918140387463,682465.0678911909
260,0.22425775000000003,41.97766363170911,-8.926773018025317,0.06563070378130553,0.06585707315736739,682465.0678911909
260,0.22589615000000002,40.84002001911665,-28.43266178805718,0.03042721097384444,0.030011494503947665,682465.0678911909
260,0.22753455,-7.5568169499495035,-94.78112224966499,0.07752585021425741,0.07730726504230015,682465.0678911909
260,0.22917295,-34.50954794540838,-139.2195140454785,0.06922820168848019,0.06886824566618573,682465.0678911909
260,0.23081135000000003,-49.38735291870318,-172.41927522327637,0.042816255135285565,0.04209082772946175,682465.0678911909
260,0.23244975,-59.906543242456806,160.28138873400079,0.04641116986242109,0.046350758240871495,682465.0678911909
260,0.23408815,-61.47081585690724,140.5500369150134,0.034417330005594694,0.03447224792276228,682465.0678911909
260,0.23572654999999998,-76.42493605623379,107.39810633212156,0.07211665552906066,0.07240137433053558,682465.0678911909
260,0.23736495000000002,-83.93712996045605,82.34930006450257,0.0708144356977783,0.07061442810634916,682465.0678911909
260,0.23900335,-122.10941001059274,25.32609747907843,0.05541447410842968,0.055532709869913544,682465.0678911909
261,0.24133095,-175.24724737111075,-35.07810405741052,0.030134991395473723,0.03022524011722715,682408.4743853409
