scenario_id,estimator,history_s,frame_start_sample,reference_time_s,status,selected_history_s,estimate_rate_hz_s,rate_sigma_hz_s,receiver_truth_rate_hz_s,physical_truth_rate_hz_s,receiver_error_hz_s,physical_error_hz_s,receiver_covered_95,physical_covered_95,receiver_failure,physical_failure,step_phase,background_session_id,seed,truth_rate_hz_s,truth_acceleration_hz_s2,truth_jerk_hz_s3,snr_db,frame_occupancy,alias_change_hz,cfo_step_hz,sample_clock_offset_ppm
P007,fixed_125ms_linear,0.125,55740000,0.2966688,warmup,,,,-5925.798783465984,-5925.798783465984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,55806667,0.3233356,warmup,,,,-5931.318793465896,-5931.318793465896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,56036667,0.4153356,warmup,,,,-5948.725130905896,-5948.725130905896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,56110000,0.44466880000000003,warmup,,,,-5953.741088745984,-5953.741088745984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,56130000,0.45266880000000004,warmup,,,,-5955.064283625984,-5955.064283625984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,56503333,0.602002,warmup,,,,-5976.2396387994,-5976.2396387994,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,56580000,0.6326688,warmup,,,,-5979.760168425984,-5979.760168425984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,57366667,0.9473356,warmup,,,,-5999.583969145896,-5999.583969145896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,57430000,0.9726688,warmup,,,,-5999.887950825984,-5999.887950825984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,58043333,1.2180019999999998,warmup,,,,-5992.8712691994,-5992.8712691994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,58093333,1.2380019999999998,warmup,,,,-5991.5032571994,-5991.5032571994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,58610000,1.4446687999999999,warmup,,,,-5970.340448745984,-5970.340448745984,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,58943333,1.578002,warmup,,,,-5949.8870531994,-5949.8870531994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,59190000,1.6766687999999998,warmup,,,,-5931.3179002659845,-5931.3179002659845,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,59763333,1.906002,warmup,,,,-5876.8740563994,-5876.8740563994,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,59856667,1.9433356,warmup,,,,-5866.517691865896,-5866.517691865896,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,55020000,0.0086688,warmup,,,,-5852.589367785984,-5852.589367785984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,55136667,0.0553356,warmup,,,,-5866.141375705896,-5866.141375705896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,55740000,0.2966688,warmup,,,,-5925.798783465984,-5925.798783465984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,55806667,0.3233356,warmup,,,,-5931.318793465896,-5931.318793465896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,56036667,0.4153356,warmup,,,,-5948.725130905896,-5948.725130905896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,56110000,0.44466880000000003,warmup,,,,-5953.741088745984,-5953.741088745984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,56130000,0.45266880000000004,warmup,,,,-5955.064283625984,-5955.064283625984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,56503333,0.602002,warmup,,,,-5976.2396387994,-5976.2396387994,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,56580000,0.6326688,warmup,,,,-5979.760168425984,-5979.760168425984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,57366667,0.9473356,warmup,,,,-5999.583969145896,-5999.583969145896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,57430000,0.9726688,warmup,,,,-5999.887950825984,-5999.887950825984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,58043333,1.2180019999999998,warmup,,,,-5992.8712691994,-5992.8712691994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,58093333,1.2380019999999998,warmup,,,,-5991.5032571994,-5991.5032571994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,58610000,1.4446687999999999,warmup,,,,-5970.340448745984,-5970.340448745984,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,58943333,1.578002,warmup,,,,-5949.8870531994,-5949.8870531994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,59190000,1.6766687999999998,warmup,,,,-5931.3179002659845,-5931.3179002659845,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,59763333,1.906002,warmup,,,,-5876.8740563994,-5876.8740563994,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_500ms_linear,0.5,59856667,1.9433356,warmup,,,,-5866.517691865896,-5866.517691865896,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P008,causal_20ms_linear,0.02,90006667,0.0033356,warmup,,,,5351.669468934104,5351.669468934104,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90056667,0.0233356,warmup,,,,5361.749482534105,5361.749482534105,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90143333,0.058002,warmup,,,,5379.5056348006,5379.5056348006,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90216667,0.0873356,warmup,,,,5394.811926054104,5394.811926054104,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90343333,0.13800199999999999,warmup,,,,5421.8576828006,5421.8576828006,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90393333,0.158002,warmup,,,,5432.7456948006,5432.7456948006,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90546667,0.2193356,warmup,,,,5466.884015814104,5466.884015814104,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90700000,0.28066880000000005,warmup,,,,5502.150646294016,5502.150646294016,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
