scenario_id,estimator,scope,estimator_no_result,background_session_id,seed,truth_rate_hz_s,truth_acceleration_hz_s2,truth_jerk_hz_s3,snr_db,frame_occupancy,alias_change_hz,cfo_step_hz,sample_clock_offset_ppm,receiver_count,receiver_bias,receiver_mse,receiver_rmse,receiver_median_absolute_error,receiver_failure_rate,receiver_coverage_95,physical_count,physical_bias,physical_mse,physical_rmse,physical_median_absolute_error,physical_failure_rate,physical_coverage_95
P016,fixed_125ms_linear,transition,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,25,2369.0641720793556,6911466.561744397,2628.966824009842,2944.016064564384,0.92,0.12,25,2369.146023942469,6911855.091944877,2629.0407170572457,2944.099224735683,0.92,0.12
P016,fixed_500ms_linear,all_complete,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,377,-0.35599206927670085,105797.44305131203,325.2651888095497,210.58899797455229,0.16710875331564987,0.026525198938992044,377,-0.2698925774411426,105798.04590352299,325.26611551700705,210.48548644848393,0.16710875331564987,0.026525198938992044
P016,fixed_500ms_linear,post_history,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,95,-224.93687002066412,52079.51559536968,228.20936789573227,209.8479421578113,0.0,0.0,95,-224.82560395935178,52029.09210888025,228.09886476894235,209.740215224218,0.0,0.0
P016,fixed_500ms_linear,pre_step,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,157,-165.90197662827026,30840.047206041723,175.61334575151662,150.02111387673312,0.0,0.0,157,-165.8344617617678,30816.999465845638,175.54771279012905,149.96138644911684,0.0,0.0
P016,fixed_500ms_linear,transition,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,125,378.25123177987365,240769.55709948766,490.6827458750589,506.9713791179197,0.504,0.08,125,378.34154696832525,240838.6451131742,490.75314070637813,507.0673428545847,0.504,0.08
P017,causal_20ms_linear,all_complete,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,619,-287.8285545153859,9754598.21278335,3123.2352157311734,1751.3450333262363,0.8465266558966075,0.9402261712439418,619,-287.8285545153859,9754598.21278335,3123.2352157311734,1751.3450333262363,0.8465266558966075,0.9402261712439418
P017,causal_20ms_linear,post_history,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,251,-106.47817174919936,7951369.822357946,2819.8173384738852,1852.2989972318335,0.8565737051792829,0.952191235059761,251,-106.47817174919936,7951369.822357946,2819.8173384738852,1852.2989972318335,0.8565737051792829,0.952191235059761
P017,causal_20ms_linear,pre_step,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,361,-168.99395169581015,6931571.237578319,2632.7877312040027,1645.5801096765765,0.8393351800554016,0.9445983379501385,361,-168.99395169581015,6931571.237578319,2632.7877312040027,1645.5801096765765,0.8393351800554016,0.9445983379501385
P017,causal_20ms_linear,transition,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,7,-12919.005367683914,220000750.2193251,14832.422264058056,13801.847444454246,0.8571428571428571,0.2857142857142857,7,-12919.005367683914,220000750.2193251,14832.422264058056,13801.847444454246,0.8571428571428571,0.2857142857142857
P017,fixed_125ms_linear,all_complete,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,900,-79.36111738495485,402269.0392561921,634.2468283375109,161.2768380126222,0.05,0.8988888888888888,900,-79.36111738495485,402269.0392561921,634.2468283375109,161.2768380126222,0.05,0.8988888888888888
P017,fixed_125ms_linear,post_history,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,363,52.376750224063855,48198.70034061362,219.54202408790354,187.56554806607278,0.0,0.953168044077135,363,52.376750224063855,48198.70034061362,219.54202408790354,187.56554806607278,0.0,0.953168044077135
P017,fixed_125ms_linear,pre_step,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,487,42.553601675493695,35651.85815495587,188.8169964673622,127.85022580975647,0.004106776180698152,0.9342915811088296,487,42.553601675493695,35651.85815495587,188.8169964673622,127.85022580975647,0.004106776180698152,0.9342915811088296
P017,fixed_125ms_linear,transition,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,50,-2223.2273998752,6543671.043709332,2558.06001565822,2439.2711310369905,0.86,0.16,50,-2223.2273998752,6543671.043709332,2558.06001565822,2439.2711310369905,0.86,0.16
P017,fixed_500ms_linear,all_complete,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,738,24.541207151386523,89389.03474383807,298.97999054090235,192.8404586681121,0.13143631436314362,0.02710027100271003,738,24.541207151386523,89389.03474383807,298.97999054090235,192.8404586681121,0.13143631436314362,0.02710027100271003
P017,fixed_500ms_linear,post_history,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,185,245.8860879503693,61250.04668317421,247.4874677295281,242.4875262261653,0.0,0.0,185,245.8860879503693,61250.04668317421,247.4874677295281,242.4875262261653,0.0,0.0
P017,fixed_500ms_linear,pre_step,False,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,319,159.59515363873373,26096.575468554136,161.5443452076059,165.86788380666724,0.0,0.0,319,159.59515363873373,26096.575468554136,161.5443452076059,165.86788380666724,0.0,0.0
