left_visit,right_visit,target_index,channel,overlapping_edge_group,split,left_start_counter,left_end_counter_exclusive,right_start_counter,right_end_counter_exclusive,gap_samples,all_four_sparse_acquisitions_pass,left_rx0_absolute_cfo_hz,left_rx0_candidate_rank,left_rx1_absolute_cfo_hz,left_rx1_candidate_rank,right_rx0_absolute_cfo_hz,right_rx0_candidate_rank,right_rx1_absolute_cfo_hz,right_rx1_candidate_rank
1344,1345,4,1,241,evaluation,493967265031,493968465031,493968467165,493969667165,2134,False,,,862169.7109253322,0,,,861833.9263457736,0
1347,1348,5,2,242,evaluation,493971270649,493972470649,493972474994,493973674994,4345,False,,,,,17863.655610709626,0,,
1350,1351,6,3,243,evaluation,493975285184,493976485184,493976487572,493977687572,2388,False,,,,,,,,
1354,1355,6,3,244,evaluation,493980695023,493981895023,493981897931,493983097931,2908,False,,,,,,,,
1356,1357,4,1,245,evaluation,493983298456,493984498456,493984499928,493985699928,1472,False,174899.76319788388,0,857066.9404694793,0,,,856682.4144840109,0
1360,1361,7,4,246,evaluation,493988719798,493989919798,493989923585,493991123585,3787,False,,,860456.8518487972,0,,,,
1362,1363,6,3,247,evaluation,493991326492,493992526492,493992533268,493993733268,6776,False,,,,,,,,
1363,1364,6,3,247,evaluation,493992533268,493993733268,493993734593,493994934593,1325,False,,,,,,,,
1369,1370,7,4,248,evaluation,494000766664,494001966664,494001971282,494003171282,4618,False,,,,,,,,
1374,1375,5,2,249,evaluation,494007586666,494008786666,494008787474,494009987474,808,False,,,,,,,,
1379,1380,5,2,250,evaluation,494014403363,494015603363,494015605236,494016805236,1873,False,,,,,,,,
1394,1395,6,3,251,evaluation,494035260658,494036460658,494036463332,494037663332,2674,False,,,,,,,,
1404,1405,6,3,252,evaluation,494049103012,494050303012,494050306953,494051506953,3941,False,,,,,,,,
1406,1407,5,2,253,evaluation,494051708938,494052908938,494052913956,494054113956,5018,False,,,,,,,,
1421,1422,7,4,254,evaluation,494072561477,494073761477,494073765222,494074965222,3745,False,,,,,,,,
1423,1424,6,3,255,evaluation,494075169866,494076369866,494076376866,494077576866,7000,False,,,,,,,,
1424,1425,6,3,255,evaluation,494076376866,494077576866,494077583906,494078783906,7040,False,,,,,,,,
1429,1430,5,2,256,evaluation,494083204822,494084404822,494084409848,494085609848,5026,False,,,,,,,,
1432,1433,6,3,257,evaluation,494087219527,494088419527,494088424008,494089624008,4481,False,,,,,,,,
1435,1436,6,3,258,evaluation,494091231910,494092431910,494092436858,494093636858,4948,False,,,,,,,,
1438,1439,4,1,259,evaluation,494095245734,494096445734,494096450574,494097650574,4840,False,,,,,,,818134.6965221663,0
1439,1440,4,1,259,evaluation,494096450574,494097650574,494097654435,494098854435,3861,False,,,818134.6965221663,0,,,,
1444,1445,5,2,260,evaluation,494103262114,494104462114,494104470050,494105670050,7936,False,,,,,,,,
1445,1446,5,2,260,evaluation,494104470050,494105670050,494105671208,494106871208,1158,False,,,,,,,,
1447,1448,6,3,261,evaluation,494107072274,494108272274,494108275511,494109475511,3237,False,,,,,,,,
1448,1449,6,3,261,evaluation,494108275511,494109475511,494109481556,494110681556,6045,False,,,,,,,,
1449,1450,6,3,261,evaluation,494109481556,494110681556,494110685145,494111885145,3589,False,,,,,,,,
1450,1451,6,3,261,evaluation,494110685145,494111885145,494111891538,494113091538,6393,False,,,,,,,,
1460,1461,5,2,262,evaluation,494124531617,494125731617,494125740213,494126940213,8596,False,,,,,,,,
1462,1463,7,4,263,evaluation,494127146005,494128346005,494128348062,494129548062,2057,False,,,,,,,,
1463,1464,7,4,263,evaluation,494128348062,494129548062,494129553531,494130753531,5469,False,,,,,,,,
1471,1472,6,3,264,evaluation,494139381767,494140581767,494140586705,494141786705,4938,False,,,803277.3866815288,0,,,,
1472,1473,6,3,264,evaluation,494140586705,494141786705,494141788316,494142988316,1611,False,,,,,,,,
1482,1483,4,1,265,evaluation,494154435653,494155635653,494155641659,494156841659,6006,False,,,,,,,796271.3700737916,0
1487,1488,6,3,266,evaluation,494161257590,494162457590,494162463045,494163663045,5455,False,,,,,,,,
1494,1495,7,4,267,evaluation,494170887542,494172087542,494172090164,494173290164,2622,False,,,,,,,,
1498,1499,5,2,268,evaluation,494176306997,494177506997,494177509874,494178709874,2877,False,,,,,,,,
1499,1500,5,2,268,evaluation,494177509874,494178709874,494178709931,494179909931,57,False,,,,,,,,
1500,1501,5,2,268,evaluation,494178709931,494179909931,494179911927,494181111927,1996,False,,,,,,,,
1506,1507,5,2,269,evaluation,494186940413,494188140413,494188143390,494189343390,2977,False,,,,,,,,
1509,1510,7,4,270,evaluation,494190950926,494192150926,494192156175,494193356175,5249,False,,,,,,,,
1511,1512,6,3,271,evaluation,494193563080,494194763080,494194770260,494195970260,7180,False,,,887472.942737093,0,,,,
1514,1515,4,1,272,evaluation,494197607467,494198807467,494198815520,494200015520,8053,False,,,,,,,,
1516,1517,5,2,273,evaluation,494200218373,494201418373,494201424656,494202624656,6283,False,,,,,,,,
1526,1527,5,2,274,evaluation,494214067355,494215267355,494215273782,494216473782,6427,False,,,,,,,,
1527,1528,5,2,274,evaluation,494215273782,494216473782,494216480499,494217680499,6717,False,,,,,,,,
1529,1530,6,3,275,evaluation,494217886852,494219086852,494219088590,494220288590,1738,False,,,,,,,,
1531,1532,7,4,276,evaluation,494220492230,494221692230,494221694505,494222894505,2275,False,,,,,,,,
1539,1540,4,1,277,evaluation,494231526169,494232726169,494232729401,494233929401,3232,False,,,,,,,,
1541,1542,6,3,278,evaluation,494234133808,494235333808,494235335640,494236535640,1832,False,,,,,,,,
1543,1544,7,4,279,evaluation,494236740208,494237940208,494237945783,494239145783,5575,False,,,,,,,,
1546,1547,5,2,280,evaluation,494240748656,494241948656,494241949751,494243149751,1095,False,,,,,,,,
1547,1548,5,2,280,evaluation,494241949751,494243149751,494243151738,494244351738,1987,False,,,,,117585.58741479105,0,799788.4961424446,0
1553,1554,5,2,281,evaluation,494250175061,494251375061,494251382417,494252582417,7356,False,,,,,,,,
1557,1558,5,2,282,evaluation,494255584195,494256784195,494256787743,494257987743,3548,False,,,,,,,,
1567,1568,6,3,283,evaluation,494269432315,494270632315,494270633165,494271833165,850,False,,,,,,,,
1570,1571,6,3,284,evaluation,494273441159,494274641159,494274644730,494275844730,3571,False,,,,,,,,
1573,1574,5,2,285,evaluation,494277450328,494278650328,494278653059,494279853059,2731,False,,,,,,,,
1578,1579,5,2,286,evaluation,494284267364,494285467364,494285467560,494286667560,196,True,101608.9845291338,0,784101.0697838413,0,101124.86630075032,1,783157.4090140597,0
1581,1582,6,3,287,evaluation,494288275412,494289475412,494289481475,494290681475,6063,False,,,,,,,,
1598,1599,7,4,288,evaluation,494312012648,494313212648,494313217109,494314417109,4461,True,90374.71278088682,0,772437.8858954598,0,89907.73577475522,0,771926.80982258,0
1599,1600,7,4,288,evaluation,494313217109,494314417109,494314417716,494315617716,607,True,89907.73577475522,0,771926.80982258,0,89347.16641671775,0,771412.8625347863,0
1602,1603,7,4,289,evaluation,494317228646,494318428646,494318430935,494319630935,2289,True,88064.86449479542,1,543230.9361618613,1,87565.15015639106,0,769764.0238246917,0
1611,1612,5,2,290,evaluation,494329665202,494330865202,494330870040,494332070040,4838,False,,,,,83087.2329615962,0,764923.7905455754,5
1617,1618,6,3,291,evaluation,494337881420,494339081420,494339084892,494340284892,3472,False,,,,,,,,
1619,1620,5,2,292,evaluation,494340486964,494341686964,494341689837,494342889837,2873,True,79349.27615390095,0,761463.6075249219,0,78897.5831299026,1,760981.8490434276,1
1621,1622,7,4,293,evaluation,494343091211,494344291211,494344298105,494345498105,6894,True,77443.32385653045,0,759579.3433037308,0,76962.14601673302,1,759053.4422568385,0
1623,1624,6,3,294,evaluation,494345705842,494346905842,494346908250,494348108250,2408,False,,,,,,,,
1624,1625,6,3,294,evaluation,494346908250,494348108250,494348114825,494349314825,6575,False,,,,,,,,
1628,1629,4,1,295,evaluation,494352322579,494353522579,494353529969,494354729969,7390,True,75151.91854745062,1,722511.2523816393,1,74717.67089587313,0,722048.2767407107,0
1634,1635,7,4,296,evaluation,494360542426,494361742426,494361751040,494362951040,8614,True,70358.50957525533,1,752438.873001101,0,69872.72929488093,0,751943.9656037759,0
1635,1636,7,4,296,evaluation,494361751040,494362951040,494362952324,494364152324,1284,True,69872.72929488093,0,751943.9656037759,0,69310.99594588572,0,751440.1564418986,0
1643,1644,6,3,297,evaluation,494372778800,494373978800,494373985487,494375185487,6687,False,,,,,,,,
