session_id,visit,sample_rate_msps,channel,native_state,native_supported,matched_state,matched_supported,native_coherence,native_wrong_time,native_resultant,native_spline_rms_deg,native_linear_rms_deg,native_pilot_rms_deg,pilot_held_count,relative_cfo_hz,relative_cfo_rate_hz_s,retained_bandwidth_hz,illustrative_differential_hz_bound,illustrative_120ms_geometric_phase_bound_deg,fitted_residual_excursion_deg,median_absolute_spline_residual_frequency_hz,rf_hz,matched_coherence,matched_wrong_time,matched_spline_rms_deg
scan-fw-9b88653c7a012fc2,890,10.0,2,replayed,True,replayed,True,0.08207937888843918,0.002375614605774686,0.9180244326175512,18.673228444014352,70.71240790220955,11.583972973805604,1,-677316.7469134921,0.0,9165039.0625,0.046795039787158356,2.021545718805241,480.4158698207804,17.878307514316916,10960000000,0.0796786309843612,0.0050657348162404265,20.868661108887324
scan-fw-9b88653c7a012fc2,54,10.0,2,replayed,True,replayed,False,0.06534936336459876,0.0013670542136873728,0.8228251092246112,31.83921706703283,62.82513279193407,,0,-677109.7088162497,0.0,7133789.0625,0.046795039787158356,2.021545718805241,414.1701507370329,21.488966648342156,10960000000,0.07499959600091916,0.02636172430960932,79.69302411818185
scan-fw-9b88653c7a012fc2,760,10.0,3,replayed,True,replayed,True,0.14263390562149597,0.002593350339145784,0.9676173629845007,10.885739172881916,113.72566234464088,1.9046077360747244,3,-677294.73897878,0.0,9243164.0625,0.04786244489179244,2.0676576193254332,713.6456689714453,24.876466686043294,11210000000,0.1437014285929727,0.0035353346805426593,7.810035583929558
scan-fw-9b88653c7a012fc2,768,10.0,3,replayed,True,replayed,True,0.11906303151103141,0.0034778945709726078,0.9631851496819823,12.647162317146103,93.20851352793886,3.3069247691807786,3,-677311.8343148632,-971.1712548624259,9243164.0625,0.04786244489179244,2.0676576193254332,1277.2584427439256,26.963930091397206,11210000000,0.12068939699209029,0.0031614759089320507,8.757532251386545
scan-fw-9b88653c7a012fc2,758,10.0,4,replayed,True,replayed,True,0.14408652696460858,0.0021518623865823673,0.9541097400945067,19.928085878288687,78.40614465835613,32.259945776683224,1,-677356.9491501584,0.0,9243164.0625,0.04892984999642653,2.1137695198456257,1480.974144675469,38.248837400272926,11460000000,0.13931650127009382,0.0017860854584541756,21.43902532454722
scan-fw-9b88653c7a012fc2,717,10.0,4,replayed,True,replayed,True,0.26563675254457264,0.0020724349689310597,0.9916828581892464,6.097943701871223,123.62970870911053,1.346839858393866,3,-677248.6679763091,0.0,9243164.0625,0.04892984999642653,2.1137695198456257,641.4291005088411,14.52891891460478,11460000000,0.26386251717553727,0.0023885398413361343,6.098004057969967
scan-fw-894676bdae3d7b2c,672,15.0,1,replayed,True,replayed,True,0.12036844624142339,0.0021150879634318433,0.9542746042853113,16.577151129660063,44.95159278038944,5.481921750383985,2,-678339.7626254666,-402.09836956418224,11997070.3125,0.04572763468252426,1.975433818285048,396.6030056989243,47.69757661828908,10710000000,0.11611333348148514,0.003343626258542075,17.76105031558992
scan-fw-894676bdae3d7b2c,634,15.0,1,replayed,True,replayed,True,0.09665875717606637,0.0016018427990889938,0.9195627605905052,17.351072409337142,114.81167163618844,4.587810615139233,3,-678231.7128903614,1410.6021240276439,11912841.796875,0.04572763468252426,1.975433818285048,2619.2351075747138,52.707262577085196,10710000000,0.09434073346592546,0.003954912619226104,9.844135325035264
scan-fw-894676bdae3d7b2c,272,15.0,2,replayed,True,replayed,False,0.06659896650566734,0.003610274628830679,0.8699794561534657,23.863455809059943,131.01740640828586,,0,-678333.4071027202,0.0,11385498.046875,0.046795039787158356,2.021545718805241,821.2139728614635,26.36986254506558,10960000000,0.057933539266844365,0.0005916055196363505,37.685329074151234
scan-fw-894676bdae3d7b2c,531,15.0,2,replayed,False,replayed,False,0.03661746330188621,0.003724176271012929,0.346424399441271,75.45103541277075,97.56886079730059,,0,-678397.7191696874,0.0,4244384.765625,0.046795039787158356,2.021545718805241,652.7431143999935,39.236984830058894,10960000000,0.03348130699608884,0.0031119393295275573,63.781648529842755
scan-fw-894676bdae3d7b2c,475,15.0,3,replayed,True,replayed,True,0.12499675844971535,0.001996859482004431,0.9612109185145549,12.865711289028948,108.40595308813167,1.3444807691372005,3,-678255.5700632823,0.0,11949462.890625,0.04786244489179244,2.0676576193254332,807.1346386752218,21.98587241634339,11210000000,0.12355629948264812,0.00252072652334988,7.618889961863354
scan-fw-894676bdae3d7b2c,489,15.0,3,replayed,True,replayed,True,0.13198079587971315,0.002757114546508839,0.9603434959854308,11.81560022203146,116.95490200249617,3.567131730417914,3,-678353.595312318,-2636.73714655788,11989746.09375,0.04786244489179244,2.0676576193254332,2939.4028350108356,48.24172228900938,11210000000,0.12470765320537558,0.004900316424294245,7.412825158792087
scan-fw-894676bdae3d7b2c,1672,15.0,4,replayed,True,replayed,True,0.16875284862218104,0.0015669806883828906,0.973696794003969,9.711592637639045,100.21324721527525,2.473111469812368,3,-678337.5207432682,-940.3680756672967,11942138.671875,0.04892984999642653,2.1137695198456257,1405.8120158363815,35.57732955560214,11460000000,0.1773074296641472,0.0015827228342586346,6.951661676845756
scan-fw-894676bdae3d7b2c,686,15.0,4,replayed,True,replayed,True,0.14323103371407286,0.0002837166020530317,0.9644602392790921,11.858164102532267,112.31467656029332,3.131339013748854,3,-678241.2340618124,0.0,11956787.109375,0.04892984999642653,2.1137695198456257,650.8664596546013,22.37706242072746,11460000000,0.15265533275218482,0.0015606792434942603,5.940517177218003
