case_id,partition,group_id,view,scan_count,prior,model,status,latitude_deg,longitude_deg,tau_s,reference_error_km,training_capped_loss,held_capped_rms_hz,held_uncapped_supported_rms_hz,track_count,occupied_second_weight,assignment_changes_from_baseline,global_tau_boundary,paired_inference_runtime_s
validation_20260922_08_16,validation,20260922_08,16,16,sacramento,baseline,completed,37.921134516241715,-122.35830505678194,0.0,13.754450268200962,0.21854576819179905,387.19374417962985,577.269106395338,483,6849,,False,422.75871512503363
validation_20260922_08_16,validation,20260922_08,16,16,sacramento,shared_time,completed,37.935182678413426,-122.3992768907016,-0.7499999999999998,12.215509603961477,0.20881155793679648,380.0271354969244,554.4316894740573,483,6849,43,False,422.75871512503363
validation_20260922_08_all,validation,20260922_08,all,44,reno,baseline,completed,37.85410801368175,-122.42990414401866,0.0,4.927279078142444,0.14069589418470257,315.78308858830053,483.16145169190116,1497,22462,,False,1379.9912489309208
validation_20260922_08_all,validation,20260922_08,all,44,reno,shared_time,completed,37.855512344662436,-122.44414154047807,-0.20000000000000018,3.7153088098969085,0.13957133230433202,314.7994652568898,482.34819784802556,1497,22462,16,False,1379.9912489309208
validation_20260922_08_all,validation,20260922_08,all,44,sacramento,baseline,completed,37.85417901895622,-122.42916577233431,0.0,4.992583412494412,0.14069841996817523,315.8078980494962,482.59046145122034,1497,22462,,False,1284.2073289529653
validation_20260922_08_all,validation,20260922_08,all,44,sacramento,shared_time,completed,37.85417880468376,-122.43984383002885,-0.20000000000000018,4.062647764060781,0.13970329722604596,315.3923937388212,483.00959283067095,1497,22462,17,False,1284.2073289529653
validation_20260921_08_1,validation,20260921_08,1,1,reno,baseline,completed,38.13671999632987,-122.36193924263323,0.0,33.776564965117515,0.2039204619859421,378.8040250253452,976.6573861166015,32,537,,False,32.130092601059005
validation_20260921_08_1,validation,20260921_08,1,1,reno,shared_time,completed,38.133908740819244,-122.34586040638737,0.2999999999999998,33.963162018768244,0.20304607567582794,378.4426026884715,974.3683952372143,32,537,2,False,32.130092601059005
validation_20260921_08_1,validation,20260921_08,1,1,sacramento,baseline,completed,38.135745941471114,-122.36309997198444,0.0,33.64141694806906,0.20392113420297175,378.7579637767046,976.4963517235464,32,537,,False,24.117290079011582
validation_20260921_08_1,validation,20260921_08,1,1,sacramento,shared_time,completed,38.1343398199451,-122.3434482736478,0.2999999999999998,34.08457579133992,0.20293996763993627,378.7582320868508,974.8853681591518,32,537,1,False,24.117290079011582
validation_20260921_08_6,validation,20260921_08,6,6,reno,baseline,completed,37.85270460439504,-122.41427775152926,0.0,6.280195816106613,0.15482757560895608,316.70160597053786,533.212162207243,249,4584,,False,279.74750222300645
validation_20260921_08_6,validation,20260921_08,6,6,reno,shared_time,completed,37.85691903030324,-122.44097314187601,-0.4500000000000003,4.019739233804964,0.151099119362485,313.8941447797142,527.6522090716842,249,4584,7,False,279.74750222300645
validation_20260921_08_6,validation,20260921_08,6,6,sacramento,baseline,completed,37.85254631318987,-122.41535240776827,0.0,6.184912602904582,0.15482419462107488,316.6765089526595,533.0265455192335,249,4584,,False,258.4736795820063
validation_20260921_08_6,validation,20260921_08,6,6,sacramento,shared_time,completed,37.856760739104566,-122.44204774079459,-0.5500000000000004,3.9238294310416206,0.1509781923405255,314.13052220260937,528.8628169905672,249,4584,9,False,258.4736795820063
validation_20260921_08_16,validation,20260921_08,16,16,reno,baseline,completed,37.86855341306112,-122.41439866773858,0.0,6.621506064279924,0.12139696261567769,285.2908207697576,391.9548122349317,704,13010,,False,829.501636507106
validation_20260921_08_16,validation,20260921_08,16,16,reno,shared_time,completed,37.8755782278504,-122.43931997985155,-0.5500000000000004,5.025706123895588,0.11674140576493831,281.06696675588165,386.484411760208,704,13010,34,False,829.501636507106
