path,scope_digest,branch_id,trajectory_id,window_index,start_time_s,end_time_s,reference_time_s,phase_supported_span_ms,supported_frame_count,phase_update_count,phase_lock_qualified,qualified_20_70ms_segment,local_cfo_doppler_rate_hz_s,local_cfo_doppler_rate_sigma_hz_s,phase_frequency_kalman_rate_hz_s,glrt_doppler_rate_hz_s,local_minus_glrt_rate_hz_s,frequency_line_rms_hz,held_out_frequency_rms_hz,median_coherence_margin,qualification_failures
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,4,49.85,49.92,49.88158626382979,61.3332,47,47,True,True,-3781.3597334522215,144.77153520725662,-3850.5898165645767,-5654.410863263503,1873.051129811282,17.95063088668126,18.754848660245695,0.09227847247566669,
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,5,50.15,50.22,50.1853044,68.0,52,52,True,True,-3645.00874305167,149.739768079492,-3716.1624785961176,-5654.410863263503,2009.4021202118333,21.607773930651135,21.60905742878583,0.0960890467090683,
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,6,50.525,50.595,50.53316013333333,14.666799999999999,12,12,False,False,-2887.893409005492,1142.4138752923027,-2863.954082846325,-5654.410863263503,2766.5174542580116,18.215094952572233,26.34940930737203,0.0887142882238049,supported frame coverage below threshold; modulo-pi phase lock did not qualify; phase-supported span is shorter than 20 ms
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,7,50.825,50.895,50.84044386086957,29.3332,23,23,True,False,-4056.098985113574,326.89893417223925,-5608.668650369383,-5654.410863263503,1598.3118781499293,13.865716803784876,15.031041898055744,0.08646071230456892,supported frame coverage below threshold; local-line and Kalman Doppler rates disagree
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,8,51.2,51.27,51.234708000000005,68.0,52,48,True,True,-3726.745148604954,115.69547985062711,-3759.5463900268123,-5654.410863263503,1927.6657146585494,16.69510915819922,16.911062663145074,0.08879547434018994,
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,9,51.5,51.57,51.53474813333333,65.3332,51,49,True,True,-3787.8757619904472,145.8259912455858,-3734.71184597113,-5654.410863263503,1866.5351012730562,20.43877579484423,20.548688726108225,0.09209620074776101,
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,10,51.875,51.945,51.8897744,27.999999999999996,22,22,True,False,-4000.9956830137376,408.4996153845334,-4461.871646652929,-5654.410863263503,1653.4151802497659,16.207835294095545,20.00977464003358,0.09747675621287522,supported frame coverage below threshold
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,11,52.225,52.295,52.26028,67.99999999999999,52,49,True,True,-3715.779883669348,121.69362793108375,-3344.638453157535,-5654.410863263503,1938.6309795941556,17.560654960676167,18.339343105463765,0.07216402362957189,
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,12,52.65,52.72,52.6850484,67.99999999999999,52,50,True,True,-3874.161481482869,155.48906553779057,-3815.4510956999657,-5654.410863263503,1780.2493817806344,22.43741004757789,24.949240968414667,0.08720819811870419,
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,13,52.95,53.02,52.98605986938776,1.3331999999999997,49,2,False,False,-3694.7666098891195,187.38804499456563,-3710.9938056949577,-5654.410863263503,1959.6442533743839,24.733958016054135,26.146413904535315,0.07328821188194222,modulo-pi phase lock did not qualify; phase-supported span is shorter than 20 ms
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,14,53.35,53.42,53.3612704,19.999999999999996,16,16,False,False,-2859.4298461064955,1132.3202187637448,-7194.085557323046,-5654.410863263503,2794.981017157008,27.83864520127825,37.76402243253842,0.07669394290661366,supported frame coverage below threshold; modulo-pi phase lock did not qualify; local-line and Kalman Doppler rates disagree; phase-supported span is shorter than 20 ms
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,15,53.65,53.72,53.66927813333333,34.666799999999995,27,27,True,False,-3722.4808026049727,456.62278625578926,-4108.288848537292,-5654.410863263503,1931.9300606585307,24.6407262392779,30.23656395413349,0.08034780404379196,supported frame coverage below threshold
