visit_index,target_index,channel,edge,receiver_id,probe_start_sample,candidate_rank,integer_epoch_sample,fractional_epoch_offset_samples,acquired_absolute_baseband_cfo_hz,glrt_residual_cfo_hz,tracking_absolute_baseband_cfo_hz,pilot_nominal_baseband_hz,pilot_relative_raw_cfo_hz,pilot_relative_canonical_display_cfo_hz,pilot_alias_lift,fractional_exact_score,fractional_control_score,fractional_margin,passed_0p025_comparison_gate,integer_device_sample_counter
2160,5,2,upper,1,0,6,10296,-1.1577540197771046,532800.7829674983,30628.5511363644,563429.3341038626,312500.0,250929.33410386264,23656.606831135374,1,0.041575561191527804,0.03283002338357996,0.008745537807947845,False,495071961386
2160,5,2,upper,1,0,7,1219,0.13122976812101766,-70250.14753566362,42169.74431818287,-28080.40321748075,312500.0,-340580.40321748075,-113307.67594475349,-1,0.035855680482234094,0.037423324224030656,-0.0015676437417965622,False,495071952309
2161,6,3,upper,0,0,0,9254,0.9386524240244117,-55084.529786443396,-107421.87500000268,-162506.40478644607,312500.0,-475006.4047864461,-20460.950240991544,-2,0.03713602945759282,0.03684447108184539,0.0002915583757474305,False,495073362630
2161,6,3,upper,0,0,1,2095,-0.5989363922814012,-375087.50214996596,-112748.57954545735,-487836.08169542335,312500.0,-800336.0816954233,108754.82739548571,-4,0.036107683918205555,0.04443568610335841,-0.008328002185152852,False,495073355471
2161,6,3,upper,0,0,2,2096,-0.17715957142716268,-449792.2778213484,35511.36363636452,-414280.9141849839,312500.0,-726780.9141849838,-44962.732366802054,-3,0.03806781996660077,0.04600025093102283,-0.00793243096442206,False,495073355472
2161,6,3,upper,0,0,3,5901,-1.0958806314435903,180452.6958514275,-60813.21022727424,119639.48562415325,312500.0,-192860.51437584675,34412.21289688052,-1,0.03834430795163174,0.03400013285514701,0.004344175096484729,False,495073359277
2161,6,3,upper,0,0,6,12921,1.1902281231655845,631822.8047822275,40394.176136364644,672216.9809185922,312500.0,359716.9809185922,-94828.47362686234,2,0.045246887464803764,0.04208407965043159,0.0031628078143721775,False,495073366297
2161,6,3,upper,1,0,1,10064,1.117878927224459,869839.0704804288,110085.22727273002,979924.2977531587,312500.0,667424.2977531587,-14393.884065023041,3,0.04504281055101534,0.039019449858308734,0.006023360692706606,False,495073363440
2161,6,3,upper,1,0,3,7414,0.0979204286039185,45436.928634952754,39506.392045455534,84943.32068040829,312500.0,-227556.67931959173,-283.9520468644623,-1,0.03812451637786123,0.03746129433467009,0.0006632220431911431,False,495073360790
2161,6,3,upper,1,0,6,3900,-1.168275261888669,1031956.0647234257,59481.53409091057,1091437.5988143361,312500.0,778937.5988143361,97119.41699615435,3,0.03893140860680056,0.03951191694155626,-0.0005805083347556958,False,495073357276
2161,6,3,upper,1,0,7,12332,1.293018548830657,-446448.6882433299,91885.6534090932,-354563.03483423666,312500.0,-667063.0348342366,14755.14698394516,-3,0.0374592951474816,0.03832686824529971,-0.0008675730978181112,False,495073365708
2162,7,4,upper,0,0,2,12650,0.32049788163828297,85083.55633726867,39062.500000000975,124146.05633726965,312500.0,-188353.94366273034,38918.78360999693,-1,0.04264424678364935,0.041616360311885044,0.0010278864717643069,False,495074770638
2162,7,4,upper,0,0,3,6671,0.8923390115413674,-409957.91389866045,-84339.48863636574,-494297.4025350262,312500.0,-806797.4025350262,102293.50655588286,-4,0.03580269550841949,0.039889006602777964,-0.004086311094358475,False,495074764659
2162,7,4,upper,0,0,4,7376,-0.8795832787364327,565551.078757515,2663.3522727273394,568214.4310302422,312500.0,255714.43103024224,28441.703757514973,1,0.04064831559810971,0.033869762995385945,0.006778552602723767,False,495074765364
2162,7,4,upper,0,0,5,9120,-0.44020125818423833,-246827.9505651988,106090.19886363902,-140737.75170155976,312500.0,-453237.75170155976,1307.7028438947746,-2,0.03783046132128565,0.037946464003764155,-0.0001160026824785082,False,495074767108
2162,7,4,upper,0,0,7,7814,-0.27040243952740256,-245749.87483292725,51935.36931818311,-193814.50551474415,312500.0,-506314.50551474415,-51769.050969289616,-2,0.042086237131278376,0.042972312739116274,-0.0008860756078378981,False,495074765802
2162,7,4,upper,1,0,2,5303,-0.8080378386707754,364838.4038914848,-52823.15340909223,312015.25048239256,312500.0,-484.74951760744443,-484.74951760744443,0,0.044094270742152754,0.031829117587379656,0.012265153154773098,False,495074763291
2162,7,4,upper,1,0,3,6381,0.4256353885355424,1104927.5597636213,15536.221590909478,1120463.7813545307,312500.0,807963.7813545307,-101127.12773637834,4,0.04090631806994871,0.035009294689816756,0.005897023380131955,False,495074764369
2162,7,4,upper,1,0,6,11828,0.07072827809523541,745544.8318691703,-31516.335227273514,714028.4966418968,312500.0,401528.4966418968,-53016.95790355775,2,0.038810570267269105,0.03569462287743179,0.003115947389837316,False,495074769816
2162,7,4,upper,1,0,7,9905,-1.4092015510815303,-461512.4987100689,-13760.653409091252,-475273.1521191601,312500.0,-787773.1521191602,-105954.9703009784,-3,0.03687934116997889,0.03880090155871216,-0.0019215603887332705,False,495074767893
2163,5,2,upper,0,0,0,11809,-0.3187188486729761,477979.7159664683,10653.409090909357,488633.1250573777,312500.0,176133.12505737768,-51139.60221534959,1,0.039562629315364466,0.0360777832128419,0.0034848461025225666,False,495076170135
2163,5,2,upper,0,0,3,11809,0.4185978389769141,350255.6358922909,32848.01136363718,383103.6472559281,312500.0,70603.64725592808,70603.64725592808,0,0.03910301426304625,0.03811646541009211,0.0009865488529541416,False,495076170135
2163,5,2,upper,0,0,4,12888,-0.9614766961787606,-411071.36364986456,-113192.47159091191,-524263.8352407765,312500.0,-836763.8352407764,72327.07385013264,-4,0.03931539461884683,0.03920760285303738,0.00010779176580945349,False,495076171214
2163,5,2,upper,0,0,7,6679,1.1430125874163723,-176027.8369915826,55042.61363636501,-120985.22335521757,312500.0,-433485.2233552176,21060.231190236926,-2,0.042336964986165834,0.03508228969775603,0.007254675288409805,False,495076165005
2163,5,2,upper,1,0,0,10177,-1.3534035787740937,-232782.06201184914,-79012.78409091107,-311794.8461027602,312500.0,-624294.8461027602,57523.33571542159,-3,0.04486934074286832,0.03206612592278078,0.01280321482008754,False,495076168503
2163,5,2,upper,1,0,3,4446,1.3855228640842887,502121.9806405817,61257.1022727288,563379.0829133105,312500.0,250879.0829133105,23606.355640583235,1,0.04047708744684275,0.037337033322061404,0.003140054124781348,False,495076162772
2163,5,2,upper,1,0,5,7041,0.6413651155597939,-319540.9914258523,-31960.22727272807,-351501.21869858034,312500.0,-664001.2186985803,17816.96311960148,-3,0.03538751825548283,0.03310291983948067,0.002284598416002162,False,495076165367
2163,5,2,upper,1,0,6,1196,0.9710635162341064,573394.7368100754,15092.329545454922,588487.0663555303,312500.0,275987.0663555303,48714.339082803024,1,0.041792129828763895,0.03750705354810407,0.0042850762806598275,False,495076159522
2164,5,2,upper,0,0,0,8007,-1.3988164093809847,-383176.18434365536,77237.21590909283,-305938.96843456256,312500.0,-618438.9684345626,63379.21338361921,-3,0.03781424673776651,0.03259333039224199,0.005220916345524518,False,495077366534
2164,5,2,upper,0,0,2,6011,1.160582588391851,172692.7256435923,-14648.437500000366,158044.28814359193,312500.0,-154455.71185640807,72817.01541631919,-1,0.04059020200698458,0.03744379504387953,0.0031464069631050515,False,495077364538
