analysis_elapsed_seconds,analyzed_segments,bundle_bytes,burst_id,capture_elapsed_seconds,fallback_window_segments,position,preferred_window_segments,qualified_fraction,qualified_segments,scan_id,status,unavailable_segments
10.735630457988009,8,6138493,scan-burst-618a9b1b602d4492,1.8909374630020466,0,4,8,0.125,1,scan-burst-618a9b1b602d4492-04,partial,0
11.687166488991352,10,6580019,scan-burst-fea56696109740a8,1.8638036820048,0,1,10,0.2,2,scan-burst-fea56696109740a8-01,partial,0
14.413105966988951,9,6429333,scan-burst-fea56696109740a8,1.8439727039949503,0,2,9,0.2222222222222222,2,scan-burst-fea56696109740a8-02,partial,0
14.249635307991412,10,6489815,scan-burst-fea56696109740a8,1.8425140290055424,0,3,10,0.2,2,scan-burst-fea56696109740a8-03,partial,0
14.544742119993316,10,6442433,scan-burst-fea56696109740a8,1.851890246005496,0,4,10,0.1,1,scan-burst-fea56696109740a8-04,partial,0
11.055940493009984,11,6514223,scan-burst-fe623e1834a84d01,1.8838484180159867,0,1,11,0.09090909090909091,1,scan-burst-fe623e1834a84d01-01,partial,0
11.280240185995353,12,6824559,scan-burst-fe623e1834a84d01,1.8362564039998688,0,2,12,0.0,0,scan-burst-fe623e1834a84d01-02,insufficient_data,0
10.992190980992746,8,6226123,scan-burst-fe623e1834a84d01,1.8290052409865893,0,3,8,0.125,1,scan-burst-fe623e1834a84d01-03,partial,0
11.058436531020561,6,6060260,scan-burst-fe623e1834a84d01,1.8580745810177177,1,4,5,0.3333333333333333,2,scan-burst-fe623e1834a84d01-04,partial,0
11.674344392988132,8,6465529,scan-burst-e0613b9ea4bd42df,1.8612703520047944,0,1,8,0.125,1,scan-burst-e0613b9ea4bd42df-01,partial,0
13.710022365004988,9,6394739,scan-burst-e0613b9ea4bd42df,1.896997867996106,1,2,8,0.0,0,scan-burst-e0613b9ea4bd42df-02,insufficient_data,0
