absolute_rate_outlier_count,absolute_rate_outlier_fraction,applied_phase_slip_count,byte_size,frame_count,internal_status,maximum_absolute_rate_hz_s,median_track_rate_sigma_hz_s,median_track_slip_fraction,path,phase_slip_count,phase_slip_fraction,registry_status,session_id,track_count
4731,0.6016022380467956,5052,7256343,7864,partial,4041052.789132021,0.15325175843843913,0.6395328030671044,stream-1 · RX0,5052,0.6424211597151577,complete,cap-20260823T093900-39acaef247b6,4
2132,0.8624595469255664,1546,2284227,2472,complete,5481120.832653512,0.190013921086281,0.591740545393334,stream-0 · RX1,1546,0.6254045307443366,complete,cap-20260823T094200-286af7ccf451,8
531,0.9584837545126353,346,510325,554,complete,8189750.853335454,0.19491607948695364,0.6006944444444444,stream-1 · RX0,346,0.6245487364620939,complete,cap-20260823T094200-286af7ccf451,4
14317,0.520864408629534,17856,25434303,27487,complete,22138723.22365417,0.16293291939344495,0.5970918342699796,stream-1 · RX1,17856,0.6496161821952195,complete,cap-20260823T094200-286af7ccf451,16
7699,0.4622358309317964,11113,15368211,16656,complete,9378728.986946011,0.14803627767499442,0.6861626248216833,stream-0 · RX0,11113,0.6672070124879923,complete,cap-20260823T094200-286af7ccf451,7
5081,0.34403141715755975,10619,13602471,14769,complete,20759627.947060976,0.13952507682493703,0.715893587994543,stream-0 · RX0,10619,0.7190060261358251,partial_coverage,cap-20260823T094500-4c44f53f328a,9
13894,0.44010136205258155,21259,29161107,31570,complete,8907403.535340078,0.1390423453267083,0.7006869479882237,stream-0 · RX1,21259,0.6733924611973392,partial_coverage,cap-20260823T094500-4c44f53f328a,13
19628,0.5400616332819723,23826,33581558,36344,complete,12073025.261286594,0.15343809306132422,0.6393037622565034,stream-1 · RX1,23826,0.6555690072639225,partial_coverage,cap-20260823T094500-4c44f53f328a,16
4965,0.5888981141027162,5500,7768352,8431,complete,13466815.883403955,0.15238942670511801,0.6724521584334668,stream-1 · RX0,5500,0.6523544063574902,complete,cap-20260823T094500-4c44f53f328a,7
16536,0.47435456110154905,22823,32215500,34860,partial,9080446.561782837,0.1635602533757476,0.5923532579429187,stream-1 · RX1,22823,0.6547045324153757,partial_coverage,cap-20260823T094800-8799dba1652a,15
