session_id,visit_index,band,windows,linear_fit_rms_ns,alternating_validation_rms_ns
scan-hop-bdb97ee3a5264d7d,1980,derived2p5,90,1226.2913523068569,1274.440458198258
scan-hop-bdb97ee3a5264d7d,2370,derived2p5,90,1256.4079525448735,1277.230901074015
scan-hop-dc5eb69c6fabf708,811,native10,90,814.7489015537326,978.55532499689
scan-hop-dc5eb69c6fabf708,811,derived2p5,90,1036.3357120267847,1084.9843782144353
scan-hop-dc5eb69c6fabf708,1034,native10,90,973.6264818276311,1020.6548650282006
scan-hop-dc5eb69c6fabf708,1468,native10,90,1056.439514083441,1093.9050082121587
scan-hop-dc5eb69c6fabf708,1606,native10,90,905.8684849998424,863.1924841228533
scan-hop-dc5eb69c6fabf708,1606,derived2p5,90,1224.7207769142433,1214.9468222399842
scan-hop-dc5eb69c6fabf708,1728,native10,90,679.4127318094457,631.1473606869586
scan-hop-dc5eb69c6fabf708,1728,derived2p5,90,1125.8575128991388,1059.0201427205045
scan-hop-dc5eb69c6fabf708,2059,native10,90,983.1901907779458,993.1337560572191
scan-hop-dc5eb69c6fabf708,2059,derived2p5,90,1126.297105796843,1060.3083163679319
scan-hop-dc5eb69c6fabf708,2165,native10,90,723.5058389000599,664.606981681742
scan-hop-dc5eb69c6fabf708,2165,derived2p5,90,1039.3596386801057,1024.5558399122704
scan-hop-dc5eb69c6fabf708,2286,native10,90,1114.8489524866268,1103.2171980838314
scan-hop-b92871e1644b09d0,314,native10,90,729.5338101797677,691.7508763067797
scan-hop-b92871e1644b09d0,314,derived2p5,90,977.3812910779462,885.0461899334982
scan-hop-b92871e1644b09d0,422,native10,90,772.312650618969,919.7436849817639
scan-hop-b92871e1644b09d0,422,derived2p5,90,1069.7816590387158,1108.1219369248222
scan-hop-b92871e1644b09d0,779,native10,90,1002.1034517220761,1026.6490431127702
scan-hop-b92871e1644b09d0,2065,native10,90,731.0937198318289,765.1636357230732
scan-hop-b92871e1644b09d0,2065,derived2p5,90,937.6868209049811,861.604931890232
scan-hop-b92871e1644b09d0,2297,native10,89,967.0207900371753,1075.9244741659131
scan-hop-157c185070779e8c,4,native10,90,1048.5681192003292,1011.3943748602599
scan-hop-157c185070779e8c,660,native10,90,1004.1159328636837,949.9414215604769
scan-hop-002263e74ae412da,295,native10,90,1079.35198865299,988.7203506865745
scan-hop-002263e74ae412da,772,native10,90,1043.7126117080286,1232.7962960023565
scan-hop-002263e74ae412da,966,native10,90,1035.3069148837112,1117.2460683206364
scan-hop-002263e74ae412da,1457,native10,90,890.6632703552289,809.9739938854472
scan-hop-002263e74ae412da,1457,derived2p5,90,1015.5283862846031,1070.7376714410823
scan-hop-002263e74ae412da,1698,native10,90,1045.8540984940926,1134.9753613266155
scan-hop-ed11f2f4c5f9c6d5,1161,native10,90,1042.6539673557754,1090.5307289118584
scan-hop-ed11f2f4c5f9c6d5,2077,native10,90,976.308884242201,1083.773334977575
scan-hop-ed11f2f4c5f9c6d5,2133,native10,90,945.1189235349453,1003.5931866754855
scan-hop-77d48b1a4eb9be93,757,native10,90,1089.7456830799724,1190.8632652503313
scan-hop-77d48b1a4eb9be93,782,native10,90,1138.5070390832989,1159.635622557964
scan-hop-77d48b1a4eb9be93,1260,native10,90,879.5575676332764,924.8170654740081
scan-hop-77d48b1a4eb9be93,1415,native10,90,834.2866785146608,890.9667014485113
scan-hop-77d48b1a4eb9be93,1610,native10,90,991.0031528623587,1131.5909791766721
scan-hop-77d48b1a4eb9be93,1621,native10,90,920.2165381957916,1008.5680816494475
scan-hop-2a9d97c91ad3a83e,1537,native10,90,997.7913070096887,982.1048249063996
scan-hop-2a9d97c91ad3a83e,1609,native10,90,728.990122410947,765.8089303220477
scan-hop-2a9d97c91ad3a83e,1609,derived2p5,90,1137.0231215486344,1110.7917291930844
scan-hop-dc538fa7df739a79,379,native10,90,905.6618317499381,856.1340511840609
scan-hop-dc538fa7df739a79,844,native10,90,844.8174338077623,777.2486439489894
scan-hop-dc538fa7df739a79,844,derived2p5,90,1091.6857552353642,1102.7736338297718
scan-hop-db129c9469a5a8b2,1530,native10,90,899.8925662610238,995.4586233523625
scan-hop-db129c9469a5a8b2,1685,native10,90,958.4138355967797,1039.542434090459
scan-hop-db129c9469a5a8b2,1685,derived2p5,90,1195.8893185064373,1286.490726548229
scan-hop-423aa9b751e8a3f5,753,native10,90,1022.2436522498576,1111.6149686615606
scan-hop-aab019dd63812034,368,derived2p5,90,1110.4989783894082,1112.6459800723178
scan-hop-aab019dd63812034,498,native10,90,951.3895574493267,1005.379649501325
scan-hop-aab019dd63812034,1030,native10,90,550.22926248203,576.6553218577595
scan-hop-aab019dd63812034,1030,derived2p5,90,908.1201579084122,700.4306230427538
scan-hop-aab019dd63812034,1360,native10,90,932.6668736890718,957.7896496675793
scan-hop-36d2dd2ffc2e973d,1527,native10,90,1062.0792676606827,1057.8081541867791
scan-hop-d0217fb020ce235b,7,native10,90,1063.775637358238,1120.6296935351272
scan-hop-d0217fb020ce235b,602,native10,90,964.7185631201257,1067.9401906671621
scan-hop-d0217fb020ce235b,1609,native10,90,916.9470757419405,980.2937894277007
scan-hop-d0217fb020ce235b,2130,native10,90,1157.6540040394575,1141.5758834477858
scan-hop-d0217fb020ce235b,2284,native10,90,972.6939571734575,944.6379127670876
scan-hop-d185309146aa8ab6,1247,native10,90,1200.7854431084415,1116.0243926444284
scan-hop-d185309146aa8ab6,1247,derived2p5,90,1125.1198171808237,1163.922326956762
scan-hop-d185309146aa8ab6,2309,native10,90,1114.1100114947271,1077.694105935758
scan-hop-d185309146aa8ab6,2309,derived2p5,90,1231.4431592901074,1282.0297527182147
scan-hop-cf54d8096b706750,237,native10,90,1038.7567863261568,1101.6216892431448
