session_id,visit_index,target_index,band,state,reason,time_s,frame_phase_s,timing_rate_s_per_s,timing_sigma_s,cfo_hz,cfo_rate_hz_per_s,cfo_sigma_hz,accepted_observations
scan-hop-e336bdc3f097d035,996,6,derived2p5,tracking,accepted PSS observation,125.5575592,0.0007936109192513639,2.558721506058361e-06,7.847180841027246e-07,-200000.0,0.0,85365.49556979259,6
scan-hop-e336bdc3f097d035,997,7,native10,tracking,accepted PSS observation,125.6836799,0.0007931136034226217,3.190784872799946e-06,6.148333026828207e-07,-200000.0,0.0,85366.01597931173,6
scan-hop-e336bdc3f097d035,997,7,derived2p5,coasting,no observation inside prediction gate,125.6836798,0.0007936373608159398,3.3810406846591095e-06,1.1754880945982088e-06,-200000.0,0.0,103769.18173505511,4
scan-hop-e336bdc3f097d035,998,2,native10,tracking,accepted PSS observation,125.8099157,0.000793962665884086,2.4547939805235116e-06,5.561366042843365e-07,200000.0,0.0,85366.96329039839,6
scan-hop-e336bdc3f097d035,998,2,derived2p5,lost,ambiguous timing modes,125.8099158,,,,,,,0
scan-hop-e336bdc3f097d035,999,0,native10,lost,no observation inside prediction gate,125.9361571,,,,,,,0
scan-hop-e336bdc3f097d035,999,0,derived2p5,acquiring,accepted PSS observation,125.936157,0.0007148037519795047,0.0,1.1637472209993764e-06,-1200000.0,0.0,200000.0,1
scan-hop-e336bdc3f097d035,1000,3,native10,tracking,accepted PSS observation,126.0610474,0.0007941433584649244,3.1210730588445384e-06,6.594716073531407e-07,129620.90613506053,-1482.9117216801635,85365.82108534251,6
scan-hop-e336bdc3f097d035,1000,3,derived2p5,lost,ambiguous timing modes,126.0610474,,,,,,,0
scan-hop-002263e74ae412da,953,3,native10,acquiring,accepted PSS observation,120.1039802,0.0004904995142047625,0.0,1.0141886067739754e-06,200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,953,3,derived2p5,acquiring,ambiguous timing modes,120.1039802,,,,,,,0
scan-hop-002263e74ae412da,954,5,native10,acquiring,accepted PSS observation,120.2300569,0.000503423757448291,0.0,9.354388400840207e-07,-200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,954,5,derived2p5,acquiring,no observation inside prediction gate,120.230057,,,,,,,0
scan-hop-002263e74ae412da,955,7,native10,acquiring,accepted PSS observation,120.3562421,0.000491096478269984,0.0,1.0200103806289014e-06,-200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,955,7,derived2p5,acquiring,no observation inside prediction gate,120.3562422,,,,,,,0
scan-hop-002263e74ae412da,956,4,native10,acquiring,no observation inside prediction gate,120.4811885,,,,,,,0
scan-hop-002263e74ae412da,956,4,derived2p5,acquiring,no observation inside prediction gate,120.4811886,,,,,,,0
scan-hop-002263e74ae412da,957,1,native10,acquiring,accepted PSS observation,120.6064333,0.0005041243825500011,0.0,9.602774987494419e-07,200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,957,1,derived2p5,acquiring,accepted PSS observation,120.6064334,0.0011176783870403741,0.0,1.0485289863673693e-06,1200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,958,2,native10,acquiring,accepted PSS observation,120.7354735,0.0004804613946780298,0.0,1.0644326149642306e-06,200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,958,2,derived2p5,acquiring,no observation inside prediction gate,120.7354734,,,,,,,0
scan-hop-002263e74ae412da,959,6,native10,acquiring,accepted PSS observation,120.8654375,0.0004804255305910763,0.0,9.700581810602745e-07,-200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,959,6,derived2p5,acquiring,ambiguous timing modes,120.8654374,,,,,,,0
scan-hop-002263e74ae412da,960,0,native10,acquiring,no observation inside prediction gate,120.9921463,,,,,,,0
scan-hop-002263e74ae412da,960,0,derived2p5,acquiring,no observation inside prediction gate,120.9921462,,,,,,,0
scan-hop-002263e74ae412da,961,3,native10,acquiring,accepted PSS observation,121.1183399,0.0004931041660307227,2.5424080498626064e-06,8.264653671771484e-07,200000.0,0.0,141512.4618184095,2
scan-hop-002263e74ae412da,961,3,derived2p5,acquiring,ambiguous timing modes,121.1183398,,,,,,,0
scan-hop-002263e74ae412da,962,7,native10,acquiring,accepted PSS observation,121.2442022,0.0004935627775436584,2.7413577321397597e-06,9.182143138263054e-07,-200000.0,0.0,141491.16809604404,2
