method_id,iteration,arm,method,classification,superseded_by,registry_aliases,ds1_scope,ds3_scope,ds1_terminal_status,ds1_qualification_status,ds1_ranking_eligible,ds1_qualification_reason,ds3_terminal_status,ds1_estimate,ds3_estimate,ds1_postseal_error_km,ds3_qualified_postseal_error_km,ds3_diagnostic_postseal_error_km,postseal_delta_km,ds3_objective,ds3_runtime_s,ds3_support,qualification_reason,comparability,ds1_postseal_artifact,ds1_postseal_artifact_sha256,ds1_qualification_artifact,ds1_qualification_artifact_sha256,ds3_artifact,ds3_artifact_sha256,method_terminal,iteration_ledger_terminal
i05-common-grid-timing-refinement,5,common_grid_timing_refinement,Iteration 5 frozen-spatial common-grid timing refinement,position_method,,[],reports/2026_09_24_ds1_joint_rate_search,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_run,pending DS3 terminal result,,,,,,,False,True
i06-matched-cap300-cap800,6,matched_cap300_cap800,Iteration 6 matched cap-300 proposal / cap-800 exact rank,position_method,,[],reports/2026_09_24_ds1_joint_rate_search,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_run,pending DS3 terminal result,,,,,,,False,True
i06b-legacy-session-scale,6,legacy_session_scale_lbfgsb,Iteration 6B legacy joint session-scale L-BFGS-B,nonportable,i12-regularized-session-scale,[],reports/2026_09_24_ds1_iteration6b_session_scale,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_portable_legacy,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_portable_legacy,accounting/diagnostic only,,,,,,,True,True
i07-ar1-student-t-rerank,7,ar1_student_t,Iteration 7 AR(1)+Student-t residual rerank,diagnostic,,[],reports/2026_09_24_ds1_joint_rate_search,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_run,pending DS3 terminal result,,,,,,,False,True
i07-independent-gaussian-rerank,7,independent_gaussian,Iteration 7 independent-Gaussian residual rerank,diagnostic,,[],reports/2026_09_24_ds1_joint_rate_search,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_run,pending DS3 terminal result,,,,,,,False,True
i08-equal-weight-joint-multiscan,8,joint,Iteration 8 Equal-weight joint multiscan position,position_method,,[],reports/2026_09_24_ds1_iteration8_joint_groups,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_numerical,,"{""label"": ""selected"", ""latitude_deg"": 37.861150792579686, ""longitude_deg"": -122.43770910311348, ""postseal_error_km"": 4.419790395367653, ""ranking_eligible"": false}",,,4.419790395367653,,,0.026770779048092663,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_numerical,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-08.json,sha256:6c089996957405e75e490e318db423fc2c97a72494baefbe61e88fd745580799,True,True
i09-symmetric-joint-refinement,9,joint,Iteration 9 Symmetric shared-coordinate refinement,position_method,,[],reports/2026_09_24_ds1_iteration9_joint_refinement,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_parent,,"{""label"": ""selected"", ""latitude_deg"": 37.85939627856603, ""longitude_deg"": -122.45326526727122, ""postseal_error_km"": 3.0682741796640824, ""ranking_eligible"": false}",,,3.0682741796640824,,,0.04615711292717606,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_parent,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-09.json,sha256:9913a275005b4a8435b85e0872eaadec3de836f8dab09e28d959aa1bb73c9d8d,True,True
i10-three-level-shared-refinement,10,joint,Iteration 10 Three-level symmetric shared refinement,position_method,,[],reports/2026_09_24_ds1_iteration10_refinement,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_parent,,"{""label"": ""selected"", ""latitude_deg"": 37.86071216407627, ""longitude_deg"": -122.45715424879758, ""postseal_error_km"": 2.8191400075487474, ""ranking_eligible"": false}",,,2.8191400075487474,,,0.04390756692737341,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_parent,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-10.json,sha256:1ad478d94a688dc357166c067ca7768a5d7c3ff87cb9feff10e35551cabd82ef,True,True
i11-fine-symmetric-confirmation,11,joint,Iteration 11 Fine symmetric confirmation,position_method,,[],reports/2026_09_24_ds1_iteration11_fine_confirmation,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_parent,,"{""label"": ""selected"", ""latitude_deg"": 37.86137010683139, ""longitude_deg"": -122.45812650616436, ""postseal_error_km"": 2.779026685826773, ""ranking_eligible"": false}",,,2.779026685826773,,,0.05300372699275613,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_parent,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-11.json,sha256:41c50833826e5b63631b933f7dc0ed985f218ce3017592e2f5ff9ab7a12243ab,True,True
i12-consistent-cap800,12,consistent_cap800,Iteration 12 consistent cap-800 joint objective,position_method,,[],reports/2026_09_24_ds1_iteration12_consistent_objective,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,terminal_control,,"{""label"": ""selected"", ""latitude_deg"": 37.8488545464542, ""longitude_deg"": -122.43975022781602, ""postseal_error_km"": 4.030558902953494, ""ranking_eligible"": false}",,,4.030558902953494,,0.05459496855358359,40.42868732800707,"{""observations"": null, ""sources"": null, ""tracks"": null}",terminal_control,sealed DS3 control; qualification metadata unavailable,,,,,reports/2026_09_24_ds3_all_captures/output/followups-v2/consistent-cap800.json,sha256:9c9bfc6cfddcd6b222ad22378c9643f4a74176935aea78c4032e859e8b005c50,True,True
i12-expanded-exact-rate-only,12,expanded_exact_rate_only,Iteration 12 expanded exact rate-only,position_method,,[],reports/2026_09_24_ds1_iteration12_comparison,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_boundary,,"{""label"": ""selected"", ""latitude_deg"": 37.86246667808992, ""longitude_deg"": -122.45937654473744, ""postseal_error_km"": 2.7484349402358177, ""ranking_eligible"": false}",,,2.7484349402358177,,0.12133712353734655,0.0,"{""observations"": 36270, ""sources"": 685, ""tracks"": 1443}",rate-only winner is on the finite lattice boundary,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/i12-method-arm-output/expanded-exact-rate-only.json,sha256:a7eb01e1a98419d289d2095b1a2791bf1bc2c9946b10d142e623d1fa2a5f2384,True,True
i12-regularized-session-scale,12,regularized_common_plus_session_scale,Iteration 12 regularized common plus session scale,position_method,,[],reports/2026_09_24_ds1_iteration12_session_scale,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_convergence,,"{""label"": ""selected"", ""latitude_deg"": 37.86071216407627, ""longitude_deg"": -122.45937654473744, ""postseal_error_km"": 2.647493615564554, ""ranking_eligible"": false}",,,2.647493615564554,,0.16227610653257135,,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_convergence,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-12.json,sha256:f7e2eb1b65d6c777c10e55cf60ec66f7963bbc6fd9afd3464c1e45da412647eb,True,True
i12-shared-norad-rate,12,shared_norad_rate,Iteration 12 shared-NORAD rate control,diagnostic,,[],reports/2026_09_24_ds1_iteration12_shared_norad,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,no_position_diagnostic,,,,,,,,,"{""observations"": null, ""sources"": 676, ""tracks"": 1443}","shared NORAD support is nonzero; independent per-group rate maps cannot be merged as a block-diagonal equivalence, so this terminal diagnostic does not claim a shared-rate position fit",accounting/diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/i12-method-arm-output/shared-norad-rate.json,sha256:2a6abdccb68b93f000983d7a5c53688cf48699fa4827b108d2e3c22b8e32c3b1,True,True
i13-basin-closure,13,basin,Iteration 13 Basin closure,position_method,,[],reports/2026_09_24_ds1_iteration13_basin_closure,DS3/all56,historical_terminal,qualified,True,sealed qualification passed,unqualified_boundary,,"{""label"": ""selected"", ""latitude_deg"": 37.868607477137715, ""longitude_deg"": -122.46937687646681, ""postseal_error_km"": 2.6037970454803756, ""ranking_eligible"": false}",0.5998998209458487,,2.6037970454803756,,0.11631066287888722,,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_boundary,terminal but unqualified; estimate is diagnostic only,reports/2026_09_24_ds1_iteration13_basin_closure/evaluation/postseal-evaluation.json,sha256:50dc240903513225147a5aada5aca465f5b1f1ca42503674f7314e91fc10df30,reports/2026_09_24_ds1_iteration13_basin_closure/qualification.json,sha256:5a3ecf7bd4bd96dab2fa63e211ba8e5084d0d0c0751e1d5c0645bf0369e2c329,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-13.json,sha256:6fab95f0145452b6d985f44211d9dabf83afd07cc1c92fe75c51d494a45cc2ae,True,True
i14-cap800-basin,14,basin,Iteration 14 Cap-800 basin search,position_method,,[],reports/2026_09_24_ds1_iteration14_cap800_basin,DS3/all56,historical_terminal,unqualified,False,sealed inference is incomplete,unqualified_boundary,"{""latitude_deg"": 37.84857850754464, ""longitude_deg"": -122.4911839604212}","{""label"": ""selected"", ""latitude_deg"": 37.86071216407627, ""longitude_deg"": -122.47937827966231, ""postseal_error_km"": 1.4107574452149116, ""ranking_eligible"": false}",0.4881507422722237,,1.4107574452149116,,0.05207334365436607,,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_boundary,terminal but unqualified; estimate is diagnostic only,reports/2026_09_24_ds1_iteration14_cap800_basin/postseal-evaluation.json,sha256:e30c1bcb19bc01025740082618714bfc200aa840d8d91f5eb0291a84914947c6,reports/2026_09_24_ds1_iteration14_cap800_basin/inference.json,sha256:96ae3bea73d516799afaba62b557c56211a453d9e96a63632694af225e1ff527,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-14.json,sha256:ab04ffb1c257665ee406ca5c9cbdb85c891428247fb277baa432e4afb3250e3e,True,True
i15-information-weighted,15,information_weighted,Iteration 15 Information-weighted search,superseded,i19-rate-bound-audit,[],reports/2026_09_24_ds1_iteration15_information_weighted,DS3/all56,historical_terminal,invalidated_by_later_audit,False,widened-rate basin remained on the northwest boundary and is unqualified,unqualified_boundary,,"{""label"": ""selected"", ""latitude_deg"": 37.868607477137715, ""longitude_deg"": -122.48937861139169, ""postseal_error_km"": 2.201047032894195, ""ranking_eligible"": false}",0.5755771101795844,,2.201047032894195,,0.11406291976057074,,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_boundary,terminal but unqualified; estimate is diagnostic only,reports/2026_09_24_ds1_iteration15_information_weighted/evaluation/postseal-evaluation.json,sha256:94a4790e62669e30883b7b4194ae02d3ec87fd43918d813476ee5ce20fa15003,reports/2026_09_25_ds1_iteration19_rate_bound_audit/comparison.json,sha256:448262c59609311f3d2828ef2f00fe47651ee38934e3cefa2829e45fe1ba02dd,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-15.json,sha256:d318a6f918bef30546e29aa06879fbdca4d338a07e0557d5908f762ffdde0d2a,True,True
i16-dynamic-association,16,dynamic_association,Iteration 16 Dynamic association,position_method,,[],reports/2026_09_24_ds1_iteration16_dynamic_association,DS3/all56,historical_terminal,unqualified,False,sealed qualification reports qualified=false,unqualified_boundary,,"{""label"": ""selected"", ""latitude_deg"": 37.87080061965478, ""longitude_deg"": -122.49160114543513, ""postseal_error_km"": 2.476156706132188, ""ranking_eligible"": false}",0.8596298644213448,,2.476156706132188,,0.11969353307941573,,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_boundary,terminal but unqualified; estimate is diagnostic only,reports/2026_09_24_ds1_iteration16_dynamic_association/evaluation/postseal-evaluation.json,sha256:6f21626306fd956da6dab7a2a4311e76c7b87b412e6a623ae50feae832b9060d,reports/2026_09_24_ds1_iteration16_dynamic_association/qualification.json,sha256:68cd52bbe4392e42e7cde76d09feb3d85c4dfcdc9bfa99a4d90dace35074bdaa,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-16.json,sha256:3dcd2e323ac3e35f013868823cbbdd89abdefa73ab342285e51dd48ddd9e14d3,True,True
i17-reacquire-then-freeze,17,reacquire_then_freeze,Iteration 17 Reacquire then freeze,position_method,,[],reports/2026_09_24_ds1_iteration17_reacquire_then_freeze,DS3/all56,historical_terminal,qualified,True,sealed qualification passed,unqualified_boundary,,"{""label"": ""selected"", ""latitude_deg"": 37.87123924815819, ""longitude_deg"": -122.49437939568497, ""postseal_error_km"": 2.585343658805809, ""ranking_eligible"": false}",0.6625490539535278,,2.585343658805809,,0.11925690886632775,,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_boundary,terminal but unqualified; estimate is diagnostic only,reports/2026_09_24_ds1_iteration17_reacquire_then_freeze/evaluation/postseal-evaluation.json,sha256:b90af54fa87c7b73429d5252b843578283fb2532a328887043abc9ac205e6892,reports/2026_09_24_ds1_iteration17_reacquire_then_freeze/qualification.json,sha256:073e82dbdbbea12efafb62a220321844b74202edb690e13e9c4dd9dbdb3a274a,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-17.json,sha256:2cf0f6efdc98759a3b03c019dea900728af5334c810640878087768b124366ec,True,True
i18-timing-refresh,18,timing_refresh,Iteration 18 Timing refresh,position_method,,[],reports/2026_09_24_ds1_iteration18_timing_refresh,DS3/all56,historical_terminal,unqualified,False,sealed geographic_interior gate failed,not_run,,,0.8840637553468491,,,,,0.0009319490054622293,"{""observations"": null, ""sources"": null, ""tracks"": null}",Fresh DS3/all56 computation remains required. Fresh DS3 timing search and geographic closure under repaired rate state model.,pending DS3 terminal result,reports/2026_09_24_ds1_iteration18_timing_refresh/evaluation/postseal-evaluation.json,sha256:e9d54a617fad2fad2ea679da725d22e361fe6f28a50248a4e82c703e587489b3,reports/2026_09_24_ds1_iteration18_timing_refresh/qualification.json,sha256:07502651a0272cd57db9bf9f1dfdfb5c3d9902c691c91d8d00bfe82a3222aa50,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-18.json,sha256:2831edae12d48837a920a9a3982ccd521b35991436c7934f2fab20647de1d125,False,False
i19-rate-bound-audit,19,rate_bound_audit,Iteration 19 Corrected rate-bound audit,position_method,,[],reports/2026_09_25_ds1_iteration19_rate_bound_audit,DS3/all56,historical_terminal,unqualified,False,sealed qualification reports qualified=false,not_run,,,0.9104569037857382,,,,,2.758926711976528e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}",Fresh DS3/all56 computation remains required. Fresh DS3 support and rate audit; no DS1 rates/coordinates.,pending DS3 terminal result,reports/2026_09_25_ds1_iteration19_rate_bound_audit/evaluation/postseal-evaluation.json,sha256:8785f0cc67d61316604ad1c35266f6bdff41b7cd2e937c5e2597cc1466003ac5,reports/2026_09_25_ds1_iteration19_rate_bound_audit/qualification.json,sha256:621670f294076a962575c29e013b7d7a2f2e10ec885510e5d8d3c483af42417c,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-19.json,sha256:6dd173fb77f4137546560e199dbb2619f55d1a0e466bfc501809cd8a0af6728d,False,False
i20-session-predictive,20,session_predictive,Iteration 20 Session-predictive search,position_method,,[],reports/2026_09_25_ds1_iteration20_session_predictive,DS3/all56,historical_terminal,unqualified,False,sealed geographic_interior gate failed,not_run,,,0.2674504032742289,,,,,1.8870923668146133e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}",Fresh DS3/all56 computation remains required. Fresh DS3 session grouping and zero-rate full search.,pending DS3 terminal result,reports/2026_09_25_ds1_iteration20_session_predictive/evaluation/postseal-evaluation.json,sha256:b4b8429f2bbf038c452447b816b60ad01777ae6066de7dd86917ea733121f7b3,reports/2026_09_25_ds1_iteration20_session_predictive/qualification.json,sha256:6a4cebf8135b7149c33bb41be64a44fffb2e367c463e8375ac7ccd07055367a8,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-20.json,sha256:3cc15ddc210356cfb2060f764c505f1a7841842eae07ff62105bede92f082a90,False,False
i21-session-balanced-closure,21,session_balanced,Iteration 21 Session-balanced closure,position_method,,[],reports/2026_09_25_ds1_iteration21_session_balanced_closure,DS3/all56,historical_terminal,unqualified,False,sealed interior_closure gate failed,not_run,,,0.7137949985537156,,,,,1.8189894035458565e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}",Fresh DS3/all56 computation remains required. Fresh DS3 parent/search and terminal closure status.,pending DS3 terminal result,reports/2026_09_25_ds1_iteration21_session_balanced_closure/evaluation/postseal-evaluation.json,sha256:18a59866aa4be32ec4d2da605e507e9189d17ec49522a64ae93ca9951ec80880,reports/2026_09_25_ds1_iteration21_session_balanced_closure/qualification.json,sha256:8561a0560c2be8deb319738f82085b60e60b5c43dff60cc51cbf55e1c324d9c7,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-21.json,sha256:276207ca57cc4658a6a306fc8ff348a09f79f5fb989e7f3c5f5f2a3667a55734,False,False
i22-randomized-time-predictive,22,randomized_time_predictive,Iteration 22 randomized-time predictive diagnostic,diagnostic,,[],reports/2026_09_25_ds1_iteration22_randomized_time_predictive,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run_diagnostic,,,,,,,,2.1780142560601234e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}",This historical method has no standalone geographic output. Generate DS3-local randomized masks and run after a fresh anchor; cannot itself yield a DS3 position.,pending DS3 terminal result,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-22.json,sha256:cfb4d4607506e1a83d9d028d7ca5ab9c474e57383388357f1603c5dde6cd2e33,False,True
i23-widened-rate,23,widened_rate,Iteration 23 widened-rate diagnostic,diagnostic,,[],reports/2026_09_25_ds1_iteration23_widened_rate,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run_diagnostic,,,,,,,,1.5690457075834274e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}","This historical method has no standalone geographic output. Fresh DS3 anchor/hard support, rate schedules and randomized masks.",pending DS3 terminal result,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-23.json,sha256:e553820c8707dcd62365fd1f19c6e5e4ef1ebe195f6248dd071dc05ba5a3897b,False,True
i24-crossfit-rate,24,crossfit_rate,Iteration 24 cross-fit rate diagnostic,diagnostic,,[],reports/2026_09_25_ds1_iteration24_crossfit_rate,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run_diagnostic,,,,,,,,1.667998731136322e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}",This historical method has no standalone geographic output. Fresh DS3 source supports and folds; report admission eligibility only.,pending DS3 terminal result,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-24.json,sha256:6c819d18ccd7393a4fe38283cfd18ae7beb5ad17cab07c78c5a13e9250579e6d,False,True
i25-source-admission,25,source_admission,Iteration 25 source-admission diagnostic,diagnostic,,[],reports/2026_09_25_ds1_iteration25_source_admission,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run_diagnostic,,,,,,,,4.693050868809223e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}",This historical method has no standalone geographic output. Requires fresh DS3 23/24 artifacts at a DS3 anchor; no imported admission list/rates.,pending DS3 terminal result,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-25.json,sha256:65bae8c45cbfc70ab496239b5d1982697386baad5c4ae23c99fcebd00b991913,False,True
i26-quartic-rate-marginal,26,quartic_rate_marginal,Iteration 26 quartic rate-marginal surrogate,nonportable,i27-phase-cache,[],reports/2026_09_25_ds1_iteration26_rate_marginal,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_portable_legacy,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_portable_legacy,accounting/diagnostic only,,,,,,,True,True
