session_id,rate_msps,tracklet_id,channel,edge,span_s,observation_count,local_rms_hz,rate_hz_s,eligibility
scan-fw-2c570fb935c75a7e,10.0,sha256:6fff7eadb7e0844ecd2eb827e136df2faf68ff1c691d4c1434452d6c818ac69e,2,upper,10.824368,12,285.1239859703068,-3040.6242989338657,sparse
scan-fw-bb9e21d60e3f0a83,15.0,sha256:6fee867993618e3ca53d3791f8a0e837825fc29b76b60ac6d4a1f470682c6a56,4,upper,17.836374333,13,246.77081127579143,-3660.7557737281045,sparse
scan-fw-bb9e21d60e3f0a83,15.0,sha256:888cd58a8f1a9224b994903b0c1879556a3104529175d86e382328d051488a00,1,lower,11.383003867,12,122.65782503819064,-3662.4088137915487,sparse
scan-fw-1d6ca9d4aa8febda,10.0,sha256:17eb49f8862614d72658db519d11fb35cac96b9fe6b510c393a76b031cf47a58,3,upper,15.597629,12,144.45984336386786,-3174.329325264199,sparse
scan-fw-f72b01c8dcc297be,15.0,sha256:d21ed10abb33bae338559731dde19b16255a04753c99b7274cd8f48a9b633320,4,upper,17.979014733,13,194.41607024555512,-3869.4253297198056,sparse
scan-fw-f72b01c8dcc297be,15.0,sha256:54e6e04b7b99de9387a32ef6329624f7052601642fc2634ca8a63e58e758a1d4,3,upper,17.1334486,12,109.19859967500808,-3639.410726048672,sparse
scan-fw-f72b01c8dcc297be,15.0,sha256:24bee994c5dffa3967590ffd578b00ea7692a28872ccf97b691f638ead1a6387,1,lower,5.630985667,12,34.81000597677288,-3801.3065335035462,short+sparse
scan-fw-e3095c843bd69659,10.0,sha256:ac0b5e242b0da4f867e185b637ba852f52373a9a4da2c5b8773500680631921f,3,upper,14.1882619,13,68.84025384625092,-3145.284234971843,sparse
scan-fw-e3095c843bd69659,10.0,sha256:3325bc670078b1445b9e2b9ffed96d8f97dc028ef6631b2a27159580289ff108,1,lower,20.9214173,12,106.8605251959776,-3691.463257247407,sparse
scan-fw-5158a3b49ae6d14c,15.0,sha256:c4ea451fd2a38efebdfac0d4f8f6461ba06aec7f45595939d93004f9636e19aa,2,lower,15.170849066,12,33.14390692404094,-3568.667088001377,sparse
scan-fw-201fa5d5e0fdb1b0,20.0,sha256:faabbdadc550824ed606e8f9f9e24fbf0d8dcd20043811e2e869a6ebba0cb187,3,lower,14.7589992,12,118.1490079974454,-3690.113077089796,sparse
scan-fw-aad53cf772dc4baf,10.0,sha256:e1aca49589517dbb338b3af7b5c0c6649fbf925bdfb6ae9763d8ba6e3f1caade,2,lower,14.0525488,12,145.70911269291003,-3581.758872908095,sparse
scan-fw-aad53cf772dc4baf,10.0,sha256:ec0800d4ae0efa2d491345623f3c5b49ddc95f3f448247b1965e9d7153ea8622,2,lower,17.8389211,13,97.68656275285858,-3692.462840174461,sparse
scan-fw-aad53cf772dc4baf,10.0,sha256:01f1b65d3d84dc05a827fe219fc5f4cb7f2c0a0b9521c6f62cbde02b65f95192,3,lower,17.5561321,13,224.65791081219535,-3867.2841377171294,sparse
scan-fw-aad53cf772dc4baf,10.0,sha256:9ea5c18c2025d979b680e1855a07575c2cf66fedb4bd870942d1126fad4c2b9a,3,upper,14.8910903,13,388.00061246492464,-2949.9033993597604,sparse
scan-fw-34a8c6d47c38e873,15.0,sha256:12cf608e920e37dc784c1d794e83799b5b69ce8b148d834e3be504b5a7a832a5,2,upper,13.489772334,13,321.78822149883314,-2680.9206809090347,sparse
scan-fw-34a8c6d47c38e873,15.0,sha256:6c06bbe675bca610a15163a2cc959552dd45d9ea1b5166e98b5bd6b42dc4ee73,2,upper,12.926079533,13,176.95971245015951,-3908.7806931709206,sparse
scan-fw-34a8c6d47c38e873,15.0,sha256:8153895950b043a2f066018a5e0edfec996903fa4f52fe7b7b7d6fc62147050c,1,upper,13.066983933,13,67.30281880428724,-3644.372578441948,sparse
scan-fw-34a8c6d47c38e873,15.0,sha256:d11717835cda98ccf04d660f8a6b4e07b8fbfc2dfa7cf55e217a3670621a4879,1,upper,18.401526266,13,168.79766749606236,-3656.1172089723023,sparse
scan-fw-f18c43720f58f08b,20.0,sha256:012f6eeb91db9c99de70f48667bf2d1399d2d61d9839c52b6496df100cbec1d5,2,lower,16.0217478,13,359.8604993287581,-3598.97029340182,sparse
scan-fw-238918c2fc5adbd2,10.0,sha256:3376ff295925b7b132cd9d2b4ea7322d8be140d995cf551c30a72f738d240fdd,3,upper,11.2443861,13,36.21292190081516,-3749.5695874528915,sparse
