visit_index,split,target_index,receiver_id,device_counter,time_s,phase_rad,residual_cfo_hz,exact_coherence,control_coherence,margin,held_even_odd_phase_rad,training_supported
969,evaluation,4,0,493457864307,0.0165047,-1.5778293345612053,-27.384578206978208,0.058348601348582115,0.0072780110188165135,0.0510705903297656,0.00021768719189574348,True
969,evaluation,4,0,493457877640,0.017838,0.4562356433543014,-87.4546248296332,0.05384302087898753,0.004848940254374212,0.048994080624613315,-0.0848956734274624,True
969,evaluation,4,0,493457890974,0.0191714,0.052078870067516346,-26.47739418636172,0.011323664614244635,0.00529351960689699,0.006030145007347645,-0.8969997272210435,False
969,evaluation,4,0,493457904307,0.0205047,1.474993482893633,-95.88433908166468,0.05296708587462551,0.006892985881632988,0.04607409999299252,-0.17203901694952828,True
969,evaluation,4,0,493457917640,0.021838,0.01110923426119627,-32.715275745408704,0.05643322603965616,0.004924620469518367,0.0515086055701378,0.09978563299154408,True
969,evaluation,4,0,493457930974,0.0231714,1.7929336247620806,-71.18918375031909,0.04794640802001699,0.00540264887581447,0.04254375914420252,-0.02279852827001627,True
969,evaluation,4,0,493457944307,0.0245047,0.05005564506674756,-102.66821227126275,0.06973615849187327,0.00484283673445901,0.06489332175741426,0.0284108968979786,True
969,evaluation,4,0,493457957640,0.025838,1.8718995370814926,-82.46846519880245,0.0607056166096555,0.008331329138333142,0.052374287471322355,-0.1419551551043492,True
969,evaluation,4,0,493457970974,0.0271714,0.17487744424960713,54.08168880259723,0.008270045948883826,0.005635480933606101,0.0026345650152777246,0.7821782111276017,False
969,evaluation,4,0,493457984307,0.0285047,2.0101465387345367,-130.30460694944398,0.050889508268272196,0.007274255676062736,0.04361525259220946,-0.0017648445659153023,True
969,evaluation,4,0,493457997640,0.029838,0.020506938257069746,-96.47011698751453,0.04089082207722166,0.007472902998836699,0.03341791907838496,-0.051175885366645524,True
969,evaluation,4,0,493458010974,0.0311714,1.6547179865218924,-119.0742082855105,0.05648113355059863,0.005713884658063937,0.05076724889253469,0.08109294184649074,True
969,evaluation,4,0,493458024307,0.0325047,-0.38314424893780435,-76.17442847986446,0.05096790891220478,0.00740732400799455,0.043560584904210234,0.21884216006396762,True
969,evaluation,4,0,493458037640,0.033838,1.5062466808982422,-117.78591955024572,0.04945733925028831,0.004801131879236876,0.04465620737105143,0.09825953135364518,True
969,evaluation,4,0,493458050974,0.0351714,-2.0131827392798805,-1625.5134908782666,0.005981632411615612,0.005508786065609882,0.00047284634600573,0.8178646679895953,False
969,evaluation,4,0,493458064307,0.0365047,1.4415190129336086,-108.70330948808024,0.04582371870025233,0.003941697864306795,0.041882020835945534,-0.01725858246118528,True
969,evaluation,4,0,493458077640,0.037838,-0.41105518072430397,-142.34244503880618,0.053808985901102176,0.007094512098967285,0.04671447380213489,0.05235240645818773,True
969,evaluation,4,0,493458090974,0.0391714,1.271125482857928,121.19584704027379,0.008479510308602566,0.005404301838159101,0.003075208470443465,-0.34038198146923593,False
969,evaluation,4,0,493458104307,0.0405047,-0.7181725427293315,-63.0727476731653,0.056673828209722076,0.005221540660232424,0.051452287549489654,0.1271446344223648,True
969,evaluation,4,0,493458117640,0.041838,1.055318727217948,-144.83062415325048,0.0453806308655356,0.0052354172222069464,0.04014521364332865,0.1048666168031076,True
969,evaluation,4,0,493458130974,0.0431714,-0.8103590533558773,-88.75225468483075,0.05471299633281671,0.006113910740819523,0.04859908559199719,0.13909494266912303,True
969,evaluation,4,0,493458144307,0.0445047,0.7516211914895139,-103.42010054529415,0.050723800690267294,0.0053488402839166485,0.045374960406350646,-0.014629138337013403,True
969,evaluation,4,0,493458157640,0.045838,-1.4780577988343881,-138.1967743308553,0.04594457585545636,0.004289708871129798,0.04165486698432656,0.14244329951147772,True
969,evaluation,4,0,493458170974,0.0471714,0.1399532242152061,-131.187633636414,0.012498527916674924,0.0055793275161729805,0.006919200400501944,0.46511292634779533,False
969,evaluation,4,0,493458184307,0.0485047,-1.9975815201707419,-129.6452508422282,0.049429766488478605,0.006067118383375338,0.04336264810510326,0.06948261880071893,True
969,evaluation,4,0,493458197640,0.049838,-0.3902438175102747,-117.70111889977515,0.043820410801139034,0.00402509276596763,0.039795318035171404,-0.12064543886939538,True
969,evaluation,4,0,493458210974,0.0511714,-2.7284832144926408,-112.2160915095063,0.04487497191911163,0.00752971116501459,0.03734526075409704,-0.019039352192457448,True
969,evaluation,4,0,493458224307,0.0525047,-1.164950996271318,-161.99004151140034,0.05522218077821893,0.005402493312555579,0.04981968746566335,0.013044719620478817,True
969,evaluation,4,0,493458237640,0.053838,2.8756299579738083,-188.470252047643,0.06151461967046716,0.004173048025343892,0.05734157164512327,-0.005935174271659349,True
969,evaluation,4,0,493458250974,0.0551714,-2.045053542096626,-136.43996847174984,0.01129270031663667,0.0045307567501321816,0.006761943566504488,-0.013453628846699095,False
969,evaluation,4,0,493458264307,0.0565047,2.1837290804804983,-131.4792963725781,0.050515472460968665,0.008275656715264717,0.04223981574570395,0.07290238031686225,True
969,evaluation,4,0,493458277640,0.057838,-2.6297446569264222,-116.9108698269414,0.04249331844620422,0.008459087010587812,0.03403423143561641,0.00600387492887311,True
969,evaluation,4,0,493458290974,0.0591714,1.4099951059378588,-183.42787825698213,0.04006799324311992,0.006703771124928204,0.03336422211819172,0.10224595299197192,True
969,evaluation,4,0,493458304307,0.0605047,2.650700002641816,-119.67131913070659,0.042935456623450274,0.004416066801101243,0.03851938982234903,0.16260861014904604,True
969,evaluation,4,0,493458317640,0.061838,0.5627388900321645,-154.22900510818582,0.04339264422625577,0.0054365943089010665,0.037956049917354705,-0.27189221573795974,True
969,evaluation,4,0,493458330974,0.0631714,1.7512422985241884,-313.6677815343917,0.008466148126470301,0.004775571450589344,0.003690576675880957,-0.1195209413109819,False
969,evaluation,4,0,493458344307,0.0645047,-0.8502107856408678,-206.73611057607562,0.04469412221548151,0.005372834472807191,0.03932128774267432,-0.05645667926209619,True
969,evaluation,4,0,493458357640,0.065838,0.17789477972311338,-171.0231428030431,0.04740122271860039,0.0064300007169384625,0.04097122200166192,-0.19632228216694192,True
969,evaluation,4,0,493458370974,0.0671714,-2.446969181475875,-201.26378519277256,0.050068210046277796,0.004243610123924049,0.04582459992235375,-0.09922916819905936,True
969,evaluation,4,0,493458384307,0.0685047,-1.5322353247223854,-249.08027977750234,0.04622115714796144,0.004472745124668591,0.04174841202329285,-0.05849514488431873,True
969,evaluation,4,0,493458397640,0.069838,2.019592164453309,-184.46238371120606,0.053199086120252335,0.005732566482757466,0.04746651963749487,-0.03135921777380846,True
969,evaluation,4,0,493458410974,0.0711714,-2.6044165922636444,47.94981546071191,0.007226863450847901,0.008366635946649385,-0.001139772495801484,-0.5987395440710934,False
969,evaluation,4,0,493458424307,0.0725047,0.3938667307827791,-189.32842977385502,0.050828699866503305,0.0035609275615996454,0.04726777230490366,-0.18110042066605025,True
969,evaluation,4,0,493458437640,0.073838,1.354301291725098,-161.45174180597223,0.05151946410865027,0.005424219903692944,0.04609524420495732,0.029241023420384593,True
969,evaluation,4,0,493458450974,0.0751714,-1.571483675961115,-198.00792803413796,0.04284971312004027,0.00495057378817094,0.03789913933186933,0.1875413696330912,True
969,evaluation,4,0,493458464307,0.0765047,-0.718607757814554,-180.07237576228215,0.052072536127980844,0.005289978817997532,0.04678255730998331,-0.16485752189785918,True
969,evaluation,4,0,493458477640,0.077838,2.8490867603081758,-223.2761114243425,0.04463555904892566,0.006161733783505366,0.03847382526542029,-0.06902558665321767,True
969,evaluation,4,0,493458490974,0.0791714,-2.9207910929832335,-124.47780452504962,0.0061702914885571405,0.004168678500664899,0.002001612987892242,-0.8507874683786403,False
969,evaluation,4,0,493458504307,0.0805047,0.6176122370709618,-220.6354652598407,0.04789270673339852,0.009117811017523484,0.038774895715875037,-0.16448039876686216,True
969,evaluation,4,0,493458517640,0.081838,1.1487955301948254,-201.5030678774679,0.035336650666656776,0.00508001218920649,0.030256638477450287,-0.03179213681811599,True
969,evaluation,4,0,493458530974,0.0831714,-2.0414683850318616,-331.668460685673,0.04264486220021352,0.003961428353456726,0.03868343384675679,-0.15931547309187666,True
969,evaluation,4,0,493458544307,0.0845047,-2.0113090505812337,-327.77517052495205,0.039134631877336255,0.0050276119269003555,0.0341070199504359,0.008480086818265065,True
969,evaluation,4,0,493458557640,0.085838,0.7901077062605969,-241.69340168711702,0.043382158915536574,0.004389005616067207,0.03899315329946937,0.15052866724361547,True
969,evaluation,4,0,493458570974,0.0871714,1.0214691092955648,-310.71619667545076,0.008475984009860651,0.0060727186126221695,0.0024032653972384816,0.2621234127246259,False
969,evaluation,4,0,493458584307,0.0885047,-2.508466348291509,-286.8510967616639,0.04731678352242847,0.003858016770714048,0.04345876675171442,-0.04533103071444056,True
969,evaluation,4,0,493458597640,0.089838,-2.51700441129775,-263.67910489785965,0.039035431816679254,0.00511616910646131,0.033919262710217946,-0.14417185396369914,True
969,evaluation,4,0,493458610974,0.0911714,0.3990982191482477,-289.9710393330938,0.054797031772318525,0.0052921795293658595,0.04950485224295267,0.05493872020252488,True
969,evaluation,4,0,493458624307,0.0925047,0.5427961975716666,-220.31286926987005,0.0460605210086063,0.0047868983132615,0.041273622695344805,0.1784405989240272,True
969,evaluation,4,0,493458637640,0.093838,-2.951509811866316,-262.6832908965513,0.046541239302011504,0.006407744643661834,0.04013349465834967,-0.016832934607203365,True
969,evaluation,4,0,493458650974,0.0951714,-3.0836983226972876,-248.58902672309966,0.006674799261969994,0.005681950098396663,0.0009928491635733307,-1.5229719628610934,False
969,evaluation,4,0,493458664307,0.0965047,-0.589920937498248,-332.9425133086967,0.03922368860239611,0.006637218360788359,0.032586470241607754,0.03602446693899908,True
969,evaluation,4,0,493458677640,0.097838,-0.9671818542238787,-329.427233777844,0.04608783930657575,0.005784968157933826,0.04030287114864192,0.05604118557664606,True
969,evaluation,4,0,493458690974,0.0991714,1.455953231343317,-355.44025847915896,0.049137696193852755,0.005643976099683808,0.04349372009416895,0.01813649064051015,True
969,evaluation,4,0,493458704307,0.1005047,1.2969148854021681,-346.93966818293654,0.05305774597062006,0.005464818226160911,0.04759292774445915,0.11199448320243932,True
969,evaluation,4,0,493458717640,0.101838,-2.65240664352636,-358.8961738865498,0.04001146124288138,0.004347757336819932,0.035663703906061446,-0.3293503969015552,True
969,evaluation,4,0,493458730974,0.1031714,-2.2812872918090226,-451.18049825599655,0.005132243091932188,0.003926929003343982,0.001205314088588206,0.07906593557959507,False
969,evaluation,4,0,493458744307,0.1045047,-1.1185159385302965,-308.14200523106814,0.042034316803224,0.00486169426558275,0.03717262253764125,0.2759333282353722,True
969,evaluation,4,0,493458757640,0.105838,-1.4960226792205649,-348.02100237291467,0.06083017454304248,0.0041761955571141506,0.05665397898592833,-0.13102169538030317,True
969,evaluation,4,0,493458770974,0.1071714,0.755644732726622,-353.40187627122884,0.04271904656689319,0.005575018436077634,0.037144028130815555,-0.30375691568253815,True
969,evaluation,4,0,493458784307,0.1085047,0.6014637450782871,-319.7057837734678,0.044885947691589004,0.00544225996315898,0.03944368772843002,0.059210589051966966,True
969,evaluation,4,0,493458797640,0.109838,2.838580583465048,-310.8523282945277,0.04269365022269517,0.005569017386316834,0.03712463283637833,-0.06909801411212624,True
969,evaluation,4,0,493458810974,0.1111714,-2.0733133702768756,-1484.4451994151323,0.004665881288207139,0.004854887982680749,-0.00018900669447360994,-1.4412341293960291,False
969,evaluation,4,0,493458824307,0.1125047,-1.427798600808886,-350.28183144054003,0.03273184991419593,0.0042339485653090135,0.028497901348886915,-0.14535770343671617,True
969,evaluation,4,0,493458837640,0.113838,-1.6486411754715555,-370.9143708553059,0.04433839733789513,0.006047406022367891,0.03829099131552724,0.055217812629163365,True
969,evaluation,4,0,493458850974,0.1151714,0.3721269689254386,-339.67720381837927,0.03947732441675163,0.005888137504339795,0.033589186912411834,-0.27976711179129743,True
