path,branch_id,alias_index,before_v1,after_v2,automatic_correction,geometry_display,observations,duration_s,residual_rms_hz,probes,blocks,coverage,median_block_delta,median_corrected_margin,harmful_blocks,reason
radio_pluto_5d4d · stream-0/RX0,sha256:c4f2337a314ed91bfe8505d49761d5c00f8047eb81272bdeac2cf643b4507f2b,-2,rejected,geometry_only,False,True,37,5.450000000000003,619.2049862975967,219,6,1.0,-0.003368608336454597,-0.00012566067561688675,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:c4f2337a314ed91bfe8505d49761d5c00f8047eb81272bdeac2cf643b4507f2b,-1,rejected,geometry_only,False,True,37,5.450000000000003,619.2049862975967,219,6,1.0,-0.0031693206008886737,-0.0007048645545948435,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:c4f2337a314ed91bfe8505d49761d5c00f8047eb81272bdeac2cf643b4507f2b,0,rejected,geometry_only,False,True,37,5.450000000000003,619.2049862975967,219,6,1.0,0.0006780312402099083,0.0073651508039652425,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:1caa8869da193ae68a140e6ead6f7b86060505b14285517248c9542cb8f7740c,-1,rejected,geometry_only,False,True,94,6.924999999999997,509.80328700822696,278,8,1.0,-0.5222337910930204,0.0012115881956002647,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:1caa8869da193ae68a140e6ead6f7b86060505b14285517248c9542cb8f7740c,0,supported,replay_stable,True,True,94,6.924999999999997,509.80328700822696,278,8,1.0,5.063387389292462e-05,0.5317689429215029,0,strong corrected evidence was equivalent to the independently optimized baseline
radio_pluto_19f2 · stream-1/RX1,sha256:1caa8869da193ae68a140e6ead6f7b86060505b14285517248c9542cb8f7740c,1,rejected,geometry_only,False,True,94,6.924999999999997,509.80328700822696,278,8,1.0,-0.5328101465673152,-0.00025937028099987536,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:991abcf80606cbceeecfe943c64ca2af02c56c8e8835e6ebfc9e31db0e4f594f,-1,rejected,geometry_only,False,True,93,7.125,550.1104120631844,286,8,1.0,-0.5173819290118359,0.0009467373921692637,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:991abcf80606cbceeecfe943c64ca2af02c56c8e8835e6ebfc9e31db0e4f594f,0,supported,replay_stable,True,True,93,7.125,550.1104120631844,286,8,1.0,5.15495244028108e-05,0.5205555889968962,0,strong corrected evidence was equivalent to the independently optimized baseline
radio_pluto_19f2 · stream-1/RX1,sha256:991abcf80606cbceeecfe943c64ca2af02c56c8e8835e6ebfc9e31db0e4f594f,1,rejected,geometry_only,False,True,93,7.125,550.1104120631844,286,8,1.0,-0.5189461366099896,9.709347114026691e-05,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:991abcf80606cbceeecfe943c64ca2af02c56c8e8835e6ebfc9e31db0e4f594f,2,rejected,geometry_only,False,True,93,7.125,550.1104120631844,286,8,1.0,-0.5212835429386564,6.147787316024798e-05,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:c30de023fed9ef9bb22f6b0245c8f75d9e0bbbc6df576281e00a9be44f688fc5,0,rejected,geometry_only,False,True,10,1.6500000000000057,370.43623901498376,67,2,1.0,-0.0007616939696722443,0.0023015453321505903,0,"credible geometry retained, but replay coverage was insufficient"
radio_pluto_19f2 · stream-1/RX1,sha256:c30de023fed9ef9bb22f6b0245c8f75d9e0bbbc6df576281e00a9be44f688fc5,1,rejected,geometry_only,False,True,10,1.6500000000000057,370.43623901498376,67,2,1.0,-0.0033693847784814265,-0.0005491300704421106,0,"credible geometry retained, but replay coverage was insufficient"
