session_id,fs,version,profile,case,attempted,recovered,common,alias_changes,rank_changes,timing_error_ns_rms,timing_error_ns_p95,timing_error_ns_max,timing_error_ns_all_recovered_rms,cfo_error_hz_rms,cfo_error_hz_p95,cfo_error_hz_max,cfo_error_hz_all_recovered_rms,raw_cfo_error_hz_rms,raw_cfo_error_hz_p95,raw_cfo_error_hz_max,raw_cfo_error_hz_all_recovered_rms
scan-hop-862a183b8ab422da,5000000,native,grid8192,delay_ns,24,20,20,0,3,9.11735655583288,14.767424341715854,15.04846781950178,9.11735655583288,1.223184383053218,2.1755444827889736,2.7826344219211023,1.223184383053218,1.223184383053218,2.1755444827889736,2.7826344219211023,1.223184383053218
scan-hop-cabca9c4f49c5a27,5000000,native,grid8192,delay_ns,24,24,24,0,13,8.740066121966203,14.476375851663088,17.296771838788402,8.740066121966203,10.56931084665926,17.042929684225236,25.22552281845128,10.56931084665926,10.56931084665926,17.042929684225236,25.22552281845128,10.56931084665926
scan-hop-432b03933b8c76bf,5000000,native,local512,delay_ns,24,24,24,0,2,9.951649224798826,17.89912993338893,21.63307388497026,9.951649224798826,1.5509130749791658,3.2027983229672814,3.799288576366962,1.5509130749791658,1.5509130749791658,3.2027983229672814,3.799288576366962,1.5509130749791658
scan-hop-862a183b8ab422da,5000000,native,local512,delay_ns,24,20,20,0,2,9.120435622025644,14.798161192887768,15.031252425244077,9.120435622025644,1.396582357003559,2.5505689175834054,3.0105498323537176,1.396582357003559,1.396582357003559,2.5505689175834054,3.0105498323537176,1.396582357003559
scan-hop-cabca9c4f49c5a27,5000000,native,local512,delay_ns,24,24,24,0,14,8.749221853803087,14.507705574951435,17.377369963967567,8.749221853803087,3.750115735415751,9.786978833164902,10.084670672891662,3.750115735415751,3.750115735415751,9.786978833164902,10.084670672891662,3.750115735415751
scan-hop-432b03933b8c76bf,5000000,native,joint512,delay_ns,24,24,24,0,12,2.4291102950400627,4.889883988578155,6.361045259867723,2.4291102950400627,0.7955899376443198,1.358821467903908,2.1273553589126095,0.7955899376443198,0.7955899376443198,1.358821467903908,2.1273553589126095,0.7955899376443198
scan-hop-862a183b8ab422da,5000000,native,joint512,delay_ns,24,20,20,0,6,3.2452573483352394,8.223283566243008,8.473766785243953,3.2452573483352394,0.8560362940335303,2.3505678960471412,2.3791884484526236,0.8560362940335303,0.8560362940335303,2.3505678960471412,2.3791884484526236,0.8560362940335303
scan-hop-cabca9c4f49c5a27,5000000,native,joint512,delay_ns,24,24,24,0,13,1.4176200638080314,3.6911942786703085,4.5740494271991565,1.4176200638080314,4.022882344963652,11.226768934604479,11.360019292624202,4.022882344963652,4.022882344963652,11.226768934604479,11.360019292624202,4.022882344963652
scan-hop-432b03933b8c76bf,5000000,native,grid512,shift_hz,24,24,24,0,2,0.17466363449666572,0.43031023398937057,0.4833785693762749,0.17466363449666572,18.813270144761965,36.8539729832515,38.89300185537422,18.813270144761965,18.813270144761965,36.8539729832515,38.89300185537422,18.813270144761965
scan-hop-862a183b8ab422da,5000000,native,grid512,shift_hz,24,20,20,0,9,0.08986965845503804,0.15330041514645057,0.24537162265133444,0.08986965845503804,25.415792051609554,39.10145397123396,40.278692273029264,25.415792051609554,25.415792051609554,39.10145397123396,40.278692273029264,25.415792051609554
scan-hop-cabca9c4f49c5a27,5000000,native,grid512,shift_hz,24,24,24,0,9,12.182089861339387,28.504235567939013,40.677435539392995,12.182089861339387,106.90300550546213,241.0242689265052,258.1543994673507,106.90300550546213,106.90300550546213,241.0242689265052,258.1543994673507,106.90300550546213
scan-hop-432b03933b8c76bf,5000000,native,grid8192,shift_hz,24,24,24,0,5,0.01637748030753628,0.031891309937911304,0.032579964117165905,0.01637748030753628,10.819024699218627,16.65592021521161,20.75516569398451,10.819024699218627,10.819024699218627,16.65592021521161,20.75516569398451,10.819024699218627
scan-hop-862a183b8ab422da,5000000,native,grid8192,shift_hz,24,20,20,0,4,0.009063411397073274,0.014414643285422246,0.014481225680401666,0.009063411397073274,11.676490860959097,18.666516614673622,23.970338906631014,11.676490860959097,11.676490860959097,18.666516614673622,23.970338906631014,11.676490860959097
scan-hop-cabca9c4f49c5a27,5000000,native,grid8192,shift_hz,24,24,24,0,9,11.933247678535505,27.051099382859956,41.22962049589798,11.933247678535505,38.98341693450815,89.78552463990103,120.3454573388608,38.98341693450815,38.98341693450815,89.78552463990103,120.3454573388608,38.98341693450815
scan-hop-432b03933b8c76bf,5000000,native,local512,shift_hz,24,24,24,0,2,0.17466363449666572,0.43031023398937057,0.4833785693762749,0.17466363449666572,0.050518375887846065,0.07889475308521696,0.13967223560894126,0.050518375887846065,0.050518375887846065,0.07889475308521696,0.13967223560894126,0.050518375887846065
