session_id,capture_start_utc,channel,edge,receiver_id,observation_count,support_span_s,normalized_rate_hz_per_s,linear_fit_residual_rms_hz
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,3,upper,0,12,10.121665933,-3583.7950518070907,107.61213145770382
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,1,lower,0,23,13.627097334,-3721.906647134003,79.61994983371498
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,1,lower,0,16,12.084312333,-3867.1108613655565,148.81450108560858
scan-fw-3b4b781c31aeee7e,2026-09-17T13:00:01.386354Z,1,lower,0,20,13.6283763,-3659.0739282735626,142.3334125948051
scan-fw-7cb61f9e2e56f342,2026-09-17T13:10:01.565875Z,3,upper,0,32,21.488468333,-3177.130886509929,652.4399165012011
scan-fw-7cb61f9e2e56f342,2026-09-17T13:10:01.565875Z,1,upper,0,27,15.315094267,-3146.6195860694716,386.27551575253636
scan-fw-7cb61f9e2e56f342,2026-09-17T13:10:01.565875Z,4,lower,0,25,14.0537124,-3811.8386296679846,153.06924030284185
scan-fw-7cb61f9e2e56f342,2026-09-17T13:10:01.565875Z,4,lower,0,15,9.137636467,-3565.131999622624,35.67388334676552
scan-fw-75d1334d430bd557,2026-09-17T13:30:01.458763Z,2,lower,0,19,13.4868891,-3557.9642065751414,181.71286158608467
scan-fw-75d1334d430bd557,2026-09-17T13:30:01.458763Z,2,upper,0,16,11.3841966,-3638.8042386218403,138.05389738577776
scan-fw-75d1334d430bd557,2026-09-17T13:30:01.458763Z,1,lower,0,30,17.4136334,-3953.8902077523194,176.14749229628273
scan-fw-75d1334d430bd557,2026-09-17T13:30:01.458763Z,2,lower,0,22,17.6963679,-3620.162420123134,274.0379315021142
scan-fw-75d1334d430bd557,2026-09-17T13:30:01.458763Z,2,upper,0,17,16.9936636,-3703.8947411504055,126.88297762145513
scan-fw-9af6c64585de4fbb,2026-09-17T13:40:01.273292Z,3,lower,0,17,9.5602954,-3683.868481697376,20.50845933340723
scan-fw-9af6c64585de4fbb,2026-09-17T13:40:01.273292Z,1,lower,0,16,12.084397533,-3268.234437495912,235.42803982339444
scan-fw-9af6c64585de4fbb,2026-09-17T13:40:01.273292Z,1,lower,0,17,8.716273866,-3684.1149181904025,68.52357217896746
scan-fw-9af6c64585de4fbb,2026-09-17T13:40:01.273292Z,1,lower,0,8,9.5602702,-3700.520729086825,89.37376164071003
scan-fw-c06a6d0069990294,2026-09-17T13:50:01.659181Z,1,lower,0,22,15.32148805,-3457.68265657871,189.0141549915103
scan-fw-c06a6d0069990294,2026-09-17T13:50:01.659181Z,1,upper,0,18,15.03631345,-3554.718224707601,62.73729713625617
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,1,lower,0,18,14.7507244,-3851.081389610525,88.26159215821698
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,1,upper,0,13,9.1389552,-3866.469227190267,56.08724808632074
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,4,lower,0,18,14.3269336,-3853.5848025230293,32.75106625230248
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,2,lower,0,11,8.8587494,-3742.937678405206,18.550646287611684
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,3,upper,0,10,8.2963325,-3423.2612936443616,123.12119960524954
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,1,lower,0,16,10.4016286,-3984.3237942685187,56.856772055854584
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,1,lower,0,13,8.296287,-3710.834629298227,28.246903060896607
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,2,lower,0,12,9.5590114,-3497.46572336796,149.57179018073526
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,4,upper,0,13,12.5068673,-3672.4201809295405,132.68391900897376
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,1,lower,0,20,13.9097184,-3417.388552571993,291.0491026717187
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,4,lower,0,21,14.7509866,-3722.339044291079,116.4075142451263
scan-fw-10a906cc85830859,2026-09-17T14:10:04.789693Z,2,lower,0,8,8.156296333,-3774.7171526900297,47.123664589809096
scan-fw-10a906cc85830859,2026-09-17T14:10:04.789693Z,3,lower,0,10,8.154963267,-3790.907129491992,32.31543804265902
scan-fw-10a906cc85830859,2026-09-17T14:10:04.789693Z,4,lower,0,10,8.720451533,-3535.1881733863074,105.181375400749
scan-fw-10a906cc85830859,2026-09-17T14:10:04.789693Z,4,lower,0,34,24.852223534,-3590.628617064392,508.6651828353705
scan-fw-10a906cc85830859,2026-09-17T14:10:04.789693Z,1,upper,0,12,9.277668334,-3936.420894430281,76.81575080293186
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,4,upper,0,18,14.8949479,-3974.8781332701574,86.21682561442589
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,1,upper,0,21,12.93017505,-3101.650702764462,264.92651825809855
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,1,upper,0,10,10.4107092,-3626.0169961999636,158.6810208169413
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,1,lower,0,15,8.44915075,-3704.7507209140495,49.28977646707223
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,1,upper,0,23,12.7897225,-3359.354210604775,273.71154931604127
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,3,upper,0,24,13.77369735,-3430.0224004703705,258.1054638815897
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,4,upper,0,28,15.0388642,-3705.310637198864,141.38384185887344
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,4,upper,0,24,11.24697335,-3624.672578345822,113.05350972347752
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,2,upper,0,24,16.8563215,-3698.9081694949205,92.65640672778572
