session_id,capture_start_utc,sample_rate_hz,receiver_ids,classification_receiver,radio_serial,valid_duty_percent,valid_seconds,complete_visits,online_detections,online_detection_fraction,healthy_decisions,median_online_margin,utc_qualified,utc_bracket_width_ms,compressed_gib,queue_high_water_visits,queue_enqueue_failures
scan-fw-369d9f3f7741d36e,2026-09-17T11:40:01.271521Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.040014,11.53930445201695,,
scan-fw-ae120ce6c07b3587,2026-09-17T12:00:01.366914Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.755032,7.5005997298285365,,
scan-fw-2527f988a321cc59,2026-09-17T12:10:01.534135Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.978961,11.484340091235936,,
scan-fw-1c8fa5dedf1b778b,2026-09-17T12:30:01.580773Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.052428,7.526439520530403,,
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.040457,11.484283328987658,,
scan-fw-3b4b781c31aeee7e,2026-09-17T13:00:01.386354Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,217.469484,7.575147554278374,,
scan-fw-7cb61f9e2e56f342,2026-09-17T13:10:01.565875Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,215.641973,11.578843384049833,,
scan-fw-75d1334d430bd557,2026-09-17T13:30:01.458763Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,218.014238,7.547455861233175,,
scan-fw-9af6c64585de4fbb,2026-09-17T13:40:01.273292Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,213.354606,11.49812946934253,,
scan-fw-c06a6d0069990294,2026-09-17T13:50:01.659181Z,20000000,0,0,104000bac4950008230026001b440a003a,85.44,256.32,2136,0,0.0,0,,False,212.911752,15.522032974287868,,
scan-fw-10a1783c9d67e020,2026-09-17T14:00:01.338293Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,218.180579,7.543354983441532,,
scan-fw-10a906cc85830859,2026-09-17T14:10:04.789693Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.73491,11.574158723466098,,
scan-fw-1e7edc9519445256,2026-09-17T14:20:01.294727Z,20000000,0,0,104000bac4950008230026001b440a003a,85.44,256.32,2136,0,0.0,0,,False,215.354248,15.554869712330401,,
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,217.671032,7.589767687022686,,
scan-fw-12f09d2e4e1fe26a,2026-09-17T14:40:05.237340Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,216.7615,11.489682470448315,,
scan-fw-1a877b7592593f44,2026-09-17T15:00:01.586508Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,215.099155,7.514034225605428,,
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,214.339885,11.520166026428342,,
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,217.444736,7.570068145170808,,
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.98451,11.55808218382299,,
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,217.697928,7.512776341289282,,
scan-fw-7b78a2ba16003bdc,2026-09-17T16:10:01.242534Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,214.878972,11.494710812345147,,
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,20000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,218.277528,15.527164043858647,,
scan-fw-b668568d6721d389,2026-09-17T16:30:01.310689Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.382884,7.569349379278719,,
scan-fw-84ee89a6734ea002,2026-09-17T16:50:01.571701Z,20000000,0,0,104000bac4950008230026001b440a003a,85.44,256.32,2136,0,0.0,0,,False,217.077413,15.588707364164293,,
scan-fw-b62904c4cec1dd57,2026-09-17T17:00:01.662720Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,217.448432,7.590529409237206,,
scan-fw-ef47da375ba0d8fe,2026-09-17T17:10:01.325926Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.833201,11.578518636524677,,
scan-fw-f83f76755271d5e9,2026-09-17T17:30:01.393031Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,216.484694,7.550322408787906,,
scan-fw-04d50dd83a5fc5df,2026-09-17T17:40:01.327546Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,215.265084,11.487324116751552,,
scan-fw-d355d83ab1474d34,2026-09-17T18:00:01.344526Z,10000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,214.024456,7.5279343239963055,,
scan-fw-f0e3c515533afbc9,2026-09-17T18:30:01.380334Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.419641,7.576589065603912,,
scan-fw-31415115acbbe1eb,2026-09-17T18:40:01.678108Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,215.077694,11.491890590637922,,
scan-fw-e6f41401336687f2,2026-09-17T19:00:01.636905Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,218.718968,7.517339784651995,,
scan-fw-c5d2a8fb00b1d4d4,2026-09-17T19:10:01.583730Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,214.575841,11.524744941852987,,
scan-fw-36922603b4fbdc90,2026-09-17T19:30:01.595232Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.523298,7.558725933544338,,
scan-fw-7253df2bd4332d69,2026-09-17T19:40:01.333788Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.733828,11.546625055372715,,
scan-fw-542dcf033d7c6108,2026-09-17T20:00:07.041798Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,215.090552,7.479490433819592,,
scan-fw-5a5a9ac56b112e16,2026-09-17T20:10:01.519955Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.448881,11.435670735314488,,
scan-fw-75519ddd5a7aba8c,2026-09-17T20:20:01.519200Z,20000000,0,0,104000bac4950008230026001b440a003a,85.44,256.32,2136,0,0.0,0,,False,215.742715,15.376552146859467,,
scan-fw-606dd496a1243ac2,2026-09-17T20:30:16.717269Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.828279,7.49778694473207,,
scan-fw-96b4e126ec00ff76,2026-09-17T20:40:01.560981Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.561228,11.43206895235926,,
scan-fw-243a58c567f74f48,2026-09-17T21:00:01.315385Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.45799,7.54535304941237,,
scan-fw-611f25cc9a4f4f3b,2026-09-17T21:30:01.625606Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.1064,7.504220357164741,,
scan-fw-161adb3956864642,2026-09-17T21:40:01.350678Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.724089,11.451220953837037,,
scan-fw-61a62066d401f816,2026-09-17T22:00:01.619998Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,215.964256,7.460756106302142,,
scan-fw-2bffdce1ac68a499,2026-09-17T22:10:15.513195Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.294666,11.434871971607208,,
scan-fw-4c6996e6f3096ea8,2026-09-17T22:20:17.193178Z,20000000,0,0,104000bac4950008230026001b440a003a,85.44,256.32,2136,0,0.0,0,,False,213.419334,15.425096202641726,,
scan-fw-1a04dd4254fd7849,2026-09-17T22:30:01.708830Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,216.093015,7.485213994048536,,
scan-fw-a65d4f755073c20e,2026-09-17T22:40:01.496657Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,212.840045,11.326130827888846,,
scan-fw-ee0580647f45d712,2026-09-17T23:00:01.610518Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,212.636516,7.414477725513279,,
scan-fw-d16d9850f0f494bc,2026-09-17T23:10:01.295102Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,212.767694,11.36529303714633,,
scan-fw-a1453a551a154915,2026-09-17T23:30:01.623594Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.095971,7.472957529127598,,
scan-fw-22b118f8048f0441,2026-09-17T23:40:01.291439Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,213.333308,11.429385661147535,,
scan-fw-7851abe2d25a9813,2026-09-18T00:00:17.128490Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.306084,7.471479899249971,,
scan-fw-da6805a08345af8c,2026-09-18T00:10:01.302844Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,215.584128,11.433650388382375,,
scan-fw-0ae4d2e146a1cbac,2026-09-18T00:20:01.532487Z,20000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,214.898895,15.407381609082222,,
