capture_id,method,lane,count,units,slope,second_derivative,alternate_rms,best_norad_id,early_rms,late_rms,near_count,drift_near_count
cap-20260910T142004-f161b21c74ba,GLRT,derived2p5,207,Hz,-3803.885263075535,41.32029996108635,44.00569202188645,66507,48.94790587836508,77.09299660505884,2,166
cap-20260910T142004-f161b21c74ba,PSS,native25,1687,ns,478.26499095896867,-298.25729854746777,446.87557980979483,53154,459.8604172875354,473.20537012896295,199,199
cap-20260910T142004-f161b21c74ba,PSS,derived2p5,1687,ns,320.1689076211763,-578.7985988748529,973.8621959060807,53154,1044.826419664377,991.4796015803861,199,199
cap-20260910T142004-f161b21c74ba,PSS,recorded2p5,1687,ns,1677.5909618352837,-316.7159310528724,917.2751658120404,53154,956.9772752881518,955.7156900093229,199,199
cap-20260910T142004-f161b21c74ba,PSS-gated,native25,1159,ns,422.0846708786105,-320.04518090815566,5.122741695311316,53154,21.31025714851673,186.0816880460259,19,199
cap-20260910T152219-88da5a7cf5ec,GLRT,native25,224,Hz,-3787.0728727970563,160.39600302196254,35.52774764359688,65455,36.9030671426297,56.252841893807506,2,180
cap-20260910T152219-88da5a7cf5ec,GLRT,recorded2p5,223,Hz,-3789.1755303336517,-18.99278161915196,5.21875871472336,67851,9.857791776362616,14.23867620523121,1,30
cap-20260910T152219-88da5a7cf5ec,GLRT,derived2p5,207,Hz,-3788.0922378036266,163.44757404279704,36.382999597206314,65455,37.42132019810279,55.97629036369888,2,220
cap-20260910T152219-88da5a7cf5ec,PSS,native25,1688,ns,1482.2308975449703,-351.6951328953441,131.57807455540205,68142,50.61608480999478,319.0840513576422,202,229
cap-20260910T152219-88da5a7cf5ec,PSS,derived2p5,1688,ns,1396.9081850403466,-688.507349635768,989.4672806372987,64438,965.5571380143854,1113.6437606762586,229,229
cap-20260910T152219-88da5a7cf5ec,PSS,recorded2p5,1688,ns,2746.251303073142,-335.2691927634044,970.7942189992738,68142,1017.697890665,1018.4687806056895,229,229
cap-20260910T152219-88da5a7cf5ec,PSS-gated,native25,1563,ns,1481.1676995072526,-350.88710555006946,3.833095830399463,68142,21.555120693574572,225.6326861131252,7,229
