session_id,radio_id,sample_rate_hz,inventory_segment,visit_index,phase_blind_priority,state,reason,channel,edge,supported,band_phase_resultant,tracked_coherence,wrong_pair_coherence,held_group_count
scan-fw-7fc0a2494f8caa5d,radio_pluto_5d4d,2500000,original_published_cohort,379,0.5251366817112907,replayed,,1,lower,True,0.9576303915707419,0.15447180317825712,0.002520737271949994,3
scan-fw-d8925d2a4c00a806,radio_pluto_5d4d,2500000,original_published_cohort,1532,0.5926987221373523,replayed,,4,lower,True,0.8518205384165991,0.18668497995915734,0.014016978593434842,3
scan-fw-d8925d2a4c00a806,radio_pluto_5d4d,2500000,original_published_cohort,1525,0.5694212933074576,replayed,,4,lower,True,0.9609911633773937,0.18806799948306419,0.010283393105271255,3
scan-fw-d8925d2a4c00a806,radio_pluto_5d4d,2500000,original_published_cohort,1520,0.5506686144601924,replayed,,4,lower,False,0.7916880282863193,0.16391983400423954,0.004913938605474705,3
scan-fw-d8925d2a4c00a806,radio_pluto_5d4d,2500000,original_published_cohort,1557,0.5454523497153736,replayed,,4,lower,True,0.9023090725071408,0.16792434882169266,0.00460598736806982,3
scan-fw-d8925d2a4c00a806,radio_pluto_5d4d,2500000,original_published_cohort,2044,0.5283910146315722,replayed,,4,lower,True,0.9779165185090894,0.17898026745098766,0.0037337304387439004,3
scan-fw-d8925d2a4c00a806,radio_pluto_5d4d,2500000,original_published_cohort,1521,0.5100625893086949,replayed,,4,lower,True,0.8357752465649111,0.17333749767171133,0.008741365825932802,3
scan-fw-d8925d2a4c00a806,radio_pluto_5d4d,2500000,original_published_cohort,2018,0.5016796260583551,replayed,,4,lower,True,0.9758520553088582,0.14959360473595143,0.01250807489788029,3
scan-fw-d8925d2a4c00a806,radio_pluto_5d4d,2500000,original_published_cohort,1980,0.4977193725030308,replayed,,4,lower,True,0.9613487763751244,0.13305859657531585,0.006703142497115101,3
scan-fw-412a75e0665c8e93,radio_pluto_5d4d,2500000,original_published_cohort,1925,0.6498564899148573,replayed,,4,lower,True,0.9886913305577573,0.21629713978737658,0.00841326564687512,3
scan-fw-412a75e0665c8e93,radio_pluto_5d4d,2500000,original_published_cohort,1920,0.644454410936606,replayed,,4,lower,True,0.9884933937481045,0.23237202118655148,0.011712865544806928,3
scan-fw-412a75e0665c8e93,radio_pluto_5d4d,2500000,original_published_cohort,1359,0.6017911624327963,replayed,,2,lower,True,0.9671205778591675,0.15822208793120826,0.0034352322402876096,3
scan-fw-412a75e0665c8e93,radio_pluto_5d4d,2500000,original_published_cohort,1360,0.5887017559126272,abstained,ValueError: fewer than eight coherent physical-overlap bins,,,False,,,,
scan-fw-412a75e0665c8e93,radio_pluto_5d4d,2500000,original_published_cohort,1365,0.588249527356651,replayed,,2,lower,True,0.9628328665604319,0.14890741004294625,0.006170544286238054,3
scan-fw-412a75e0665c8e93,radio_pluto_5d4d,2500000,original_published_cohort,1346,0.5746536576050947,replayed,,2,lower,False,0.25916615661875814,0.06010987511343857,0.02527919482006682,3
scan-fw-412a75e0665c8e93,radio_pluto_5d4d,2500000,original_published_cohort,1366,0.5677641107983871,replayed,,2,lower,True,0.9658398886777263,0.15190243869713022,0.008665065703887385,3
scan-fw-412a75e0665c8e93,radio_pluto_5d4d,2500000,original_published_cohort,1331,0.5557104808619505,replayed,,2,lower,True,0.95855662359146,0.1457249943412169,0.003285252650558011,3
