abstention_reasons,abstention_recommended,catalog_number,fit_rms_hz,heldout_rank,heldout_runner_nll_margin,leading_candidate_persisted_on_heldout,nominal_beats_both_wrong_times,nominal_beats_radio_null,radio_id,radio_null_delta,randomized_evaluation_rms_hz,rank,row_kind,scored_observation_count,selected_tau_seconds,session_id,source_observation_count,support_span_seconds,tracklet_id,training_runner_nll_margin,wrong_time_minus_delta,wrong_time_plus_delta
,,62747,554.7639121535256,,,,,,radio_pluto_19f2,,445.9781439351809,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:71400fa55b49e8bc82730c4a5da0fa2bdf5f9d99883afd906e1880168837f788,,,
,,65630,636.7484588625658,,,,,,radio_pluto_19f2,,1020.7091785235879,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:71400fa55b49e8bc82730c4a5da0fa2bdf5f9d99883afd906e1880168837f788,,,
,,63137,655.5176887186861,,,,,,radio_pluto_19f2,,531.1765330477942,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:71400fa55b49e8bc82730c4a5da0fa2bdf5f9d99883afd906e1880168837f788,,,
,,58798,661.3027131137851,,,,,,radio_pluto_19f2,,592.31077581116,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:71400fa55b49e8bc82730c4a5da0fa2bdf5f9d99883afd906e1880168837f788,,,
,,61849,73.92493648806632,,,,,,radio_pluto_19f2,,239.76387780926174,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:4173973d08be3cc702ef58b58c8ad60e65e369fc258f47e96d90b31520af07e4,,,
,,48022,89.45821073510952,,,,,,radio_pluto_19f2,,286.79642598985873,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:4173973d08be3cc702ef58b58c8ad60e65e369fc258f47e96d90b31520af07e4,,,
,,63107,638.7867912232575,,,,,,radio_pluto_19f2,,516.4787854993684,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:4173973d08be3cc702ef58b58c8ad60e65e369fc258f47e96d90b31520af07e4,,,
,,52835,742.9794083829613,,,,,,radio_pluto_19f2,,930.0096987498625,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:4173973d08be3cc702ef58b58c8ad60e65e369fc258f47e96d90b31520af07e4,,,
,,69207,876.6966934264647,,,,,,radio_pluto_19f2,,830.2210916064727,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:4173973d08be3cc702ef58b58c8ad60e65e369fc258f47e96d90b31520af07e4,,,
,,63389,82.23068923662674,,,,,,radio_pluto_19f2,,68.97671196419957,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:edfdbb0deeaa38c9651c78ef761ab24efc43e4f6f52535a243eb5c0a302d43aa,,,
,,69207,399.9480755919025,,,,,,radio_pluto_19f2,,558.6208603918666,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:edfdbb0deeaa38c9651c78ef761ab24efc43e4f6f52535a243eb5c0a302d43aa,,,
,,48022,487.3414053255258,,,,,,radio_pluto_19f2,,776.0244758527444,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:edfdbb0deeaa38c9651c78ef761ab24efc43e4f6f52535a243eb5c0a302d43aa,,,
,,61849,801.6080817214013,,,,,,radio_pluto_19f2,,1460.6267292170992,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:edfdbb0deeaa38c9651c78ef761ab24efc43e4f6f52535a243eb5c0a302d43aa,,,
,,58884,1178.6073986590964,,,,,,radio_pluto_19f2,,1877.4659347596878,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:edfdbb0deeaa38c9651c78ef761ab24efc43e4f6f52535a243eb5c0a302d43aa,,,
,,61849,91.12017241930023,,,,,,radio_pluto_19f2,,191.56403058122365,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:fab0969683d73e0b3ba32fe2a403c69b69e733e417a451b5fff0bed189b5368a,,,
,,48022,275.227108755948,,,,,,radio_pluto_19f2,,667.0335604202795,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:fab0969683d73e0b3ba32fe2a403c69b69e733e417a451b5fff0bed189b5368a,,,
