channel,edge,end_seconds,fit_observation_count,observation_count,radio_id,randomized_evaluation_observation_count,rank1_catalog_number,rank1_fit_rms_hz,rank1_randomized_evaluation_rms_hz,reviewed_candidate_count,session_id,span_seconds,start_seconds,tracklet_id
3,lower,258.780941002,19,33,radio_pluto_5d4d,14,64766,167.8040270802779,199.79941209675226,5,scan-fw-8d1424f9297d34fb,20.040066536000012,238.740874466,sha256:1c331e3b749055e370bc4ca5c6efd1630920fae5a035fc5e44241e3453117497
4,lower,158.155364131,10,17,radio_pluto_5d4d,7,58365,61.19534288385479,82.24868893931132,5,scan-fw-8d1424f9297d34fb,18.766585048999985,139.388779082,sha256:1925d37aa1e5b5704b113cb185ccda6fe992e948159edb559f039fa2ba61539a
3,lower,157.593812477,16,27,radio_pluto_5d4d,11,61955,55.327134330434006,166.71713046126703,5,scan-fw-8d1424f9297d34fb,13.515637212000001,144.078175265,sha256:d6ffb72f4a923c420c59e1026f2f06bd0fa752929aba2bb4d157aee5b16497d2
4,lower,142.575452891,13,23,radio_pluto_5d4d,10,58365,132.0166200502861,130.90138753940084,5,scan-fw-8d1424f9297d34fb,12.765381332000004,129.810071559,sha256:cf8dfa288385a451a51d4dc99840922e8ddfee8ae9ec797727039fb74b376cbe
3,lower,154.166120624,8,14,radio_pluto_5d4d,6,61955,18.09616001720983,43.630815053711395,5,scan-fw-8d1424f9297d34fb,10.087945364999996,144.078175259,sha256:efe5c249e6de763d8278fd58f53eea852f02f70734d553ceeba2249404ccb195
2,upper,173.430696776,26,44,radio_pluto_5d4d,18,57982,150.83355538583362,139.77192674800858,5,scan-fw-573f6201b09f5ba4,32.952349306,140.47834747,sha256:d1d9b284d249d615debd7edab308439d94e7d837e0b7e7f662000b35a6389e2d
2,upper,172.909365649,26,44,radio_pluto_5d4d,18,57982,64.40836883847255,92.38683177184785,5,scan-fw-573f6201b09f5ba4,32.43101819199998,140.478347457,sha256:f1ee385191a4091c5cddc1e7c8fe4f77d1581c0af6c25b202d933a4bcbfc05ea
4,upper,299.749321887,21,36,radio_pluto_5d4d,15,63438,135.75474603024594,137.03754087336785,5,scan-fw-573f6201b09f5ba4,25.138608033000025,274.610713854,sha256:61a626e77ed68006b8acb46bc5d392cee4fac6845d7f1cb756a2fcf01f340a5f
3,upper,299.469364065,21,36,radio_pluto_5d4d,15,63438,125.01227028741206,158.2534303559327,5,scan-fw-573f6201b09f5ba4,20.78930547599998,278.680058589,sha256:62641c6c057bbe0568b98ba7349c5d18ce895f8c2eac0139cb59d6884b675161
2,upper,263.004061582,15,25,radio_pluto_5d4d,10,55612,72.1761459072486,142.13900514669885,5,scan-fw-573f6201b09f5ba4,19.038804071000015,243.965257511,sha256:a4a9a78f8ec2ffa3f1725e1b04599f954cfab9c8e84a9742f23f21130ce010b8
4,upper,255.148894723,9,15,radio_pluto_5d4d,6,66198,121.80085366277491,184.16993602797265,5,scan-fw-573f6201b09f5ba4,17.858115596000005,237.290779127,sha256:6546d71e31add91a6fb70ee2fb7c3baaa53eda32d2700a3a7032659ffde9caff
4,upper,278.158794395,11,19,radio_pluto_5d4d,8,55612,118.32849676381711,127.73712093821005,5,scan-fw-573f6201b09f5ba4,14.493355065999992,263.665439329,sha256:b4c48d173251cf684fb23736201f845e7092c157c34d45542ba52efa65ec8018
4,upper,98.315877897,10,18,radio_pluto_5d4d,8,64018,72.83732948462593,130.6667556554047,5,scan-fw-573f6201b09f5ba4,14.090587236999994,84.22529066,sha256:2fa05b79b17f3a8cb27ba06ff4d8940b21bd8c458b525cc2173ed46b7a759e9a
1,upper,247.813575017,10,18,radio_pluto_5d4d,8,58367,87.36102940897999,90.14119429838988,5,scan-fw-573f6201b09f5ba4,13.913565180000006,233.900009837,sha256:dc07fb772f5c3253d9421bb305b07cbeca9416771331a79016b8e51944222ac2
4,upper,278.158794409,10,18,radio_pluto_5d4d,8,55612,63.09185310783981,158.73677531466691,5,scan-fw-573f6201b09f5ba4,13.550684995999973,264.608109413,sha256:2a7cf345cbca6963d1cf569295fcc963be3e95fa2f56c0d5ffd8c53e7d2ebe56
4,upper,158.234418424,18,30,radio_pluto_5d4d,12,58495,106.73321445790488,122.9083923643808,5,scan-fw-573f6201b09f5ba4,13.446355791000002,144.788062633,sha256:2b0e4062e799c7e54dc8fa70776621909ec4ae0a9e490bfd280b92b9fde2c65c
4,upper,158.234418425,14,24,radio_pluto_5d4d,10,66620,60.096947494682496,95.90038132830122,5,scan-fw-573f6201b09f5ba4,13.446355777000008,144.788062648,sha256:c1a0b26de6b6fd3c152417150116f18891e0b2abda480a9016deaf9ccd1935f5
1,upper,246.589555398,14,24,radio_pluto_5d4d,10,58367,133.48586386405393,165.45991171758754,5,scan-fw-573f6201b09f5ba4,12.689545537999976,233.90000986,sha256:3045e9d31ed844cde710ce59a929eef3de6dedb767b518919b415b7d1c32bdd6
3,upper,273.670382491,45,75,radio_pluto_5d4d,30,53707,624.558532853317,490.48995043786033,5,scan-fw-d30c80bd75815223,39.71876649500001,233.951615996,sha256:de584bde36b479aec272a0a129be47729bb57e84102965555d11ac031efb0124
1,upper,273.810388372,42,70,radio_pluto_5d4d,28,53707,601.3936357741472,540.306177834601,5,scan-fw-d30c80bd75815223,38.636043683999986,235.174344688,sha256:122263d541d0bde8813a61beddbb2e10041710c86acd012a914e2ab6dc7bf195
4,upper,238.82078279,33,56,radio_pluto_5d4d,23,59491,145.5190651428835,193.58781599647344,5,scan-fw-d30c80bd75815223,34.39469591600002,204.426086874,sha256:ade44b04a6d2fd51b5afe59aa94e625ecad5d497923e2bd6edc5363857406446
3,upper,272.989052225,31,53,radio_pluto_5d4d,22,53707,364.29530993801995,556.0944633320579,5,scan-fw-d30c80bd75815223,34.308064917000024,238.680987308,sha256:54d43923d3992840c4f9bd05a811096de8c1ba1ffd74ad064e023e99fa88987a
1,upper,272.188460271,27,45,radio_pluto_5d4d,18,53707,501.42315850229585,506.1988363951116,5,scan-fw-d30c80bd75815223,32.124756389,240.063703882,sha256:31b5033b2cf8e63598735789412ad51e28bcd7306d11e9f3827512b4e84e09c4
2,upper,113.356762477,29,49,radio_pluto_5d4d,20,59390,130.18230959309844,154.93034582346726,5,scan-fw-d30c80bd75815223,27.480076831000005,85.876685646,sha256:18e38a4ecf96920b03fcaba6cce5d40166304df0011c1823c8925a7cf0195378
1,upper,298.807600654,21,36,radio_pluto_5d4d,15,66623,117.36404080815001,148.14780470458507,5,scan-fw-d30c80bd75815223,24.997315140000012,273.810285514,sha256:a208c0ae4efee14533b3a5eb4d3141d41c71476a55727d90c7a235e5a50b4433
3,upper,23.339494202,19,33,radio_pluto_5d4d,14,66203,129.3816553518783,168.89785983824444,5,scan-fw-d30c80bd75815223,22.721799694,0.617694508,sha256:5262631355326fa410da4be66b5dded26df11983f1966257b15ce41919a6d3bf
2,upper,113.23676301,10,18,radio_pluto_5d4d,8,59390,145.1582235307504,172.3805104739928,5,scan-fw-d30c80bd75815223,17.398691393000007,95.838071617,sha256:5d5d2a983ac97c3f39bebcb4ced7df93d96e40a0ba3a4fe510c3b2b7bc399893
1,upper,97.602058616,8,14,radio_pluto_5d4d,6,59390,145.99503167281506,127.21794933272804,5,scan-fw-d30c80bd75815223,12.145393736999992,85.456664879,sha256:15783a8c2b6973e4514eb7445772eed0bee8fbafba6047580ec3d53d9b88efeb
4,upper,236.398125241,9,15,radio_pluto_5d4d,6,59491,104.7952123016833,42.632697724204576,5,scan-fw-d30c80bd75815223,11.88531287699999,224.512812364,sha256:a1ba3a92009425c596cb742f80d859e8222d2ec55f706afb2032bfd8bdcfe430
3,upper,215.390300086,12,20,radio_pluto_5d4d,8,57529,54.940440046382804,54.86696802032129,5,scan-fw-d30c80bd75815223,11.523972979000007,203.866327107,sha256:7b6eb5307ae6711173dba61c04fe37ffec36ecbb041ae2ab4a4ed67cb039f9a5
4,upper,78.280824462,9,15,radio_pluto_5d4d,6,53061,130.87170845052853,154.98942962493933,5,scan-fw-d30c80bd75815223,9.157536648999994,69.123287813,sha256:bf85e0fe16e1d913c680157961c14384460cb111e6aaa3e79fab915fbe5e3a4d
1,upper,94.233784567,34,57,radio_pluto_5d4d,23,59376,65.17021665447801,93.7807943552106,5,scan-fw-b6659f13921e711b,45.924038919,48.309745648,sha256:3b1fff823c385257991ec88e4f357f75c9a4465c7f660d96e1412c3e9136c91e
1,upper,246.778860371,43,73,radio_pluto_5d4d,30,69175,120.71875721761425,149.22002520386954,5,scan-fw-b6659f13921e711b,45.84219163100002,200.93666874,sha256:c635178fc00dc09394a7adb0e680234d26b4ba41a1476b824c821f12a2a0be90
1,upper,245.45665466,33,56,radio_pluto_5d4d,23,69175,172.24531464030844,215.46528803809682,5,scan-fw-b6659f13921e711b,39.64933815399999,205.807316506,sha256:6f0fd48a75cb558dd5f7b4606fdd4218fd6ee2966f42cbf17d1464d62dd5db6c
2,upper,29.525146892,24,40,radio_pluto_5d4d,16,63513,86.36426559247816,66.27887595121865,5,scan-fw-b6659f13921e711b,29.376625941999997,0.14852095,sha256:ea8875b8485287c61e90e40c8e38772f0474f9bafc0e2ff67e700d123402433e
1,upper,31.009552082,13,22,radio_pluto_5d4d,9,63513,142.10540285385272,140.0112470083525,5,scan-fw-b6659f13921e711b,29.216318598999997,1.793233483,sha256:1dbf4b20e33d5b1b707e481a7eb92cfe704fc096da857956ced1a36f4d47dba7
2,upper,28.583099016,25,42,radio_pluto_5d4d,17,63513,116.2594999974319,122.50723600476728,5,scan-fw-b6659f13921e711b,28.434578064,0.148520952,sha256:1485fe09b589bcc41445b5737920f8d7bdc2864199d12e0148ddb7e33a971bea
4,upper,28.442540477,33,55,radio_pluto_5d4d,22,63513,132.51377200021903,120.14741451360574,5,scan-fw-b6659f13921e711b,28.154012395000002,0.288528082,sha256:2477042f95213b3d42be3ca24b80a6e4f3ba7e266e7de9fe5d3fee7baa37a46a
4,upper,27.741204537,31,52,radio_pluto_5d4d,21,63513,79.69477951952334,79.97438488456378,5,scan-fw-b6659f13921e711b,27.452676422000003,0.288528115,sha256:5c775029b21b40c0da21dc06ba30ac8b7705223ec5e13f62f1d2bdb767ec01eb
1,upper,42.053689587,9,15,radio_pluto_5d4d,6,47916,1121.0686068475786,1101.835215296326,5,scan-fw-b6659f13921e711b,25.154494579,16.899195008,sha256:faa15220df8dbe3878d61d87dfb2ee18932a66609f6318e5d6d7420386ae1239
4,upper,67.45201809,27,46,radio_pluto_5d4d,19,53412,86.31991257010908,61.91124653139202,5,scan-fw-b6659f13921e711b,24.998143373999994,42.453874716,sha256:68b07412d6bf7c4c33b6b122232ef68be1c710fb4abaf2f474093f3626f920c0
2,upper,233.550119848,11,19,radio_pluto_5d4d,8,69175,147.61978764308927,93.61397227428994,5,scan-fw-b6659f13921e711b,23.673442815000016,209.876677033,sha256:628779817ae83ce7513fc4ec5f87ec48697e8c47b827ef2c7fffd959eb68c517
2,upper,73.624555604,10,18,radio_pluto_5d4d,8,59376,42.95387770483971,139.53855252805332,5,scan-fw-b6659f13921e711b,19.681388927999997,53.943166676,sha256:a3230c63179d2fc3dd955d9eeb75bb4075a5fb5bd36e3a14bb2c8ccbeed884f4
2,upper,130.856552699,10,18,radio_pluto_5d4d,8,58624,180.24166291778837,289.0700247965386,5,scan-fw-b6659f13921e711b,18.460213526999993,112.396339172,sha256:c8524d1d9e48ed2cda9b317aca79cabf871d30221a1cb1fdbd71a95387131c32
2,upper,131.939216237,10,18,radio_pluto_5d4d,8,58624,104.63622098288151,85.84080806632676,5,scan-fw-b6659f13921e711b,18.160184932000007,113.779031305,sha256:634ddc9f3cced30c2447574d90c160bda558960ecc23f8f308f7c6cf1ddd78a1
2,upper,266.238111835,16,28,radio_pluto_5d4d,12,66640,172.5666747599715,123.41376237521405,5,scan-fw-b6659f13921e711b,17.334823667999984,248.903288167,sha256:8f719c016e1c273c03653e1ffa644cd48d78f44100270de190769844aa95af53
3,upper,233.288651964,18,31,radio_pluto_5d4d,13,58000,129.05115023347943,136.03901737744374,5,scan-fw-b6659f13921e711b,16.816081940999993,216.472570023,sha256:9d0faaa2ef8b5a39c888411d4d822a5218999966a5cb1fab2027be2f7a51205b
3,upper,233.288651988,10,18,radio_pluto_5d4d,8,58000,63.47388253425615,676.4816250292823,5,scan-fw-b6659f13921e711b,15.030736187000002,218.257915801,sha256:8fca12126b5e646365cc9d03e116a1cbd3869d9b2cd40e91d31a220a3f5e3cbf
4,upper,262.931043263,12,20,radio_pluto_5d4d,8,66640,130.03605221774575,139.53305301081426,5,scan-fw-b6659f13921e711b,14.288259019999998,248.642784243,sha256:810279432f3d2194b317e7bd4def84de0503be69627d0123ab1fbc4464d5d5f4
4,upper,292.534433938,9,15,radio_pluto_5d4d,6,61523,160.60577676110435,165.7325967222779,5,scan-fw-b6659f13921e711b,11.84528208300003,280.689151855,sha256:7ba85b4bb3957fff7bee3b43e5408537d343806ebee7c5290d46fa0655670873
2,upper,39.46963416,9,15,radio_pluto_5d4d,6,53630,117.15569501079779,527.6826568640196,5,scan-fw-b6659f13921e711b,9.001550873,30.468083287,sha256:9db8021084b84004909ff3cf61988bd6646a71dda8b0144badf2966b97562d11
2,upper,277.584557371,40,68,radio_pluto_5d4d,28,63037,88.81821668762095,139.5814728985943,5,scan-fw-af33f52c96a606b7,43.897055204000026,233.687502167,sha256:080b4469de1ab7c775a86c2c43ea359f3c2250b62a877ff2640ae946d350d800
4,upper,88.28441486,36,61,radio_pluto_5d4d,25,63046,82.68295719042288,62.32806583683526,5,scan-fw-af33f52c96a606b7,43.585091645,44.699323215,sha256:488a3caab76c261c35161209b2d6dc840126f1582669af431827be4a2f533283
2,upper,298.728577607,36,61,radio_pluto_5d4d,25,57524,113.38021689380793,182.50114070458147,5,scan-fw-af33f52c96a606b7,36.83711611299998,261.891461494,sha256:d856cbc092058da9f5f0629f2758ed60662748eaadabdc4443e71e8dc9fc3e1d
2,upper,298.728577607,30,50,radio_pluto_5d4d,20,57524,132.2855446463341,71.13603010918251,5,scan-fw-af33f52c96a606b7,36.27577845099995,262.452799156,sha256:0a42d77597ba441dfde9c2caa102a31b261ef3c99dfc8abe4bfa30d5999efb67
2,upper,113.399104271,15,26,radio_pluto_5d4d,11,64013,137.12976883760948,104.80346901320921,5,scan-fw-af33f52c96a606b7,27.961375978999996,85.437728292,sha256:8eac2806dc7792cf5d2669623aa4f768a39bd7da2d0e2fe490d47f86181cda5f
2,upper,273.775449895,18,30,radio_pluto_5d4d,12,63037,118.2818820462884,176.6777858636443,5,scan-fw-af33f52c96a606b7,24.933229697,248.842220198,sha256:7a04ee20b2bf5319475e53b02f1e7cd7194bc0426e93a647a97d6709d7ca749a
3,upper,83.432556226,8,14,radio_pluto_5d4d,6,63859,76.18657959388219,69.5175771001462,5,scan-fw-af33f52c96a606b7,17.400062673999997,66.032493552,sha256:9f6fe410b412497e3ba40ecd954204674449af5c47cbdf4715cdab481467ccc6
4,upper,96.701871414,9,16,radio_pluto_5d4d,7,58622,741.6534716946605,364.13648274200057,5,scan-fw-af33f52c96a606b7,10.081161498,86.620709916,sha256:4de35ec71f7c9ef4f5a24cabeb15b3e0717fba10fbfa4197411f1ef63636850f
2,lower,202.192087062,53,89,radio_pluto_5d4d,36,63637,131.08506584742,137.7309168210004,5,scan-fw-412a75e0665c8e93,49.16403881000002,153.028048252,sha256:a228e986330e2ba739c1827cad147075e56856fa3c126fefdf6e080a9af81fe9
2,lower,201.911775427,45,75,radio_pluto_5d4d,30,63637,111.30676633036184,163.72553399921787,5,scan-fw-412a75e0665c8e93,48.60372463300001,153.308050794,sha256:2fff9a6f3f37ff10c6f536df59278320169ab3f71602dd896928f81e3e80d549
3,lower,88.952009366,26,44,radio_pluto_5d4d,18,63649,126.0074351183533,133.3620197330674,5,scan-fw-412a75e0665c8e93,32.186895694,56.765113672,sha256:b6505cb3caf7ea360f2b47fc8aebb0aa5b0d59cab131c797c8c3328bc00c83bd
1,lower,55.963961432,19,33,radio_pluto_5d4d,14,57521,116.04315567921569,128.15460019603384,5,scan-fw-412a75e0665c8e93,30.829293127999996,25.134668304,sha256:fa6e5ee05b347db7ce093ef3d5e1e7a158ff664c495dba2ab29b0d367889474f
4,lower,279.288044741,28,48,radio_pluto_5d4d,20,62554,93.34356565056703,85.8269801913885,5,scan-fw-412a75e0665c8e93,28.89206265400003,250.395982087,sha256:2964540d0d254e85181e8521e36ae55e380a88bc9f92b728fde3b22948728e30
1,lower,41.670675025,16,27,radio_pluto_5d4d,11,65461,49.20271934320895,54.18399430279442,5,scan-fw-412a75e0665c8e93,28.221286857000003,13.449388168,sha256:2922e7d44a233cf89e62cb1c2355877242368215b1b027d3bee70136727fdaf3
4,lower,277.625367162,18,31,radio_pluto_5d4d,13,52543,190.72309916486586,149.56844176086796,5,scan-fw-412a75e0665c8e93,26.128055504999963,251.497311657,sha256:cc02103edf5eeb9dbbed07e1c54e68f0d47505b9a0616fa42b728a7dc47ef34b
1,lower,62.915911965,24,40,radio_pluto_5d4d,16,57521,45.75621146663572,635.3724207641129,5,scan-fw-412a75e0665c8e93,25.173857487999996,37.742054477,sha256:05653c32e09a913eccff37e5c0a3798c7c134d961a19c3f1cb7685d8f8fc31e4
2,lower,246.968793769,18,31,radio_pluto_5d4d,13,58602,148.82465665953467,176.5797085983576,5,scan-fw-412a75e0665c8e93,22.991991100000007,223.976802669,sha256:e8d82761111613674621eafe51233e35a34df74f19a3f86900267314ca0b328f
4,lower,295.981534288,15,25,radio_pluto_5d4d,10,55586,167.9784765368861,211.21863534656234,5,scan-fw-412a75e0665c8e93,19.821416736999993,276.160117551,sha256:1de45a1f6595b44f3eab199b7134e9e984f641e857896523d656182b5eede320
2,lower,143.427834366,10,18,radio_pluto_5d4d,8,61524,32.24844964288142,41.46490769754774,5,scan-fw-412a75e0665c8e93,16.501275143000015,126.926559223,sha256:c9a05a2715a70295c30e210f4dab73aa1d950ed352180190123ce0c763c47d35
4,lower,294.760198025,18,30,radio_pluto_5d4d,12,63844,68.7737098654767,75.83386706053464,5,scan-fw-412a75e0665c8e93,15.472114520000048,279.288083505,sha256:c184a181bb7a6c4ab54fa24e879aeef859638feca637fba42afaa6f8881026b4
3,lower,65.496929556,55,92,radio_pluto_5d4d,37,68978,165.6165286561848,198.94468716999265,5,scan-fw-7fc0a2494f8caa5d,51.591411054,13.905518502,sha256:fb3bbc1b3e515df3958493033d214c8d60dac9e91bd06d7c03b216bccea12fbf
1,lower,69.705939697,55,92,radio_pluto_5d4d,37,63854,294.2162206836705,243.88525011348466,5,scan-fw-7fc0a2494f8caa5d,48.466353659000006,21.239586038,sha256:ce4a1931cccbed1df313b6c42dac99c524cdcef2c3f1671607b21fe68c820c57
1,lower,65.897012481,46,78,radio_pluto_5d4d,32,63854,165.85632396276017,217.33994491849168,5,scan-fw-7fc0a2494f8caa5d,42.470790077000004,23.426222404,sha256:b926e692996ef0a142ba121856d0a2a6b359570a318e2e289e53bd874b3389e0
2,lower,298.24656396,24,40,radio_pluto_5d4d,16,67818,68.11800188834673,81.35664370950028,5,scan-fw-7fc0a2494f8caa5d,35.19613133500002,263.050432625,sha256:78ff266b72ca3e4375e434518b8be4ffa1f47d0722214c74e8e8e4db46ddf0d2
