actual_rf_hz,channel,edge,normalized_rate_hz_per_s,observation_count,radio_id,receiver_id,residual_rms_hz,sample_rate_hz,session_id,span_seconds,tracklet_id
11209687498.0,3,lower,-3625.4348799298336,54,radio_pluto_5d4d,1,843.4040836042336,2500000,scan-fw-8d1424f9297d34fb,45.809674,sha256:629c4f0bddb6fdcbeb1b485054a86769a8ee38333a6a9be8cf5e4fef5bb76e1f
11459687500.0,4,lower,-3572.5132911307555,8,radio_pluto_5d4d,0,102.13724307976685,2500000,scan-fw-8d1424f9297d34fb,9.0883664,sha256:0ecb47052958a04311b03c726bbb7532faf3f75407d28da1ed8c7cbc9e53adf7
10709687498.0,1,lower,-3640.949831384515,52,radio_pluto_5d4d,1,538.6641169353389,2500000,scan-fw-8d1424f9297d34fb,40.8950592,sha256:02feec45631b24a0fc6e8e6a4ac8607cab29ffb29cdb761ba2fd6b10ef5826ab
10709687498.0,1,lower,-3594.888358485209,61,radio_pluto_5d4d,0,789.9366403196807,2500000,scan-fw-8d1424f9297d34fb,46.80032,sha256:da08a9f7da8d336f0a3cdaacdb0305d6dba6dbb472ee49f23c31ae3f470f6112
11459687500.0,4,lower,-3671.0492586127134,23,radio_pluto_5d4d,1,160.6753168669814,2500000,scan-fw-8d1424f9297d34fb,12.7843356,sha256:cf8dfa288385a451a51d4dc99840922e8ddfee8ae9ec797727039fb74b376cbe
11459687500.0,4,lower,-3672.339525550977,17,radio_pluto_5d4d,0,233.52107938142888,2500000,scan-fw-8d1424f9297d34fb,18.785584,sha256:1925d37aa1e5b5704b113cb185ccda6fe992e948159edb559f039fa2ba61539a
11209687498.0,3,lower,-3503.7786880015356,27,radio_pluto_5d4d,0,311.3853569596572,2500000,scan-fw-8d1424f9297d34fb,13.5347512,sha256:d6ffb72f4a923c420c59e1026f2f06bd0fa752929aba2bb4d157aee5b16497d2
11209687498.0,3,lower,-3564.544351386782,14,radio_pluto_5d4d,1,194.88940587321272,2500000,scan-fw-8d1424f9297d34fb,10.1068996,sha256:efe5c249e6de763d8278fd58f53eea852f02f70734d553ceeba2249404ccb195
10959687498.0,2,lower,-3374.627810340562,80,radio_pluto_5d4d,1,527.6040123650928,2500000,scan-fw-8d1424f9297d34fb,42.4470424,sha256:aa328ae186f6bd1766494a4629de0ddbdd514edef3c087e3f862d5892eb444df
10959687498.0,2,lower,-3385.020673229183,56,radio_pluto_5d4d,0,318.74030304437764,2500000,scan-fw-8d1424f9297d34fb,39.5416892,sha256:ec3d732898a91f88d90bf7a1ee0f2fb6f591adc625898a6561d9bdd418789a1b
10709687498.0,1,lower,-3044.7873594429097,11,radio_pluto_5d4d,0,401.92581213508316,2500000,scan-fw-8d1424f9297d34fb,13.2470924,sha256:133f131298b2532533a34e37ac4e090c736e44ccd90c5f4e183e2d56f7edceed
