glrt_cfo_hz,glrt_margin,glrt_trajectory_id,pss_aligned_cfo_hz,pss_coarse_cfo_hz,pss_fine_cfo_hz,pss_fine_peak_to_median,pss_minus_glrt_hz,pss_mode_id,pss_robust_z,pss_timing_track_residual_us,pss_unwrapped_cfo_hz,receiver_id,target_index,time_s,track_rank,visit_index
80368.61493670409,0.4751674005153681,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,75050.00515153597,-200000.0,-267183.9529174343,1.1913531409935818,-5318.609785168126,sha256:a44fcc17412630099505ed10ecbcc533dbf55d88c19c20034e8ccaa38ae65e00,12.321635096056381,0.11810302166044476,-267183.9529174343,0,5,183.1302551,3,1349
79978.75364608646,0.47775210755763026,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,92200.44304897386,-200000.0,-250033.51501999638,1.1270249063480038,12221.689402887394,sha256:fba7884303c7830689cf87cab252c120689f02b750fb1b8e2e813af052bd894a,13.553963887060025,0.07326485686849019,-250033.51501999638,0,5,183.2511741,3,1350
72498.9434027874,0.3855113548994082,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,68211.22632029431,-200000.0,-274022.7317486759,1.2240872771028077,-4287.71708249308,sha256:75b4a57fed4f5053170e32289c06b5ff27b0ebc44df0d8fcd58ffbf30ccdc8be,13.50576420289404,0.1291374773876265,-274022.7317486759,0,5,185.1985678,3,1364
69895.13845846453,0.4814654709204601,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,53935.45208436961,-200000.0,-288298.50598460063,1.328268984835978,-15959.68637409492,sha256:4f082cdf1ab59ee8632bcda46cbd87428314fa43a5c62cd5b05d8482dcb96cac,9.463366247042519,0.07790255273688612,-288298.50598460063,0,5,185.8815679,3,1369
68366.86385616742,0.4661396186314737,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,60641.003427410615,-200000.0,-281592.9546415596,1.298246536861955,-7725.860428756801,sha256:d99337933e1f65f4b9f28e59cadcc14db5034e013bc05a9fc8ed5e196d7f83de,7.4179777540583345,0.14573289489029032,-281592.9546415596,0,5,186.2829739,3,1372
65847.29705750755,0.39058229963836866,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,66476.69594390522,-200000.0,-275757.262125065,1.2017336845207096,629.3988863976701,sha256:7d49d72c35c14b51c992aa508bed42e2df9c63e931600d0d420e1228ff34ce32,7.146913510125934,0.2515635047041021,-275757.262125065,0,5,186.9641923,3,1377
65473.097439999125,0.44457614784744387,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,63145.782614614174,-200000.0,-279088.17545435607,1.263293254913313,-2327.3148253849504,sha256:5ed7894d7d0205eec64ac60300346428ce5b091f43ec8dd50d921b2bccac452c,9.878277219749798,0.04703786425240466,-279088.17545435607,0,5,187.0848714,3,1378
64977.630657710055,0.43176156425423684,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,69970.77166098385,-200000.0,-272263.1864079864,1.1803341736401485,4993.141003273799,sha256:dd700554c2928e972fdcfb4dc486b356f7c010a14a43a3d4c8af75e55ffc1d62,9.180304763157865,0.09277340899237901,-272263.1864079864,0,5,187.2055508,3,1379
64517.033565588135,0.4225271416958801,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,63699.35178598866,-200000.0,-278534.6062829816,1.171464301486712,-817.6817795994721,sha256:2c3835c1ec3f66dcac6796fcdc92e8bb74c428754e8784e79cadf365ccbbda05,8.146962805167043,-0.006965870916653301,-278534.6062829816,0,5,187.326264,3,1380
63468.68338669222,0.37425387122595805,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,83506.62145423787,-200000.0,-258727.33661473237,1.133673146184167,20037.938067545656,sha256:38f005c2c82f3144b43eecf7d65a98948726bb06d75d6a03a7730cbb47fabd80,9.519236817366094,-0.04316284283548827,-258727.33661473237,0,5,187.6072388,3,1382
