session_id,tracklet_id,channel,edge,start_s,end_s,span_s,leading_norad,training_rms_hz,heldout_rms_hz,heldout_rank,tau_s,concerns
scan-hop-499abcb9ca352397,sha256:7864b0282d7c335c4133fd26f834dda7b8cd9535a78ea463d96b2a7078cec263,4,upper,60.00302581,82.789254189,22.786228379000008,47832,44.468940952130914,120.22214477877262,1,-1.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:54856449576e366f341aaef2c7dcdc014e216226ec7e4365379b1a8cd5770def,2,lower,75.363023662,101.561688571,26.198664909,59693,38.61636593383498,35.29994161409229,1,3.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:f961bf159253374576a1c0487ac5778e0c0742f4405408b3afdf34fd062c563d,2,upper,76.116360124,98.415033984,22.298673860000008,59693,54.068933895747634,38.445023353900694,1,3.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:fccf1f66a163fac485127a5764474828c27dd58042cd9ae1bdcf0a8286e3ddb9,2,lower,120.472405494,144.674981386,24.202575892000013,66866,17.809772634258977,110.94854211448059,1,-1.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:8a03a56c2858e3a6490651b4812d51716dcc3a045592f912d9156a99e2c068b3,1,lower,178.181705252,217.131009194,38.949303942,63780,113.30736277212638,131.23277467626872,1,0.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:f4109860ad11fecb21e01f4ddc5117fa33e1221aaa388a68b6a04be4903c6762,4,lower,178.55834268,219.539148429,40.980805748999984,63780,75.12499660192235,134.67210076353135,1,0.0,500s control fits as well or better
scan-hop-499abcb9ca352397,sha256:228b2876808a59d1421811f27ba055680c2e0ec34804adaa65cead86d2f62ea8,4,upper,178.684343914,218.909817181,40.225473266999984,63780,71.31018562108068,135.12889887158158,1,0.0,500s control fits as well or better
scan-hop-499abcb9ca352397,sha256:1c96cf17ebf24f992590f229ad4e8826847c9ab47e198945e0383614a0d23b36,1,upper,179.193713997,218.266974846,39.07326084900001,63780,78.39426092260513,159.03455347823592,1,0.0,500s control fits as well or better
scan-hop-499abcb9ca352397,sha256:c2db5df08e95504900c5e8318274be1693db6456fb8994869e36a6f0f4b94992,2,lower,186.264868987,209.564550042,23.299681055000008,65258,51.69697188196363,62.84736512605478,1,-1.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:49598b01b6e7e4982b2b5b22a791c180196df34d9a87a20b5ab2270e67bf77fb,2,upper,186.767660415,209.061883352,22.294222937,65258,49.5497280064152,91.55029582664531,1,-2.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:a495291569c6d48136bb61596c7e16fd1de3541fd2d39396d6377abd3fe771ed,2,upper,120.095072092,140.253677912,20.158605820000005,66866,54.62278293746245,217.03066444948618,1,-2.0,-500s control fits as well or better
scan-hop-499abcb9ca352397,sha256:f79ccc89382519a453a791d973529bd92b2bcf631ceede70d1eec9703f80be15,1,lower,188.028501927,208.433754849,20.40525292199999,65258,35.41916087005083,66.91961609899302,1,-1.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:e57c42d4ea48709afbda80fd5591b15fa513307e47dd197bc67f4e210122d6d1,1,upper,186.390687078,209.439194777,23.048507698999998,65258,73.25429140039826,91.33802629361628,1,-2.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:22304985c2d1a2c1fb5ebf5a434404b151a60d62c8cc355b4fb012162072cde1,3,lower,0.269042834,27.626282164,27.35723933,61529,29.8132777622067,162.61738310465822,1,0.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:e1e321dcb006599ff35b6b2bea6e4d6fd87015e70a01add9e4b642773c259827,4,lower,0.395671943,23.971669701,23.575997758,61529,30.34926475829243,128.60790274977708,1,0.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:b3877d57f853d9f3cc1f03b8596908f41e5e23f9a28094c40708aa7735c517b7,3,upper,0.773043258,26.365766253,25.592722995,61529,72.15079368004938,246.0331634180652,1,1.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:daf9775c302fae64cd8f7b885b78a76c72c7ba8094630ba8530ee1bc9a3fb52e,4,lower,80.037086147,103.855783015,23.818696868000004,63513,24.282825369696443,124.20747307073567,1,-1.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:eeead7bce7cd57e1c8f522df128891267d689095d41e95e48b0c55ccc257047a,2,upper,104.8636043,133.847772652,28.984168351999998,66562,55.87837467366796,67.94508831240931,1,0.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:19806d3ec517eef53c239c0300eaee2519562c073f3cce2e4e989dd8038ecd84,1,lower,105.113457033,133.973129612,28.859672579000005,66562,111.01996850553049,106.7265948857305,1,0.0,500s control fits as well or better
scan-hop-031a0825dc751a64,sha256:dc5a386a14e1879dfb11cf4795284359200b849d6eebd3a336990b3e596db619,1,upper,105.872131317,134.099503255,28.227371938000005,66562,101.72152765913005,107.38025714388026,1,0.0,passes descriptive checks; candidate only
