session_id,alias_changes,attempted,case,cfo_rms_hz,common,delay_rms_ns,profile,raw_cfo_rms_hz,recovered
scan-hop-ed11f2f4c5f9c6d5,0,16,frequency,20.906211137014907,1,0.00871941733225634,grid8192,20.906211137008995,1
scan-hop-ed11f2f4c5f9c6d5,0,16,frequency,0.05602598095720168,1,0.06358744412092443,local512,0.056025980951289966,1
scan-hop-ed11f2f4c5f9c6d5,0,16,frequency,0.05602598095720168,1,0.06358744412092443,joint512,0.056025980951289966,1
scan-hop-ed11f2f4c5f9c6d5,0,16,delay,1.157982195567456,1,4.215796001673425,grid512,1.157982195567456,1
scan-hop-ed11f2f4c5f9c6d5,0,16,delay,1.157982195567456,1,4.252051495180979,grid8192,1.157982195567456,1
scan-hop-ed11f2f4c5f9c6d5,0,16,delay,0.4121541183121735,1,4.215796001673425,local512,0.4121541183121735,1
scan-hop-ed11f2f4c5f9c6d5,0,16,delay,0.4121541183121735,1,4.215796001673425,joint512,0.4121541183121735,1
scan-hop-51307ad2476e5cc2,0,16,frequency,21.834344235952234,7,0.3082014797341459,grid512,21.834344235951196,7
scan-hop-51307ad2476e5cc2,0,16,frequency,7.564229844278927,7,0.02028657075377458,grid8192,7.564229844279739,7
scan-hop-51307ad2476e5cc2,0,16,frequency,0.06995193836193132,7,0.3082014797341459,local512,0.06995193836070117,7
scan-hop-51307ad2476e5cc2,0,16,frequency,0.09627043666861024,7,0.26559325705788034,joint512,0.09627043666732168,7
scan-hop-51307ad2476e5cc2,0,16,delay,2.0755188843530643,7,2.0091489240942013,grid512,2.075518884352894,7
scan-hop-51307ad2476e5cc2,0,16,delay,11.019632975736132,7,2.0889772053420956,grid8192,11.019632975736101,7
scan-hop-51307ad2476e5cc2,0,16,delay,1.4043643728446094,7,2.0067519294846967,local512,1.4043643728446447,7
scan-hop-51307ad2476e5cc2,0,16,delay,1.316134699435662,7,1.459605414514118,joint512,1.3161346994357301,7
scan-hop-77d48b1a4eb9be93,0,16,frequency,28.189261966172857,6,0.24455979602851033,grid512,28.189261966172225,6
scan-hop-77d48b1a4eb9be93,0,16,frequency,69.07310850979296,6,9.22468288153217,grid8192,69.07310850978945,6
scan-hop-77d48b1a4eb9be93,0,16,frequency,0.14218197777637398,6,0.24405779224070367,local512,0.1421819777758557,6
scan-hop-77d48b1a4eb9be93,0,16,frequency,0.35620623981065686,6,1.4234940430899456,joint512,0.3562062398134506,6
scan-hop-77d48b1a4eb9be93,0,16,delay,2.017366073428412,6,3.162050106688438,grid512,2.017366073428412,6
scan-hop-77d48b1a4eb9be93,0,16,delay,65.0204677785168,6,7.85400390788419,grid8192,65.0204677785168,6
scan-hop-77d48b1a4eb9be93,0,16,delay,0.8289642650519843,6,3.166393962346517,local512,0.8289642650519843,6
scan-hop-77d48b1a4eb9be93,0,16,delay,0.5511044395982393,6,2.2151250589035194,joint512,0.5511044395982393,6
scan-hop-2a9d97c91ad3a83e,1,16,frequency,52.720227355548566,9,6.049032625637343,grid512,75707.48437283878,9
scan-hop-2a9d97c91ad3a83e,1,16,frequency,26.007315416246534,9,6.263299817975719,grid8192,75781.46529402124,9
scan-hop-2a9d97c91ad3a83e,1,16,frequency,30.74328576518174,9,6.049032673433063,local512,75788.31898446596,9
scan-hop-2a9d97c91ad3a83e,1,16,frequency,30.55794369506176,9,4.882700651285488,joint512,75788.13368197429,9
scan-hop-2a9d97c91ad3a83e,0,16,delay,1.8585533263806484,9,3.0729777548949104,grid512,1.8585533263806424,9
scan-hop-2a9d97c91ad3a83e,0,16,delay,8.131277997649537,9,3.1002840601556705,grid8192,8.131277997649534,9
scan-hop-2a9d97c91ad3a83e,0,16,delay,1.0469708096018404,9,3.0730814366933967,local512,1.0469708096018122,9
scan-hop-2a9d97c91ad3a83e,0,16,delay,1.0170930532995783,9,2.1540169332792063,joint512,1.0170930532995492,9
scan-hop-dc538fa7df739a79,0,16,frequency,27.50703459699029,7,0.21450671683171027,grid512,27.507034596993005,7
scan-hop-dc538fa7df739a79,0,16,frequency,7.298546327244192,7,0.006440137172076019,grid8192,7.298546327242976,7
scan-hop-dc538fa7df739a79,0,16,frequency,0.080738180325046,7,0.21446648795076767,local512,0.08073818032624264,7
scan-hop-dc538fa7df739a79,0,16,frequency,0.027042338337330284,7,0.05328329975791879,joint512,0.027042338338341295,7
scan-hop-dc538fa7df739a79,0,16,delay,1.4254236880089406,7,2.1595833234311574,grid512,1.4254236880089406,7
scan-hop-dc538fa7df739a79,0,16,delay,1.0863644303098692,7,2.203350936341103,grid8192,1.0863644303098692,7
scan-hop-dc538fa7df739a79,0,16,delay,0.7079340973585199,7,2.1579493657027453,local512,0.7079340973585199,7
scan-hop-dc538fa7df739a79,0,16,delay,0.7384385020352177,7,2.203107062211513,joint512,0.7384385020352177,7
scan-hop-423aa9b751e8a3f5,0,16,frequency,21.0377023158157,6,0.24293320866359014,grid512,21.037702315816492,6
scan-hop-423aa9b751e8a3f5,0,16,frequency,9.509553434562804,6,0.01738236171169968,grid8192,9.509553434559335,6
scan-hop-423aa9b751e8a3f5,0,16,frequency,0.1282256158978659,6,0.24293320866359014,local512,0.12822561589970422,6
scan-hop-423aa9b751e8a3f5,0,16,frequency,0.06402652636363404,6,0.11528855972308198,joint512,0.06402652636263644,6
scan-hop-423aa9b751e8a3f5,0,16,delay,0.7083552507146724,5,1.8480863759962933,grid512,0.7083552507139794,5
scan-hop-423aa9b751e8a3f5,0,16,delay,0.7083552507146724,5,1.7976892397909343,grid8192,0.7083552507139794,5
scan-hop-423aa9b751e8a3f5,0,16,delay,0.5208039369252125,5,1.8482111233907934,local512,0.5208039369252613,5
scan-hop-423aa9b751e8a3f5,0,16,delay,0.4963351203650683,5,1.5192620943486104,joint512,0.49633512036514604,5
