attempt_count,completed_at,created_at,error,id,kind,max_attempts,outcome,scheduled_for,started_at,state,updated_at
1,2026-08-23T09:02:43.32056+00:00,2026-08-23T09:00:10.027108+00:00,,1011,scheduled_recording,3,capture cap-20260823T090059-690313ca896b committed,2026-08-23T09:00:00+00:00,2026-08-23T09:00:59.340281+00:00,succeeded,2026-08-23T09:02:43.32056+00:00
1,2026-08-23T09:03:47.556747+00:00,2026-08-23T09:02:43.322994+00:00,,1012,scanner_sweep,3,scan burst scan-burst-f365ac51baae4b92 published; scans=4; active_edges=24,2026-08-23T09:00:00.000001+00:00,2026-08-23T09:02:43.327433+00:00,succeeded,2026-08-23T09:03:47.556747+00:00
1,2026-08-23T09:05:33.713382+00:00,2026-08-23T09:03:47.559359+00:00,,1013,scheduled_recording,3,capture cap-20260823T090347-6d1d6dc8f2b1 committed,2026-08-23T09:03:00+00:00,2026-08-23T09:03:47.56584+00:00,succeeded,2026-08-23T09:05:33.713382+00:00
1,2026-08-23T09:06:33.820651+00:00,2026-08-23T09:05:33.716829+00:00,,1014,scanner_sweep,3,scan burst scan-burst-2590945efcaa4f5b published; scans=4; active_edges=15,2026-08-23T09:03:00.000001+00:00,2026-08-23T09:05:33.722382+00:00,succeeded,2026-08-23T09:06:33.820651+00:00
1,2026-08-23T09:08:21.40357+00:00,2026-08-23T09:06:33.860312+00:00,,1015,scheduled_recording,3,capture cap-20260823T090633-11d10e0288a6 committed,2026-08-23T09:06:00+00:00,2026-08-23T09:06:33.877084+00:00,succeeded,2026-08-23T09:08:21.40357+00:00
1,2026-08-23T09:09:23.045865+00:00,2026-08-23T09:08:21.406807+00:00,,1016,scanner_sweep,3,scan burst scan-burst-08f7c38bf99644a1 published; scans=4; active_edges=16,2026-08-23T09:06:00.000001+00:00,2026-08-23T09:08:21.410987+00:00,succeeded,2026-08-23T09:09:23.045865+00:00
1,2026-08-23T09:11:08.451082+00:00,2026-08-23T09:09:23.049091+00:00,,1017,scheduled_recording,3,capture cap-20260823T090923-a5d13858170f committed,2026-08-23T09:09:00+00:00,2026-08-23T09:09:23.059015+00:00,succeeded,2026-08-23T09:11:08.451082+00:00
1,2026-08-23T09:12:09.392792+00:00,2026-08-23T09:11:08.453628+00:00,,1018,scanner_sweep,3,scan burst scan-burst-56b6b12fbe2c40ca published; scans=4; active_edges=10,2026-08-23T09:09:00.000001+00:00,2026-08-23T09:11:08.459023+00:00,succeeded,2026-08-23T09:12:09.392792+00:00
1,2026-08-23T09:14:01.357372+00:00,2026-08-23T09:12:09.397054+00:00,,1019,scheduled_recording,3,capture cap-20260823T091209-76212f4fca64 committed,2026-08-23T09:12:00+00:00,2026-08-23T09:12:09.407047+00:00,succeeded,2026-08-23T09:14:01.357372+00:00
1,2026-08-23T09:15:03.722968+00:00,2026-08-23T09:14:01.360073+00:00,,1020,scanner_sweep,3,scan burst scan-burst-abe279d522364dfe published; scans=4; active_edges=24,2026-08-23T09:12:00.000001+00:00,2026-08-23T09:14:01.364863+00:00,succeeded,2026-08-23T09:15:03.722968+00:00
1,2026-08-23T09:16:50.31028+00:00,2026-08-23T09:15:03.762605+00:00,,1021,scheduled_recording,3,capture cap-20260823T091503-ae0acd1df7cd committed,2026-08-23T09:15:00+00:00,2026-08-23T09:15:03.779272+00:00,succeeded,2026-08-23T09:16:50.31028+00:00
1,2026-08-23T09:17:52.912524+00:00,2026-08-23T09:16:50.313316+00:00,,1022,scanner_sweep,3,scan burst scan-burst-22e2ef76027c430c published; scans=4; active_edges=15,2026-08-23T09:15:00.000001+00:00,2026-08-23T09:16:50.318185+00:00,succeeded,2026-08-23T09:17:52.912524+00:00
1,2026-08-23T09:19:44.659403+00:00,2026-08-23T09:18:00.212917+00:00,,1023,scheduled_recording,3,capture cap-20260823T091800-9bd536243a3e committed,2026-08-23T09:18:00+00:00,2026-08-23T09:18:00.221104+00:00,succeeded,2026-08-23T09:19:44.659403+00:00
1,2026-08-23T09:20:46.082143+00:00,2026-08-23T09:19:44.66208+00:00,,1024,scanner_sweep,3,scan burst scan-burst-0680ad69e7424926 published; scans=4; active_edges=24,2026-08-23T09:18:00.000001+00:00,2026-08-23T09:19:44.666547+00:00,succeeded,2026-08-23T09:20:46.082143+00:00
1,2026-08-23T09:22:50.533011+00:00,2026-08-23T09:21:00.190271+00:00,,1025,scheduled_recording,3,capture cap-20260823T092100-62d4c6eb7bdc committed,2026-08-23T09:21:00+00:00,2026-08-23T09:21:00.199982+00:00,succeeded,2026-08-23T09:22:50.533011+00:00
1,2026-08-23T09:23:50.494578+00:00,2026-08-23T09:22:50.535971+00:00,,1026,scanner_sweep,3,scan burst scan-burst-22b6495e97a84da7 published; scans=4; active_edges=15,2026-08-23T09:21:00.000001+00:00,2026-08-23T09:22:50.539862+00:00,succeeded,2026-08-23T09:23:50.494578+00:00
1,2026-08-23T09:25:46.682559+00:00,2026-08-23T09:24:00.105715+00:00,,1027,scheduled_recording,3,capture cap-20260823T092400-3c35810955bd committed,2026-08-23T09:24:00+00:00,2026-08-23T09:24:00.150447+00:00,succeeded,2026-08-23T09:25:46.682559+00:00
1,2026-08-23T09:26:49.369878+00:00,2026-08-23T09:25:46.685767+00:00,,1028,scanner_sweep,3,scan burst scan-burst-e9b1bbe0366441d7 published; scans=4; active_edges=19,2026-08-23T09:24:00.000001+00:00,2026-08-23T09:25:46.691279+00:00,succeeded,2026-08-23T09:26:49.369878+00:00
