acquisition_restarts,acquisition_state,analysis_failed,analysis_queued,analysis_running,analysis_succeeded,api_restarts,api_state,capture_http,capture_json,observed_utc,queue_leased,queue_queued,root_used_percent,worker_active,worker_failed
0,active,3,0,2,44,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:12:06Z,1,0,20,20,0
0,active,3,0,2,44,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:13:06Z,1,0,20,20,0
0,active,3,0,3,44,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:14:06Z,1,0,20,20,0
0,active,3,0,3,44,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:15:06Z,0,0,20,20,0
0,active,3,0,2,45,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:16:06Z,0,0,20,20,0
0,active,3,0,2,45,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:17:07Z,0,0,20,20,0
0,active,3,0,2,45,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:18:07Z,0,0,20,20,0
0,active,3,0,1,46,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:19:07Z,1,0,20,20,0
0,active,3,0,2,46,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:20:07Z,1,0,20,20,0
0,active,3,0,2,46,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:21:07Z,1,0,20,20,0
0,active,3,0,2,46,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:22:07Z,1,0,20,20,0
0,active,3,0,3,46,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:23:07Z,1,0,20,20,0
0,active,3,0,3,46,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:24:07Z,0,0,20,20,0
0,active,3,0,3,46,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:25:07Z,0,0,20,20,0
0,active,3,0,2,47,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:26:07Z,0,0,20,20,0
0,active,3,0,2,47,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:27:07Z,0,0,20,20,0
0,active,3,0,0,49,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:28:07Z,1,0,20,20,0
0,active,3,0,1,49,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:29:07Z,1,0,20,20,0
0,active,3,0,1,49,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:30:08Z,1,0,20,20,0
0,active,3,0,1,49,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:31:08Z,1,0,20,20,0
0,active,3,0,2,49,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:32:08Z,1,0,20,20,0
0,active,3,0,1,50,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:33:08Z,1,0,20,20,0
0,active,3,0,1,50,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:34:08Z,1,0,20,20,0
0,active,3,0,2,50,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:35:08Z,1,0,20,20,0
