actual_digest,byte_size,expected_digest,media_type,path,relative_path,scan_id
sha256:983957167168717627e9ac20251c5517918fd00a7a8d3c81ee4ed49456d1a7b1,3829154,sha256:983957167168717627e9ac20251c5517918fd00a7a8d3c81ee4ed49456d1a7b1,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-01/standard-scan-analysis-pilot-plots-v1/scanner-metrics.v1.json,scanner-metrics.v1.json,scan-burst-3c6ca352d6804250-01
sha256:3468ecb574bca1a62310e439aa951a77ab7fe00c6b9e28fbfed27102aec90450,149773,sha256:3468ecb574bca1a62310e439aa951a77ab7fe00c6b9e28fbfed27102aec90450,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-01/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-3c6ca352d6804250-01
sha256:eb61b79a745f975c910ac7c87defd1b63f73820b78d90a36d4e698d37057f8b5,856237,sha256:eb61b79a745f975c910ac7c87defd1b63f73820b78d90a36d4e698d37057f8b5,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-3c6ca352d6804250-01
sha256:d7df72b907a356ba6aaf04bf7ec2e12d670a74c81d34118de345642043f72558,169806,sha256:d7df72b907a356ba6aaf04bf7ec2e12d670a74c81d34118de345642043f72558,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-3c6ca352d6804250-01
sha256:aa907764dd1b293a47ccc6af614cfc95e53ba0d92a3c134240d5cc2b725e5c69,432820,sha256:aa907764dd1b293a47ccc6af614cfc95e53ba0d92a3c134240d5cc2b725e5c69,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-3c6ca352d6804250-01
sha256:cd856584593015df8082cc6f9ba4cb721857f5180030d3dac615bcde06f8ddca,227897,sha256:cd856584593015df8082cc6f9ba4cb721857f5180030d3dac615bcde06f8ddca,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-3c6ca352d6804250-01
sha256:338e00676049334be264d80fb7eb709cf57f4ab53a76b8ae5459d33dca0121a9,98826,sha256:338e00676049334be264d80fb7eb709cf57f4ab53a76b8ae5459d33dca0121a9,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-segment-rates.v1.png,presentation/scanner-pilot-segment-rates.v1.png,scan-burst-3c6ca352d6804250-01
sha256:1d29fe26fce29167092d0563fa0c1079198a2a6979d3e7b2abd7287ef99575a6,6314,sha256:1d29fe26fce29167092d0563fa0c1079198a2a6979d3e7b2abd7287ef99575a6,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-02/standard-scan-analysis-pilot-plots-v1/scanner-report.v1.json,scanner-report.v1.json,scan-burst-3c6ca352d6804250-02
sha256:8c8e187f6d05f8b5110f4beafa60effcc8231602aac53443bfd6ad87208d7979,3830142,sha256:8c8e187f6d05f8b5110f4beafa60effcc8231602aac53443bfd6ad87208d7979,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-02/standard-scan-analysis-pilot-plots-v1/scanner-metrics.v1.json,scanner-metrics.v1.json,scan-burst-3c6ca352d6804250-02
sha256:46842dd92dc7a1e60b996d4f2244fc010c3e564b16d8f2ac512c9b1f0c040ea9,222456,sha256:46842dd92dc7a1e60b996d4f2244fc010c3e564b16d8f2ac512c9b1f0c040ea9,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-02/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-3c6ca352d6804250-02
sha256:5cd0d4ffc0f7ae0cbbcf32b4d44e7a0b3d1ceb197482abc3e5cd71f46f7d1a8d,854135,sha256:5cd0d4ffc0f7ae0cbbcf32b4d44e7a0b3d1ceb197482abc3e5cd71f46f7d1a8d,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-3c6ca352d6804250-02
sha256:da17e8dab38cf823a8506174d3fb2a1053bab46ce0d32d39bdc8205c8411dcc6,193688,sha256:da17e8dab38cf823a8506174d3fb2a1053bab46ce0d32d39bdc8205c8411dcc6,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-3c6ca352d6804250-02
sha256:57da77cfacc27860bb85e6058e463edcba227faa690b0a14fbf95c3e5e68e070,608866,sha256:57da77cfacc27860bb85e6058e463edcba227faa690b0a14fbf95c3e5e68e070,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-3c6ca352d6804250-02
sha256:e538d5c3cb45c86a4d890e97bfa719b53db0fe93efcd8282ac0f3fa5b4e6256b,269419,sha256:e538d5c3cb45c86a4d890e97bfa719b53db0fe93efcd8282ac0f3fa5b4e6256b,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-3c6ca352d6804250-02
sha256:9b977f7346638b3cbe7da7a05053a357b2ec8fcd1d8321ab2ec83753f95a74b1,98745,sha256:9b977f7346638b3cbe7da7a05053a357b2ec8fcd1d8321ab2ec83753f95a74b1,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-segment-rates.v1.png,presentation/scanner-pilot-segment-rates.v1.png,scan-burst-3c6ca352d6804250-02
sha256:13279c1e4079a3803657b2c4fd2b522a51c02b748500c3a077bf87c783691524,6039,sha256:13279c1e4079a3803657b2c4fd2b522a51c02b748500c3a077bf87c783691524,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-03/standard-scan-analysis-pilot-plots-v1/scanner-report.v1.json,scanner-report.v1.json,scan-burst-3c6ca352d6804250-03
sha256:be656c826aabba430c52bb9bb8a938caaff43ff2a57c160ff5a87aa813fdb717,3830164,sha256:be656c826aabba430c52bb9bb8a938caaff43ff2a57c160ff5a87aa813fdb717,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-03/standard-scan-analysis-pilot-plots-v1/scanner-metrics.v1.json,scanner-metrics.v1.json,scan-burst-3c6ca352d6804250-03
sha256:a9af4a0af22a9aa6e8626474bab1dcbefcf99997a91d3d5e25aa7a3148ac9153,187983,sha256:a9af4a0af22a9aa6e8626474bab1dcbefcf99997a91d3d5e25aa7a3148ac9153,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-03/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-3c6ca352d6804250-03
sha256:3a42b024f0c85ffa8edacf87cea11fd4bee70df4d50b7891a95f13772ca63569,855518,sha256:3a42b024f0c85ffa8edacf87cea11fd4bee70df4d50b7891a95f13772ca63569,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-3c6ca352d6804250-03
sha256:b05636c1c8f4920ff26bf8fda134c092d0e8ca3b39bd04d737e92449f5049db8,187628,sha256:b05636c1c8f4920ff26bf8fda134c092d0e8ca3b39bd04d737e92449f5049db8,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-3c6ca352d6804250-03
sha256:fc1d7aeba2587f116a46a12b7f9a271a3e8912539968eab7b80b034e72c97585,556990,sha256:fc1d7aeba2587f116a46a12b7f9a271a3e8912539968eab7b80b034e72c97585,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-3c6ca352d6804250-03
sha256:6af21885b37c9969e9bfbad42fc39002d19ceeb02f4903503ed7e53bea9d2308,258292,sha256:6af21885b37c9969e9bfbad42fc39002d19ceeb02f4903503ed7e53bea9d2308,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-3c6ca352d6804250-03
sha256:94077c82b05ee93fcf31adcd5f982fd17522515f8e95270e1d45156bd99b052c,93661,sha256:94077c82b05ee93fcf31adcd5f982fd17522515f8e95270e1d45156bd99b052c,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-segment-rates.v1.png,presentation/scanner-pilot-segment-rates.v1.png,scan-burst-3c6ca352d6804250-03
sha256:0238b5d8350aafbd60c91b6a215366549b93faa7af823cba61b863e8148a5e8a,6578,sha256:0238b5d8350aafbd60c91b6a215366549b93faa7af823cba61b863e8148a5e8a,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-04/standard-scan-analysis-pilot-plots-v1/scanner-report.v1.json,scanner-report.v1.json,scan-burst-3c6ca352d6804250-04
sha256:136f80040699c713760ba5e91bb5f8c5733abe232aeb4686efdfc55a058e0b9c,3830229,sha256:136f80040699c713760ba5e91bb5f8c5733abe232aeb4686efdfc55a058e0b9c,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-04/standard-scan-analysis-pilot-plots-v1/scanner-metrics.v1.json,scanner-metrics.v1.json,scan-burst-3c6ca352d6804250-04
sha256:ba55d9a510d5c22aec3bef0a6324c039ef5ff97ef3ca8c0ba639a21bcad0f81e,285946,sha256:ba55d9a510d5c22aec3bef0a6324c039ef5ff97ef3ca8c0ba639a21bcad0f81e,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-04/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-3c6ca352d6804250-04
sha256:840e07ff134ee026d041629efab92df08e97b69721054c33904022ac9e95a248,854365,sha256:840e07ff134ee026d041629efab92df08e97b69721054c33904022ac9e95a248,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-3c6ca352d6804250-04
sha256:e5deb49cb3bc43868a480ca7720fac2587e415cd0357bdc77b2b2ccd760d948e,217844,sha256:e5deb49cb3bc43868a480ca7720fac2587e415cd0357bdc77b2b2ccd760d948e,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-3c6ca352d6804250-04
sha256:2d6f608865d59da2a18f4aaa38466111de98c095063aef41df16c5a58a3dc347,758301,sha256:2d6f608865d59da2a18f4aaa38466111de98c095063aef41df16c5a58a3dc347,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-3c6ca352d6804250-04
sha256:0811b02c9dc8121c031f1043df7077b8695bd154937fd5a868997c19f4540981,268468,sha256:0811b02c9dc8121c031f1043df7077b8695bd154937fd5a868997c19f4540981,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-3c6ca352d6804250-04
