session_id,path,scope_digest,stage,trajectory_id,polynomial_degree,reference_time_s,start_s,end_s,duration_s,linear_slope_hz_s,selected_for_correction,fit_matches_well,replay_tier,automatic_correction_eligible,source_uri,source_digest
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:b88741cf3b9d587b2dcdb519eb8a98ddcda301c26a5284b8bc6dcec0820bc8b0,2,34.74565217391305,31.2,37.475,6.275000000000002,-8478.159899762915,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:362c9bd91191e2f59c77754744ff62cd26b61c2765f0627e2222e34373446052,3,34.76354166666667,31.2,37.475,6.275000000000002,-9057.924299992714,True,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:5ed3cf42473274c585e5b799d72b0d734f7f1926b584f00f615e685bf56f0e84,1,36.7489247311828,33.7,40.3,6.599999999999994,-5938.858079878299,True,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:5bbf16480d7f0041deeedd8ab89761979007472391ed3912178344b56b9f43f6,2,36.69842105263159,33.7,40.3,6.599999999999994,-5959.7299291690515,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:52de779ced9b54d5683535ae9085c9b99ba50a197dd56e92153308d25e7ba1b0,3,36.82142857142857,33.7,40.3,6.599999999999994,-5906.9618133858,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:71d749585e4eb20c169571a0c6f8611a4ffa6d37d208b36c8e7c67d33bb67374,1,39.87552083333333,37.975,41.65,3.674999999999997,-5389.586626586642,True,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:8e89396528fd9191a366eed77d37fcb6f677cf1312d47aa4cdbdbed5e93fda81,2,39.87552083333333,37.975,41.65,3.674999999999997,-5417.910242753662,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:cdae6d8a4f0292368e45df319820011b7314eb42a8c7fd68afd6ade421b949a3,3,40.617968749999996,39.625,41.775,2.1499999999999986,-7627.852220444029,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:47da4f580b4a050f3eb1f09b5d841167424d46e48b5d9b8f1258937d0b5a813e,1,58.29305555555556,56.275,59.95,3.6750000000000043,-5202.798484026282,True,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:52a4db223ff60691d323ec334a054b3a6db938b539853d89ba02b2af109010a9,2,58.29305555555556,56.275,59.95,3.6750000000000043,-5201.896722288955,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
