session_id,sample_rate_hz,visit_index,target_index,state,reason,accepted_observations,timing_sigma_ns,cfo_sigma_hz
scan-fw-0cac677f1231cad8,20000000,905,5,lost,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,912,2,tracking,accepted PSS observation,6,756.1648503714492,87915.82269144492
scan-fw-0cac677f1231cad8,20000000,913,0,lost,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,914,7,tracking,accepted PSS observation,6,637.6587045198021,93351.8423603174
scan-fw-0cac677f1231cad8,20000000,926,5,acquiring,accepted PSS observation,1,1130.679990947724,200000.0
scan-fw-0cac677f1231cad8,20000000,930,5,coasting,no observation inside prediction gate,1,5721.4159450672,200078.77044201992
scan-fw-0f339e7b732c4593,10000000,856,1,acquiring,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,857,7,acquiring,accepted PSS observation,1,1117.717708921962,200000.0
scan-fw-0f339e7b732c4593,10000000,858,4,acquiring,accepted PSS observation,1,980.9175153806177,200000.0
scan-fw-0f339e7b732c4593,10000000,859,7,acquiring,accepted PSS observation,2,1024.5003153410591,141428.3449094675
scan-fw-0f339e7b732c4593,10000000,860,2,acquiring,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,861,5,acquiring,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,862,3,acquiring,ambiguous timing modes,0,,
scan-fw-0f339e7b732c4593,10000000,863,5,acquiring,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,864,0,acquiring,accepted PSS observation,1,1163.1358468809096,200000.0
scan-fw-0f339e7b732c4593,10000000,865,4,acquiring,accepted PSS observation,2,1077.3112475398946,141506.74178594467
scan-fw-0f339e7b732c4593,10000000,866,3,acquiring,accepted PSS observation,1,1101.0298494143008,200000.0
scan-fw-0f339e7b732c4593,10000000,867,1,acquiring,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,868,7,tracking,accepted PSS observation,3,1114.4795902245314,115849.12876326752
scan-fw-0f339e7b732c4593,10000000,869,5,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,870,4,tracking,accepted PSS observation,3,918.0229716741529,115744.33990990084
scan-fw-0f339e7b732c4593,10000000,871,4,tracking,accepted PSS observation,4,752.3408111385468,100246.3384983338
scan-fw-0f339e7b732c4593,10000000,872,4,tracking,accepted PSS observation,5,663.9433809238737,89696.29618040014
scan-fw-0f339e7b732c4593,10000000,873,0,acquiring,accepted PSS observation,2,1173.5029404196775,141562.48999127597
scan-fw-0f339e7b732c4593,10000000,874,4,tracking,accepted PSS observation,6,634.6177108690247,82036.68818201685
scan-fw-0f339e7b732c4593,10000000,875,5,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,876,7,coasting,no observation inside prediction gate,3,2093.879817753894,117302.60458379383
scan-fw-0f339e7b732c4593,10000000,877,3,acquiring,accepted PSS observation,2,1063.3940947905378,141632.16221419204
scan-fw-0f339e7b732c4593,10000000,878,2,acquiring,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,880,0,tracking,accepted PSS observation,3,1029.889258811822,115971.25623230929
scan-fw-0f339e7b732c4593,10000000,881,7,coasting,no observation inside prediction gate,3,2747.4169006326238,118752.83332435363
scan-fw-0f339e7b732c4593,10000000,882,2,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,883,5,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,884,1,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,885,3,coasting,no observation inside prediction gate,2,2002.0686778590727,142694.3265032636
scan-fw-0f339e7b732c4593,10000000,887,3,tracking,accepted PSS observation,3,958.2601216579823,116378.1318376621
scan-fw-0f339e7b732c4593,10000000,888,5,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,891,2,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,892,0,tracking,accepted PSS observation,4,809.6697267983707,102113.6265406851
scan-fw-0f339e7b732c4593,10000000,895,7,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,898,0,tracking,accepted PSS observation,5,759.6881267043249,92380.83482670788
scan-fw-0f339e7b732c4593,10000000,899,3,coasting,no observation inside prediction gate,3,1731.7702663421198,119687.69854325893
scan-fw-0f339e7b732c4593,10000000,901,0,tracking,accepted PSS observation,6,663.0408883382995,84718.6592609023
scan-fw-0f339e7b732c4593,10000000,904,1,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,905,1,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,912,2,lost,no observation inside prediction gate,0,,
scan-fw-0f339e7b732c4593,10000000,918,1,acquiring,accepted PSS observation,1,1048.3942981113694,200000.0
scan-fw-0f339e7b732c4593,10000000,933,2,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,855,4,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,856,1,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,857,3,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,858,5,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,859,1,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,860,4,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,861,6,acquiring,accepted PSS observation,1,1066.4843460101263,200000.0
scan-fw-10a1783c9d67e020,10000000,862,7,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,863,3,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,864,4,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,865,4,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,866,0,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,867,1,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,868,4,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,869,1,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,870,5,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,871,4,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,872,5,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,873,0,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,875,6,acquiring,accepted PSS observation,2,1015.0058469959529,141762.52529592984
scan-fw-10a1783c9d67e020,10000000,876,0,acquiring,accepted PSS observation,1,1215.6603651403584,200000.0
scan-fw-10a1783c9d67e020,10000000,877,3,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,878,6,tracking,accepted PSS observation,3,827.7772634926271,115848.4274252397
scan-fw-10a1783c9d67e020,10000000,879,6,tracking,accepted PSS observation,4,675.5575417944742,100324.60500414623
scan-fw-10a1783c9d67e020,10000000,880,5,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,882,3,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,883,7,acquiring,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,884,1,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,885,1,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,889,5,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,890,5,acquiring,accepted PSS observation,1,1143.2458146948943,200000.0
scan-fw-10a1783c9d67e020,10000000,891,6,tracking,accepted PSS observation,5,836.4749808066697,91631.52948857468
scan-fw-10a1783c9d67e020,10000000,892,0,coasting,no observation inside prediction gate,1,22480.18041141771,201265.03126771588
scan-fw-10a1783c9d67e020,10000000,894,7,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,895,7,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,897,3,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,899,7,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,905,0,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,907,3,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,912,6,tracking,accepted PSS observation,6,890.4557595349562,91085.61334536238
scan-fw-10a1783c9d67e020,10000000,913,7,lost,no observation inside prediction gate,0,,
scan-fw-10a1783c9d67e020,10000000,926,0,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,856,2,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,857,7,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,858,1,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,859,5,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,860,4,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,861,4,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,862,1,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,863,2,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,864,0,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,865,3,acquiring,accepted PSS observation,1,978.6515485062689,200000.0
scan-fw-10a906cc85830859,15000000,866,0,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,867,4,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,868,2,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,869,4,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,870,0,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,871,0,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,872,5,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,873,3,acquiring,accepted PSS observation,2,1096.328963658478,141533.01246120245
scan-fw-10a906cc85830859,15000000,874,5,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,875,2,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,876,2,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,877,1,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,878,7,acquiring,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,879,3,coasting,no observation inside prediction gate,2,2047.368217273345,142119.98265461336
scan-fw-10a906cc85830859,15000000,880,7,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,881,1,lost,no observation inside prediction gate,0,,
