case_id,source,comparison_scope,model,prior,scale_s,scan_count,reference_error_km,held_capped_rms_hz,held_uncapped_rms_hz,tau_s,tau_boundary_count,stopping_rule_satisfied,status
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,6,4.021904976137177,313.31319548607865,390.721031887637,-0.7716290175479116,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,6,2.8912443549502473,312.89769531266245,392.0466000411082,-0.9597004940916724,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,6,2.834664402645832,312.9153413932834,392.1418148668746,-0.9691401561793086,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,6,4.0219049330630545,313.3131954320577,390.72103191798266,-0.7716290226427149,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,6,2.891244278205407,312.897695287772,392.0466001333397,-0.9597005018001215,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,6,2.834664346782739,312.91534137413663,392.14181492782114,-0.9691401610323931,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,16,0.938865601256616,313.27858343025036,376.7116221148221,-0.9363600615142323,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,16,1.1743919648161703,313.4129299734985,377.00177065991414,-1.025920075859535,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,16,1.1895375442867895,313.42623534802044,377.02086828229864,-1.029868396228776,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,16,0.9388658138346075,313.2785834262779,376.7116219254542,-0.9363600640781965,0,True,completed
