left_visit,right_visit,target_index,channel,overlapping_edge_group,split,left_start_counter,left_end_counter_exclusive,right_start_counter,right_end_counter_exclusive,gap_samples,all_four_sparse_acquisitions_pass,left_rx0_absolute_cfo_hz,left_rx1_absolute_cfo_hz,right_rx0_absolute_cfo_hz,right_rx1_absolute_cfo_hz,left_rx0_candidate_rank,left_rx1_candidate_rank,right_rx0_candidate_rank,right_rx1_candidate_rank
856,900,5,2,35,evaluation,493304442900,493305642900,493364212387,493365412387,58569487,True,198656.51775663253,881003.1598885844,179954.29514652613,862383.9402421874,0,0,0,0
902,912,5,2,36,development,493366613466,493367813466,493380453175,493381653175,12639709,True,179203.3194189371,861551.6934461403,174588.63652734965,856988.581836586,0,0,0,0
913,919,5,2,37,evaluation,493381655205,493382855205,493390071884,493391271884,7216679,True,174201.33624770603,856565.3253901805,171471.17720071512,853744.5698819992,0,0,0,1
921,1012,5,2,38,evaluation,493392481007,493393681007,493516675268,493517875268,122994261,True,170643.0267254838,852950.6812607024,125550.26308881739,807923.8579410049,0,0,0,0
1013,1114,5,2,39,evaluation,493517876690,493519076690,493654521271,493655721271,135444581,True,125106.01700702478,807460.2704941642,71999.40565924376,816003.9750504245,0,0,0,0
1115,1156,5,2,40,development,493655723937,493656923937,493711130836,493712330836,54206899,True,71473.19667903395,815558.1612087963,113001.16946737844,795227.3921331347,0,0,0,0
1158,1578,5,2,41,evaluation,493713540456,493714740456,494284267364,494285467364,569526908,True,112086.93950163986,794353.8464639717,101608.9845291338,784101.0697838413,0,0,0,0
1579,1619,5,2,42,evaluation,494285467560,494286667560,494340486964,494341686964,53819404,True,101124.86630075032,783157.4090140597,79349.27615390095,761463.6075249219,1,0,0,0
1620,1647,5,2,43,evaluation,494341689837,494342889837,494377995446,494379195446,35105609,True,78897.5831299026,760981.8490434276,64698.138680187985,746733.3412953082,1,1,0,0
1648,1668,5,2,44,development,494379199818,494380399818,494407076824,494408276824,26677006,True,64221.42007281515,746301.5296544045,53483.07909394955,735514.1893038927,1,1,0,0
1669,1703,5,2,45,evaluation,494408277770,494409477770,494454461167,494455661167,44983397,True,53024.90667759962,735036.6732215744,35535.92727388715,717616.3608837596,0,0,0,0
1705,1815,5,2,46,evaluation,494456867460,494458067460,494605727848,494606927848,147660388,True,34619.31784622482,716737.9586201733,-15755.506041689601,666386.2768070968,0,0,0,0
15,35,7,4,47,evaluation,492166274810,492167474810,492193183972,492194383972,25709162,True,155498.76970447553,837933.6374446342,109015.7424840604,791391.5030771116,0,0,0,0
36,63,7,4,48,development,492194391129,492195591129,492231313985,492232513985,35722856,True,108555.81662135219,790969.7592434778,96017.84334078868,778399.0944986796,0,0,0,1
65,73,7,4,49,evaluation,492233730323,492234930323,492244358351,492245558351,9428028,True,95163.68820931291,777543.636332718,91482.48492833629,807110.0790335302,0,0,1,0
74,114,7,4,50,evaluation,492245562101,492246762101,492300331021,492301531021,53568920,True,91101.09153767148,806629.6424501004,101820.80165484623,754748.8713152161,0,0,0,0
115,134,7,4,51,evaluation,492301538976,492302738976,492327794111,492328994111,25055135,True,101352.26584453258,783649.7137410641,90394.437521121,772790.5597957575,0,0,0,1
135,139,7,4,52,development,492328995621,492330195621,492334409554,492335609554,4213933,True,62657.19807965966,745048.5980992799,87659.43457001582,743241.434027603,1,2,0,0
140,147,7,4,53,evaluation,492335612559,492336812559,492345061558,492346261558,8248999,True,60517.58015599885,769541.087726471,83262.53707900518,765573.7016949367,1,1,0,0
148,165,7,4,54,evaluation,492346262858,492347462858,492368919290,492370119290,21456432,True,82799.44279139515,765064.6422410504,73334.9870530853,755718.7295599922,0,0,0,0
166,334,7,4,55,evaluation,492370122237,492371322237,492597854209,492599054209,226531972,True,48865.04761586117,755229.9420093261,87973.5934127447,770361.3822196866,0,0,0,0
335,358,7,4,56,development,492599056406,492600256406,492630342923,492631542923,30086517,True,87492.35219133866,769890.6341474039,75112.72783909785,873781.9328407692,0,0,0,0
359,382,7,4,57,evaluation,492631546617,492632746617,492663040975,492664240975,30294358,True,74608.00872468273,873125.8437570814,62532.899541358114,863271.8268797505,0,1,0,0
383,417,7,4,58,evaluation,492664244364,492665444364,492710990729,492712190729,45546365,True,62062.421999466955,862897.7377618966,44346.55702873162,726530.6733038381,1,0,0,0
418,852,7,4,59,evaluation,492712199736,492713399736,493299422931,493300622931,586023195,True,43888.742948814994,726053.3317884186,204692.02749978297,886971.1860079548,1,0,0,1
853,884,7,4,60,development,493300627145,493301827145,493342353220,493343553220,40526075,True,204368.74458871427,886585.2356160457,190945.6477476961,873242.6126183552,0,0,0,0
885,906,7,4,61,evaluation,493343554412,493344754412,493372218022,493373418022,27463610,True,190534.4880973553,872890.270846055,180930.48376011924,863181.607296738,0,0,0,0
907,925,7,4,62,evaluation,493373423265,493374623265,493398103466,493399303466,23480201,True,180430.90601246638,862773.9474972956,171897.27236264228,854090.5571476157,0,0,0,1
927,931,7,4,63,evaluation,493400512224,493401712224,493405927261,493407127261,4215037,True,171039.8576357419,853254.9360077296,168987.08007688826,851328.4534827496,0,0,0,0
932,1008,7,4,64,development,493407133710,493408333710,493511263541,493512463541,102929831,True,168568.22155375162,850889.1306468946,128911.35892394467,811207.3093518111,0,0,0,1
1009,1023,7,4,65,evaluation,493512466791,493513666791,493531921072,493533121072,18254281,True,128373.32710924235,810737.2633245965,120709.85665510854,802968.1557116942,0,1,1,0
1024,1032,7,4,66,evaluation,493533124004,493534324004,493544156009,493545356009,9832005,True,120233.53837811979,802473.2797957142,115763.00446019357,798009.5231719222,0,0,0,0
1033,1036,7,4,67,evaluation,493545358001,493546558001,493549569644,493550769644,3011643,True,115224.69483812942,797516.798182814,113535.97239736776,795843.9359497055,0,0,0,0
1037,1047,7,4,68,development,493550777142,493551977142,493564219451,493565419451,12242309,True,113063.6082850662,795348.0571596646,107564.93317763798,789893.9648756029,0,1,0,0
1049,1059,7,4,69,evaluation,493566624771,493567824771,493580259131,493581459131,12434360,True,106632.85388395106,788906.7966795826,101049.36699463608,783326.9460093015,1,0,0,1
1060,1598,7,4,70,evaluation,493581464811,493582664811,494312012648,494313212648,729347837,True,100654.12068057153,782837.1365098939,90374.71278088682,772437.8858954598,1,0,0,0
1600,1621,7,4,71,evaluation,494314417716,494315617716,494343091211,494344291211,27473495,True,89347.16641671775,771412.8625347863,77443.32385653045,759579.3433037308,0,0,0,0
1622,1634,7,4,72,development,494344298105,494345498105,494360542426,494361742426,15044321,True,76962.14601673302,759053.4422568385,70358.50957525533,752438.873001101,1,0,1,0
1636,1692,7,4,73,evaluation,494362952324,494364152324,494439220413,494440420413,75068089,True,69310.99594588572,751440.1564418986,38692.67283819651,720772.2467686585,0,0,1,0
1693,1805,7,4,74,evaluation,494440423082,494441623082,494592288847,494593488847,150665765,True,38263.98517008207,720338.483926742,-16535.532477394445,665571.2768437213,0,0,0,0
