candidate_rx1_minus_rx0_phase_deg,signed_coherence,normalized_prediction_error,ordinary_coherence_magnitude
-162,-0.0209076389232,1.02863262585,0.221005999235
-161.75,-0.0218674326174,1.02883882085,0.221005999235
-161.5,-0.0228268099873,1.02904488512,0.221005999235
-161.25,-0.0237857527676,1.02925081482,0.221005999235
-161,-0.0247442427014,1.02945660611,0.221005999235
-160.75,-0.0257022615406,1.02966225515,0.221005999235
-160.5,-0.0266597910457,1.02986775812,0.221005999235
-160.25,-0.0276168129868,1.03007311119,0.221005999235
-160,-0.0285733091437,1.03027831054,0.221005999235
-159.75,-0.0295292613059,1.03048335236,0.221005999235
-159.5,-0.0304846512735,1.03068823285,0.221005999235
-159.25,-0.0314394608573,1.03089294819,0.221005999235
-159,-0.0323936718791,1.03109749459,0.221005999235
-158.75,-0.0333472661721,1.03130186825,0.221005999235
-158.5,-0.0343002255812,1.0315060654,0.221005999235
-158.25,-0.0352525319635,1.03171008224,0.221005999235
-158,-0.0362041671884,1.03191391501,0.221005999235
-157.75,-0.0371551131381,1.03211755993,0.221005999235
-157.5,-0.038105351708,1.03232101323,0.221005999235
-157.25,-0.0390548648069,1.03252427116,0.221005999235
-157,-0.0400036343575,1.03272732997,0.221005999235
-156.75,-0.0409516422966,1.0329301859,0.221005999235
-156.5,-0.0418988705755,1.03313283522,0.221005999235
-156.25,-0.0428453011602,1.03333527419,0.221005999235
-156,-0.0437909160322,1.03353749908,0.221005999235
-155.75,-0.0447356971882,1.03373950617,0.221005999235
-155.5,-0.0456796266411,1.03394129174,0.221005999235
-155.25,-0.0466226864197,1.03414285207,0.221005999235
-155,-0.0475648585695,1.03434418348,0.221005999235
-154.75,-0.0485061251531,1.03454528224,0.221005999235
-154.5,-0.0494464682499,1.03474614469,0.221005999235
-154.25,-0.0503858699572,1.03494676712,0.221005999235
-154,-0.0513243123902,1.03514714586,0.221005999235
-153.75,-0.0522617776823,1.03534727724,0.221005999235
-153.5,-0.0531982479855,1.0355471576,0.221005999235
-153.25,-0.0541337054707,1.03574678326,0.221005999235
-153,-0.0550681323282,1.03594615059,0.221005999235
-152.75,-0.0560015107678,1.03614525593,0.221005999235
-152.5,-0.0569338230194,1.03634409565,0.221005999235
-152.25,-0.0578650513331,1.03654266612,0.221005999235
-152,-0.0587951779796,1.0367409637,0.221005999235
-151.75,-0.0597241852506,1.03693898479,0.221005999235
-151.5,-0.0606520554593,1.03713672577,0.221005999235
-151.25,-0.0615787709403,1.03733418304,0.221005999235
-151,-0.0625043140502,1.037531353,0.221005999235
-150.75,-0.0634286671681,1.03772823207,0.221005999235
-150.5,-0.0643518126956,1.03792481666,0.221005999235
-150.25,-0.0652737330573,1.03812110319,0.221005999235
-150,-0.0661944107012,1.03831708811,0.221005999235
-149.75,-0.067113828099,1.03851276785,0.221005999235
-149.5,-0.0680319677463,1.03870813885,0.221005999235
-149.25,-0.0689488121629,1.03890319759,0.221005999235
-149,-0.0698643438936,1.03909794051,0.221005999235
-148.75,-0.0707785455078,1.03929236409,0.221005999235
-148.5,-0.0716913996006,1.0394864648,0.221005999235
-148.25,-0.0726028887924,1.03968023914,0.221005999235
-148,-0.0735129957299,1.0398736836,0.221005999235
-147.75,-0.074421703086,1.04006679469,0.221005999235
-147.5,-0.0753289935601,1.0402595689,0.221005999235
-147.25,-0.0762348498787,1.04045200276,0.221005999235
-147,-0.0771392547957,1.0406440928,0.221005999235
-146.75,-0.0780421910925,1.04083583554,0.221005999235
-146.5,-0.0789436415784,1.04102722754,0.221005999235
-146.25,-0.0798435890912,1.04121826534,0.221005999235
-146,-0.0807420164972,1.0414089455,0.221005999235
-145.75,-0.0816389066915,1.04159926459,0.221005999235
-145.5,-0.0825342425988,1.04178921919,0.221005999235
-145.25,-0.083428007173,1.04197880587,0.221005999235
-145,-0.0843201833982,1.04216802123,0.221005999235
-144.75,-0.0852107542887,1.04235686187,0.221005999235
-144.5,-0.0860997028893,1.04254532441,0.221005999235
-144.25,-0.0869870122756,1.04273340545,0.221005999235
-144,-0.0878726655546,1.04292110162,0.221005999235
-143.75,-0.0887566458647,1.04310840957,0.221005999235
-143.5,-0.0896389363763,1.04329532593,0.221005999235
-143.25,-0.0905195202916,1.04348184736,0.221005999235
-143,-0.0913983808458,1.04366797051,0.221005999235
-142.75,-0.0922755013066,1.04385369207,0.221005999235
-142.5,-0.0931508649748,1.0440390087,0.221005999235
-142.25,-0.0940244551849,1.0442239171,0.221005999235
-142,-0.0948962553048,1.04440841396,0.221005999235
-141.75,-0.0957662487369,1.04459249599,0.221005999235
-141.5,-0.0966344189176,1.04477615991,0.221005999235
-141.25,-0.0975007493183,1.04495940244,0.221005999235
-141,-0.0983652234452,1.04514222032,0.221005999235
-140.75,-0.0992278248401,1.04532461028,0.221005999235
-140.5,-0.10008853708,1.04550656908,0.221005999235
-140.25,-0.100947343779,1.04568809349,0.221005999235
-140,-0.101804228586,1.04586918026,0.221005999235
-139.75,-0.102659175187,1.0460498262,0.221005999235
-139.5,-0.103512167305,1.04623002807,0.221005999235
-139.25,-0.104363188701,1.04640978269,0.221005999235
-139,-0.105212223172,1.04658908686,0.221005999235
-138.75,-0.106059254554,1.0467679374,0.221005999235
-138.5,-0.106904266721,1.04694633113,0.221005999235
-138.25,-0.107747243584,1.04712426491,0.221005999235
-138,-0.108588169096,1.04730173557,0.221005999235
-137.75,-0.109427027245,1.04747873997,0.221005999235
-137.5,-0.110263802061,1.04765527499,0.221005999235
-137.25,-0.111098477614,1.04783133748,0.221005999235
-137,-0.111931038011,1.04800692436,0.221005999235
-136.75,-0.112761467403,1.0481820325,0.221005999235
-136.5,-0.113589749979,1.04835665882,0.221005999235
-136.25,-0.11441586997,1.04853080023,0.221005999235
-136,-0.115239811648,1.04870445367,0.221005999235
-135.75,-0.116061559326,1.04887761606,0.221005999235
-135.5,-0.116881097359,1.04905028436,0.221005999235
-135.25,-0.117698410145,1.04922245553,0.221005999235
-135,-0.118513482122,1.04939412652,0.221005999235
-134.75,-0.119326297774,1.04956529432,0.221005999235
-134.5,-0.120136841625,1.04973595592,0.221005999235
-134.25,-0.120945098244,1.04990610832,0.221005999235
-134,-0.121751052242,1.05007574851,0.221005999235
-133.75,-0.122554688276,1.05024487353,0.221005999235
-133.5,-0.123355991045,1.05041348041,0.221005999235
-133.25,-0.124154945294,1.05058156618,0.221005999235
-133,-0.124951535811,1.05074912789,0.221005999235
-132.75,-0.125745747432,1.0509161626,0.221005999235
-132.5,-0.126537565035,1.0510826674,0.221005999235
-132.25,-0.127326973545,1.05124863935,0.221005999235
-132,-0.128113957933,1.05141407556,0.221005999235
-131.75,-0.128898503215,1.05157897312,0.221005999235
-131.5,-0.129680594456,1.05174332915,0.221005999235
-131.25,-0.130460216766,1.05190714078,0.221005999235
-131,-0.131237355301,1.05207040515,0.221005999235
-130.75,-0.132011995266,1.05223311939,0.221005999235
-130.5,-0.132784121913,1.05239528068,0.221005999235
-130.25,-0.133553720542,1.05255688617,0.221005999235
-130,-0.1343207765,1.05271793305,0.221005999235
-129.75,-0.135085275184,1.0528784185,0.221005999235
-129.5,-0.13584720204,1.05303833974,0.221005999235
-129.25,-0.13660654256,1.05319769397,0.221005999235
-129,-0.137363282289,1.05335647842,0.221005999235
-128.75,-0.138117406819,1.05351469031,0.221005999235
-128.5,-0.138868901793,1.05367232691,0.221005999235
-128.25,-0.139617752902,1.05382938547,0.221005999235
-128,-0.140363945892,1.05398586325,0.221005999235
-127.75,-0.141107466554,1.05414175754,0.221005999235
-127.5,-0.141848300733,1.05429706562,0.221005999235
-127.25,-0.142586434325,1.05445178481,0.221005999235
-127,-0.143321853277,1.05460591241,0.221005999235
-126.75,-0.144054543587,1.05475944575,0.221005999235
-126.5,-0.144784491306,1.05491238217,0.221005999235
-126.25,-0.145511682538,1.05506471901,0.221005999235
-126,-0.146236103437,1.05521645364,0.221005999235
-125.75,-0.146957740211,1.05536758342,0.221005999235
-125.5,-0.147676579122,1.05551810575,0.221005999235
-125.25,-0.148392606483,1.05566801801,0.221005999235
-125,-0.149105808663,1.05581731761,0.221005999235
-124.75,-0.149816172084,1.05596600197,0.221005999235
-124.5,-0.15052368322,1.05611406852,0.221005999235
-124.25,-0.151228328603,1.05626151471,0.221005999235
-124,-0.151930094816,1.05640833797,0.221005999235
-123.75,-0.152628968499,1.05655453579,0.221005999235
-123.5,-0.153324936346,1.05670010562,0.221005999235
-123.25,-0.154017985108,1.05684504498,0.221005999235
-123,-0.15470810159,1.05698935135,0.221005999235
-122.75,-0.155395272652,1.05713302224,0.221005999235
-122.5,-0.156079485212,1.05727605519,0.221005999235
-122.25,-0.156760726244,1.05741844772,0.221005999235
-122,-0.157438982777,1.05756019739,0.221005999235
-121.75,-0.158114241899,1.05770130176,0.221005999235
-121.5,-0.158786490754,1.0578417584,0.221005999235
-121.25,-0.159455716543,1.05798156488,0.221005999235
-121,-0.160121906525,1.05812071882,0.221005999235
-120.75,-0.160785048017,1.05825921782,0.221005999235
-120.5,-0.161445128393,1.05839705949,0.221005999235
-120.25,-0.162102135087,1.05853424148,0.221005999235
-120,-0.16275605559,1.05867076142,0.221005999235
-119.75,-0.163406877452,1.05880661698,0.221005999235
-119.5,-0.164054588282,1.05894180582,0.221005999235
-119.25,-0.16469917575,1.05907632563,0.221005999235
-119,-0.165340627583,1.0592101741,0.221005999235
-118.75,-0.165978931569,1.05934334894,0.221005999235
-118.5,-0.166614075555,1.05947584786,0.221005999235
-118.25,-0.167246047449,1.05960766861,0.221005999235
-118,-0.167874835219,1.05973880891,0.221005999235
