sample_index,time_s,raw_phase_deg,compensated_common_band_phase_deg,raw_rx0_abs,raw_rx1_abs,common_rx0_abs,common_rx1_abs
73498,0.0293992,37.8203544617,68.7498928539,212.200378418,152.161087036,137.725559831,159.111535396
73499,0.0293996,-169.795959473,43.2580764637,129.294250488,146.649230957,131.055769621,140.718357226
73500,0.0294,165.596008301,31.3516752605,185.270065308,56.089214325,233.353590131,56.3622269729
73501,0.0294004,-6.25903606415,-50.5714218321,246.546127319,72.732383728,185.120097609,26.0066004543
73502,0.0294008,30.3447360992,-122.697703569,69.1809234619,70.2139587402,47.4762099458,88.5785651748
73503,0.0294012,55.1755065918,130.157552557,93.914855957,50.1198577881,82.3790866694,44.7863718394
73504,0.0294016,-154.498168945,160.845646726,43.0116271973,95.2575454712,64.0953242703,80.5238251509
73505,0.029402,12.1053600311,68.4470469297,71.4702682495,73.9256362915,68.3458888425,105.894901817
73506,0.0294024,-35.5268211365,90.885736493,31.7804965973,231.708862305,44.6665416933,130.108592976
73507,0.0294028,-59.6604156494,83.4925815067,93.4077072144,140.730239868,90.6687518176,34.0408673676
73508,0.0294032,-39.3679962158,28.7487394534,20.6155281067,209.00239563,46.0455411908,93.3796781308
73509,0.0294036,52.6313362122,128.000551746,178.899398804,111.731826782,136.440854781,192.410570263
73510,0.029404,100.259475708,-69.7704088698,164.012191772,34.4383506775,96.4972853852,31.7296069493
73511,0.0294044,-77.0128555298,55.4547022905,26.4196891785,130.361038208,66.0447492098,123.369390857
73512,0.0294048,37.655002594,74.5521018783,65.0307617188,94.4933853149,42.0239176662,127.118872151
73513,0.0294052,-139.208084106,-30.9940861583,48.754486084,151.795898438,55.485929999,116.210934575
73514,0.0294056,-90.5509033203,55.4956568776,136.565002441,60.9261856079,157.417897061,69.4633608483
73515,0.029406,23.3303451538,-10.6557297267,85.3756408691,29.4278774261,52.4019755047,22.8315393874
73516,0.0294064,111.204154968,112.506296301,123.713386536,105.550941467,89.3420787922,137.633882532
73517,0.0294068,65.7903060913,134.948719178,71.2811355591,121.823646545,83.4706153652,39.7366777525
73518,0.0294072,-129.024490356,122.165975511,148.16545105,182.822311401,135.536354817,129.663019867
73519,0.0294076,75.4327011108,66.3230635326,91.0659103394,84.4807662964,57.2576825853,27.2705305866
73520,0.029408,104.495407104,137.183197907,226.99118042,164.793807983,247.258287929,158.975846139
73521,0.0294084,56.8080329895,174.556036277,191.606369019,60.1082344055,163.442970923,55.7724824062
73522,0.0294088,-21.4797267914,-166.593141881,94.1328887939,53.7587203979,45.3697716011,54.4317737145
73523,0.0294092,133.338623047,68.4249611096,60.1664352417,71.3442306519,123.681451562,62.7950763818
73524,0.0294096,3.93455767632,95.8444555081,208.626464844,213.337753296,135.730641732,198.6939476
73525,0.02941,7.79699087143,67.594467892,29.5465736389,74.0945358276,72.3520700149,106.513608314
73526,0.0294104,40.0172729492,-109.696357616,149.241424561,54.3323135376,101.155612336,65.6903977056
