start_sample,stop_sample_exclusive,center_time_s,most_likely_rx1_minus_rx0_phase_deg,coherence_magnitude,minimum_normalized_prediction_error,conditional_phase_jackknife_se_deg,inside_paired_glrt_probe
57500,62500,0.0239998,151.157457853,0.191008227665,0.981588435631,3.5154769106,1
58750,63750,0.0244998,155.245707491,0.194567813712,0.980889069094,3.44964186163,1
60000,65000,0.0249998,155.755967444,0.190707732004,0.981646861633,2.29637568538,1
61250,66250,0.0254998,152.634228701,0.198270054454,0.980147430495,4.17582438704,1
62500,67500,0.0259998,149.085283532,0.207001785533,0.978340564827,4.08752617303,1
63750,68750,0.0264998,138.939562004,0.188005209012,0.982168031135,4.88237600113,1
65000,70000,0.0269998,131.448420202,0.189605827553,0.981860290549,4.99026015683,1
66250,71250,0.0274998,126.470186445,0.185813380456,0.982585053643,4.04550942264,1
67500,72500,0.0279998,116.752609998,0.19005070863,0.981774275559,4.30161262014,1
68750,73750,0.0284998,114.73224085,0.20665960664,0.978412902094,4.34081641502,1
70000,75000,0.0289998,107.625117056,0.219422455395,0.9756299432,3.32849373555,1
71250,76250,0.0294998,103.567816449,0.224399230541,0.974497298782,4.05491860777,1
72500,77500,0.0299998,102.571579423,0.221005999235,0.975272448243,2.12796006392,1
73750,78750,0.0304998,96.9133671381,0.215642741959,0.976472328251,4.40644910912,1
75000,80000,0.0309998,95.6222690411,0.205851068387,0.978583331987,3.26264715863,1
76250,81250,0.0314998,97.3723213236,0.216674645433,0.976243872209,2.72213846417,1
77500,82500,0.0319998,97.5330338606,0.209332461787,0.977844527746,4.02523643452,1
78750,83750,0.0324998,103.967762386,0.201294424393,0.97953078293,3.27373328522,1
80000,85000,0.0329998,110.186717651,0.206497224446,0.978447186258,3.42838387517,1
81250,86250,0.0334998,115.212664111,0.199514757489,0.979894821674,5.71357205449,1
82500,87500,0.0339998,118.499110658,0.208410442728,0.978041454828,4.62831671791,1
83750,88750,0.0344998,118.958843748,0.221251057418,0.975216883361,5.05168087934,1
85000,90000,0.0349998,116.816002104,0.220055848078,0.97548727502,4.70321435671,1
86250,91250,0.0354998,113.061173425,0.217781685691,0.975997508899,3.37365276022,1
87500,92500,0.0359998,109.366066065,0.22218670553,0.975004137369,3.08375389324,1
