current_center_phase_samples,current_crossfit_frame_rms_ns,current_frame_residual_mad_ns,current_split_even_odd_difference_ns,frame_count,glrt_cfo_hz,prior_pss_cfo_hz,time_s,track_rank,visit_index,wide_10mhz_center_phase_samples,wide_10mhz_crossfit_frame_rms_ns,wide_10mhz_frame_residual_mad_ns,wide_10mhz_grid_edge_count,wide_10mhz_split_even_odd_difference_ns,wide_2.5mhz_center_phase_samples,wide_2.5mhz_crossfit_frame_rms_ns,wide_2.5mhz_frame_residual_mad_ns,wide_2.5mhz_grid_edge_count,wide_2.5mhz_split_even_odd_difference_ns,wide_5mhz_center_phase_samples,wide_5mhz_crossfit_frame_rms_ns,wide_5mhz_frame_residual_mad_ns,wide_5mhz_grid_edge_count,wide_5mhz_split_even_odd_difference_ns,wide_base_cfo_hz,wide_phase_residual_rms_cycles,wide_slope_sigma_hz
2658.0898286420615,988.2087155271756,624.0657853799181,237.35983859542102,90,68366.86385616742,-281592.9546415596,186.2829739,3,1372,2658.123137678181,988.7391140076476,614.4575037589749,0,237.3571530805748,2658.1634014744554,1002.9448543949559,647.045606971789,42,257.0913843918788,2658.1049868054324,988.3561367177023,641.8867765462003,13,223.34193049000532,-199974.41722568776,0.8630990074811316,2.639480211498949
2637.93178288797,1042.1107346038868,734.5998203918023,130.38586155662415,90,65847.29705750755,-275757.262125065,186.9641923,3,1377,2637.945656551039,1042.3441571172852,706.7600186331906,0,133.27617427266887,2638.066443948047,1027.8136563698486,703.6067343781109,50,139.80339139534408,2637.8907125609117,1047.2998018502672,746.1503503149015,25,141.6722658400431,-200018.0501510541,0.6707915464197224,1.88778070257326
2632.4335472792905,896.4272595641929,512.6864460765163,-67.37793276215598,90,65473.097439999125,-279088.17545435607,187.0848714,3,1378,2632.373189942335,897.9665411642998,513.7315151231638,1,-67.91402429507798,2632.3939555110865,884.5765575352788,473.0592772277492,38,-56.599321890462306,2632.543799285889,893.5095384417322,509.0340978793181,17,-64.17625572175893,-200030.98343620638,1.0963841446634615,2.952628672493372
2628.4839240518977,924.198008863881,550.0809677128516,142.1537619242372,90,64977.630657710055,-272263.1864079864,187.2055508,3,1379,2628.49274633475,925.0897749632155,552.9853866207703,0,135.58878256681055,2628.5209191046474,934.809550111966,561.3645090025445,39,146.86291359148527,2628.4944571409874,930.6641278674739,562.7751036427211,14,138.72427129426796,-200063.83927467724,0.4770874958066533,1.407950265461092
2622.5752552432627,995.7240110055697,640.2448839715441,-80.17537975683808,90,64517.033565588135,-278534.6062829816,187.326264,3,1380,2622.556274153483,991.6966469496356,682.5166882840191,0,-72.99836738557133,2622.6169742365196,994.4039445764947,653.6451067048698,44,-49.70183980394722,2622.608229637494,997.9650935364638,660.2454926510834,16,-63.16890658072224,-199982.4071639962,0.5840075060661595,1.7815299165018892
2613.065891039011,1095.9428966609757,712.0742790866028,300.57649198288345,90,63468.68338669222,-258727.33661473237,187.6072388,3,1382,2613.0893319263314,1094.0934928135543,714.6006665047988,0,305.7806962574432,2613.2038654584785,1087.3471372569513,687.374370192329,50,287.65408533281516,2613.089651231764,1088.3701381343305,702.1073675093114,22,291.29027537810543,-200012.54256793307,1.1138557710552652,3.395453898619846
2599.1342003837726,1076.9537778644824,821.354981882919,-201.06254342144894,90,62033.99074844293,-271618.11089822266,188.0090629,3,1385,2599.151877272403,1075.2480427978678,817.3120812806937,0,-199.47966893705598,2599.049566219247,1068.7685341158387,796.3113661217728,47,-173.76727348118948,2599.133341234409,1079.3088545851454,826.1466304042206,20,-206.9057514976521,-199959.5042296432,0.856357330532476,2.259096174699828
2583.448139784306,986.7645358255306,616.4915652620753,-156.7231914880722,90,60379.929157155224,-265980.904079942,188.4302884,3,1388,2583.4275729462274,985.5790854850716,618.7421530570084,0,-161.17605335557528,2583.408218389788,980.602795642562,670.0942740758744,54,-129.00219344764992,2583.4212332661914,986.7899163096519,630.1388991484397,20,-154.9941961845434,-200001.82589157575,0.6990764770707366,2.0428096280427734
2573.615861494828,1020.8325655152371,684.5566646251731,12.360805150728993,90,59384.35828607084,-283478.99866929714,188.7106894,3,1390,2573.6489439097722,1021.154937421795,684.0262713046426,0,17.063445904477703,2573.7184072809637,1012.8273837356936,649.0474729059126,51,26.957068933552364,2573.6405023476923,1021.8555685706034,656.1775787795448,24,18.239874895061803,-200008.31871679254,0.8336890277031382,2.443563482196137
2570.1998203243015,1087.51437052917,643.5688534622539,123.8506401686209,90,58917.51560311938,-279825.72351128684,188.8313505,3,1391,2570.2062297932384,1086.3848138029753,642.551253444963,0,129.94775244978882,2570.1730337938498,1087.0607179258918,611.8568832135638,43,119.31546618889115,2570.219053835429,1085.4875482669866,611.7088670091558,17,104.66612507598256,-200018.4995578374,0.6574347996653769,1.7721393329729904
2502.349027549977,1036.3982794078258,664.1853330956125,401.11123505494106,90,52978.95032458078,-266636.3523009139,190.4351753,3,1403,2502.342587181038,1036.7465393959396,663.4761960109191,0,382.67614883498027,2502.3812401219134,1033.3938214592708,646.0638590115747,48,389.1591478131886,2502.3628057155474,1036.3511876975972,634.7354389238315,23,376.9009348851796,-200020.92959060767,0.8172012099438163,2.4177872895600774
2465.2525075981907,1102.9537688984178,818.7924665166628,176.54387679976935,90,49713.354646336826,-220329.76360718536,191.3373544,3,1410,2465.2471728259397,1101.7670116114343,814.2901998396828,0,179.5113029626009,2465.20209317346,1093.4206966920174,790.9461400978576,43,165.22716302251865,2465.17031206658,1102.1681348428917,779.9100141871444,17,157.49637875705957,-199985.8677833346,0.6825525778498789,1.770975579074746
2433.5143470807743,1085.5874728286685,652.294329914469,-65.9230650761856,90,47715.539672760104,-280921.8837124608,191.8985467,3,1414,2433.5257219049086,1083.9201701402817,666.81239334113,0,-67.58251376350017,2433.501637862849,1095.446448597796,680.4672757033154,49,-55.105365425970376,2433.5632311303984,1085.8072533054508,662.583040462533,23,-62.45251157697567,-200029.49168320023,1.1228355475053025,3.41913745102092
2399.1939795156927,1004.9909876228156,653.1717460441799,-155.4506306064468,90,45152.54798328286,-282142.007886583,192.5813459,3,1419,2399.2134833112978,1006.268379769339,645.2534665832743,0,-175.68205314364604,2399.2124662033343,1010.2695740719629,681.5737600271112,51,-148.84017983958984,2399.2336417105175,1006.0592791968953,651.6528419614909,21,-161.66478420955173,-199971.3502718736,0.6198970699712001,1.6113439341926907
2333.2079871089336,1137.858130625849,950.104031549792,-243.49730635112792,90,40975.979254012236,-307036.3658929276,193.8258572,3,1428,2333.184158730665,1135.190457939548,948.4549563123119,0,-245.71632349134234,2333.282337110696,1138.6738213078938,961.359337993914,32,-234.66086485605047,2333.1963577499932,1135.261832180371,883.1746104814955,13,-226.7669186875537,-199970.0354731625,0.6849461387466611,1.9165452206387383
2305.5796329921463,978.6850686933294,602.1438665924665,95.54565249381994,90,39111.68090007664,-251393.58466383297,194.347963,3,1432,2305.625347873285,977.2984022289853,599.3271458550465,0,92.84565201487567,2305.7453917966463,975.5843270351676,625.2961599216994,50,95.9287893493638,2305.6983726568533,981.8492125634248,645.66288263332,27,109.67240155850959,-200016.41999717904,0.665298321781101,1.81924274593916
2290.1948786937114,1028.6989148738455,671.4307287231196,-92.42489791604385,90,38043.75098218245,-272905.1406495801,194.6289293,3,1434,2290.1987426599235,1026.8672846661213,672.8937000902021,0,-80.99828864988012,2290.219960654394,1026.6822717998482,678.6664514672733,53,-78.38551832792291,2290.214844471094,1028.4397639116519,669.9345569460065,21,-97.86174590199153,-200000.4113487071,0.5672103968229985,1.670416798601263
1773.3887698017572,1112.884337247349,870.0993297600523,-42.9774772899691,90,122592.163744495,-214807.91370025245,106.9695869,4,787,1773.3638704719274,1113.6584325453928,892.0899058594802,0,-36.94413716375493,1773.489522433707,1108.0081055374428,841.4856605776428,42,-49.95829041345132,1773.4315679495076,1110.3818924947439,912.2857391087255,13,-20.650500413375994,-200032.4462938099,0.6305286866726428,1.823062352404807
1779.438349352548,919.1687652016374,546.8005024682113,248.80152866726348,90,121062.43225895248,-241094.1352753382,107.3910964,4,790,1779.4492812126211,917.7331879533165,545.2947954043173,0,255.98292174172457,1779.503568990183,908.5072618721537,515.361628944074,54,227.2611047836108,1779.469526476016,907.3410768826119,521.6479854760156,29,229.1907711307431,-199968.76794428643,0.6806832999553674,1.8655295492019914
1780.1840913689148,995.2401045897683,576.515726974785,-263.3506261695402,90,120614.53948133627,-232876.43622780085,107.5111356,4,791,1780.185964528379,993.9930097182963,570.374355649299,0,-264.5623584110581,1780.1614852286448,1002.8562299327267,584.9884871060254,51,-266.5663550401405,1780.1589072094823,997.607410358739,562.9594653416615,26,-274.2457621613539,-199986.53957193415,0.3548045842871561,1.0284285405443743
1796.9173651049277,1043.1034341017562,598.5590756686935,-408.69784970300316,90,115207.9528317436,-338417.9278727091,109.0148369,4,802,1796.8985149632592,1040.685800086411,590.110771512799,0,-402.452706868371,1796.889951961941,1059.6074001669085,609.2405009036567,48,-431.47271041998465,1796.998194878752,1042.4864700471203,630.1811667143714,17,-411.0641523134291,-200004.92548265026,0.9811038586733004,2.919534647451366
