session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,rx0_stored_id,rx1_stored_id,joint_best_id,joint_runner_id,joint_best_train_rms_hz,joint_best_evaluation_rms_hz,joint_runner_train_rms_hz,joint_runner_evaluation_rms_hz,shared_tau_s,later_session,rx0_geometry,rx1_geometry,geometry_evidence,identity_claimed,geometry_rejects_candidate
scan-hop-126be126acb225de,sha256:0fe8e960c0cf17d6a417c1eccded16370694cd2d043d0990a09b06707b6426a5,sha256:b4e734f3a08f3262cd013d0b62582ec57ed92b51b7ec48a916227fe6ec6bb20b,same-leader,66585,66585,66585,66448,115.77097606337574,100.8950371397135,1755.3066794849708,1756.2230620543628,-3.0,False,unsupported,supports-joint-runner,supports-joint-runner,False,False
scan-hop-126be126acb225de,sha256:11ee021ede390306578f06a88a1371a3823cd73fb0dc869602c2afbe913078ed,sha256:4b6f13f43babd8a386434a319a27636e0ee9d7e94b7be1cd3aaf5b5222cc51bc,different-leader,68076,66531,66531,68076,85.07237160831151,111.58538471580765,197.86020052271755,263.51097859051447,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-126be126acb225de,sha256:75eab9b9cd38f26ed2a39c349963b3934827adbe840f1aa5640ffbc7d85825a8,sha256:4b6f13f43babd8a386434a319a27636e0ee9d7e94b7be1cd3aaf5b5222cc51bc,unreviewed-side,,66531,66531,68076,66.53928652026407,106.37974837189998,218.42362896583856,269.8772783611155,-1.0,False,unsupported,supports-joint-leader,supports-joint-leader,False,False
scan-hop-126be126acb225de,sha256:db29ba7878fd6e22cefcd6b32f4915c90904b4b558508fc3ab2625df6a62afcc,sha256:d0400da9a05d83413233d49529b7944720977973dcd2c07a414ae321786cf9cd,same-leader,59504,59504,59504,58545,104.85746867687811,91.77704305701093,744.5912470961329,779.680185734058,0.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-126be126acb225de,sha256:e269aa89c2f742e1cb984389b9d61769a2bb0bdd346a3ec2662abb0c95aa08d6,sha256:f4fea07dd2e1410e1eb6d2d57de963e66c68942984fb36e95c8f5ee75d20283e,same-leader,66493,66493,66493,68076,239.08904980767835,179.886412262627,326.99178216733395,318.4790771561446,-1.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-179a743995ae3a68,sha256:0148405d070050c973edabbc271011aaa41b1201814530e916766519267645d7,sha256:c38e5f67184e26e7f5e454166fb0d8b493a9692ce5fb0385854a99725aa4773a,same-leader,100636,100636,100636,65828,2113.557762488664,2240.8973867994573,4857.115941913384,4936.101995048779,-5.0,False,uncertain,uncertain,unsupported-or-uncertain,False,False
scan-hop-179a743995ae3a68,sha256:1c037bc83621b48398f3f6f6a7100fe863e29ac5717e2e39cc74315f53d7dea0,sha256:aa66e3f6d70b4a38b0a728c3a5a079b6cf7592717c16592b1ce92cfd0b48e7f4,unreviewed-side,,59015,59015,68393,87.3967740886076,82.19802264313262,152.73184605700445,205.2581887113411,0.0,False,unsupported,supports-joint-leader,supports-joint-leader,False,False
scan-hop-179a743995ae3a68,sha256:521b532c0869fe8a82fe36daf4854ede6c7a95a6ce790efeb496f2cd51623d6f,sha256:e75da2e1c41a540fe6af022e1a194777ad962074f6a731a3a8b39f47878c2aa6,unreviewed-side,,52480,52480,59004,1234.6228222305747,1132.9997504924847,1322.1526911015205,1402.0610568237755,1.0,False,unsupported,supports-joint-runner,supports-joint-runner,False,False
scan-hop-179a743995ae3a68,sha256:69cb66e1454f644b21cfd32a851c416c133a0aa1ccacdd73433858b0b1cc1235,sha256:7c1ddc943192da386b70fa0956a43a9fe5f46922e6fde280c10d82af7abd4019,same-leader,62312,62312,62312,48471,125.74229799431338,105.20199731756536,758.358187240821,663.6601136323936,-2.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-179a743995ae3a68,sha256:79e8d4c980f4617e36453b06eb29510860ee67a2707dfb49c46c3ac8c53661ab,sha256:5d0989dbb189f9de4b532a881341d2f8dc13bd6e0932144145b1f9db9ffbca9d,same-leader,66466,66466,66466,59571,137.87649603269548,134.43113278689265,495.3141307517967,533.8573530867503,-2.0,False,uncertain,uncertain,unsupported-or-uncertain,False,False
scan-hop-179a743995ae3a68,sha256:c736c99785dfe296a7add1212fc55bd2ca052f7b0917840955eb45a0469cb3f5,sha256:e825c1ec055bb41b40c28bbf92ff6100885ff660e0303f3827ed49edf9ece44c,same-leader,68018,68018,68018,100636,84.52186292326628,122.66844155367941,3045.4812918532302,3627.329226187072,-3.0,False,uncertain,uncertain,unsupported-or-uncertain,False,False
scan-hop-179a743995ae3a68,sha256:cd87c249532c98a4d2871ce90cd9000710b2d893bf66ac2482c91c5002573507,sha256:eded33ef845ef0be0a56f982509f1ea91fde6e483f8f5d075a6e7680c0266fda,same-leader,63650,63650,63650,64445,122.84343602689066,119.09881192347147,1084.3064200713877,1175.0898526169913,-2.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-179a743995ae3a68,sha256:ef604f7a4190a91c8eaeaf904a33b3a44d8d3e60022ee8f2077d1dd4cbed3d08,sha256:ae964e7f248e37c72d5ecc87c958f7defe3ee97450ca4408104ec78dcb8d593f,same-leader,100295,100295,100295,100617,1490.740979858907,1634.7181747639802,1776.0285034413737,1968.3068778111274,-5.0,False,uncertain,uncertain,unsupported-or-uncertain,False,False
scan-hop-1a3679fc1c9fd7bf,sha256:45ff882eae495023d2836f9a1647d03bd097d05713373af55c71715c7b5d2354,sha256:dd56ba6ada51f11e2ecbe50e04b8394c6211de63e532a98660349a9ca7e26576,same-leader,62893,62893,62893,64210,231.3496256565091,249.6541439753609,1393.3831144905296,1546.3281400924634,-5.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1a3679fc1c9fd7bf,sha256:7623d56870375043dd2c298385b910a230eae17bc2350bd60cdf43992c27dce4,sha256:7f9f43deb3253b33c54ea98911a53be6952ecf043de7a76f0ea64422ed1eba35,unreviewed-side,,63481,63481,55453,99.91719182205667,116.19040574169087,203.38429174903706,192.68559727858965,-1.0,False,unsupported,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1a3679fc1c9fd7bf,sha256:83cf627b98114bb7f50659775676f29893d1d148842a5ffe9f14e3bad1fedf14,sha256:aaebeea9ff68907e3c59ce357fdcdf8ca19375fe77c40cbaef4d8fc0cf8745d4,same-leader,59353,59353,59353,52851,105.01570118371335,111.00164618912021,2603.6895580589567,2362.820722295356,0.0,False,unsupported,uncertain,unsupported-or-uncertain,False,False
scan-hop-1a3679fc1c9fd7bf,sha256:b164ecdb4ea1ce3094885421a2da22567aeafffab94250127441467debce6474,sha256:24afa1dfa15cd0c4f44360c85f9f972db96f7cc3e9c96cde0fa84d5e96fe7c49,unreviewed-side,,65202,65202,63487,747.0268240937152,532.2278718570584,862.113666255121,710.3319207675667,-2.0,False,unsupported,uncertain,unsupported-or-uncertain,False,False
scan-hop-1a3679fc1c9fd7bf,sha256:beb1d36b913907dfa4949db4656c533f926fa938b6faa157ab6b9cf2bd85dd73,sha256:00e207f585970baaea725ff2259ca17e9ab421ee442d88c80401daf77aab79fc,same-leader,67320,67320,67320,62220,120.55543630679638,118.16294669441955,1212.488131377291,1165.8330741110099,-3.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-1b83fb54ac5af24b,sha256:0a9a492e22f8ef757204ee0747f68d0c96d098627c1881045f1c1ab6e1d7be9b,sha256:6381b3cb0de270331d53c6847003d3891cf21efae2ed4ec0bf5ca7f11b4bac0d,same-leader,59837,59837,59837,62505,109.04709763628429,77.07601965329783,865.8614874019709,612.9352022449104,0.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-1b83fb54ac5af24b,sha256:0e3867308212632f07f0ff487b0c16ab5a30693b2bb8cc2870dcd7370fad7d60,sha256:0ed51541d121fd6273a1355e44c06ae4c416136d3c73cbfb5a8a33d4fa308937,same-leader,66510,66510,66510,66516,84.02129906985655,63.90586618427105,397.54851510734187,480.9146083925792,-1.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-1b83fb54ac5af24b,sha256:1fe4eabef54833c3ee40be42a54ea59f534c09a9c86beadc0b3fd04d6048458d,sha256:52219530009a2bfd8c796e8ef56abeee9db9635e3895487484af593637a7d760,same-leader,66510,66510,66510,66516,41.557862774623146,48.065114248361425,388.05319414346184,481.7195294310672,-1.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-1b83fb54ac5af24b,sha256:44e84cd729a06b24fee56975eb1c3b91d1c1a64c0b3b274c20ac9fe05c7e22d2,sha256:620c7fb55cabfcc9da236301e14e219cdb461df1558722ad9a4db78cfac4a22e,same-leader,66499,66499,66499,67903,130.5820250455128,91.61017325404221,700.6917489245491,793.9408435876392,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1b83fb54ac5af24b,sha256:599a907894302b76b890877368885d75668c9f254af23b3a353715f8ca526c2b,sha256:4ff384f6f59a34eb0e1f49dccb407ed6a2f6844fe68fc13ab4d681d30b3a2a0b,same-leader,66557,66557,66557,63095,111.2507319484709,116.08812876105718,757.381940401533,693.065508398977,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
