joint_state,session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,distinct_paired_visits,rx0_stored_top_id,rx1_stored_top_id,joint_best_number,joint_runner_up_number,joint_train_leader_persisted,joint_best_eval_rms_hz,joint_runner_eval_rms_hz,rx0_individual_best,rx1_individual_best
scored,scan-hop-09d72b8f81edd530,sha256:8d4e45a46fb806f4ea536581369d9d90bfc10f2e93314e1d48ead18c7db81a54,sha256:8e332aaa80e1a0ba2664716981cc4cf1cc41ba709c7774ea3469e78f18e1f99c,different-leader,5,57871,55368,55368,59857,False,2021.417810973195,2345.8448787551556,57871,55368
scored,scan-hop-09d72b8f81edd530,sha256:a602d5ab74cf7da3d6e3dafea061123c955f356bb5ae491b36ea993fd0353c6a,sha256:b2a9322ffb76252a5e0ae2c7405a0efdb678ed7a63b31c6ff59c28ae3f374bde,same-leader,7,66494,66494,66494,68315,True,117.90598516481928,550.5255759173006,66494,66494
scored,scan-hop-09d72b8f81edd530,sha256:bbc3b833da20ada8a0c1d80b02cf08b259c6d1242d8716e01a203b127af59f43,sha256:327b8be23ad5789938baceb32f5a7d94fda3292cc6fda6df59a58ca4a4ef68a3,same-leader,24,68074,68074,68074,62516,True,109.60043524425699,2719.2110267553517,68074,68074
scored,scan-hop-126be126acb225de,sha256:0fe8e960c0cf17d6a417c1eccded16370694cd2d043d0990a09b06707b6426a5,sha256:b4e734f3a08f3262cd013d0b62582ec57ed92b51b7ec48a916227fe6ec6bb20b,same-leader,31,66585,66585,66585,66448,True,100.8950371397135,1756.2230620543628,66585,66585
scored,scan-hop-126be126acb225de,sha256:11ee021ede390306578f06a88a1371a3823cd73fb0dc869602c2afbe913078ed,sha256:4b6f13f43babd8a386434a319a27636e0ee9d7e94b7be1cd3aaf5b5222cc51bc,different-leader,10,68076,66531,66531,68076,True,111.58538471580765,263.51097859051447,68076,66531
scored,scan-hop-126be126acb225de,sha256:75eab9b9cd38f26ed2a39c349963b3934827adbe840f1aa5640ffbc7d85825a8,sha256:4b6f13f43babd8a386434a319a27636e0ee9d7e94b7be1cd3aaf5b5222cc51bc,unreviewed-side,6,,66531,66531,68076,True,106.37974837189998,269.8772783611155,66531,66531
scored,scan-hop-126be126acb225de,sha256:db29ba7878fd6e22cefcd6b32f4915c90904b4b558508fc3ab2625df6a62afcc,sha256:d0400da9a05d83413233d49529b7944720977973dcd2c07a414ae321786cf9cd,same-leader,15,59504,59504,59504,58545,True,91.77704305701093,779.680185734058,59504,59504
scored,scan-hop-126be126acb225de,sha256:e269aa89c2f742e1cb984389b9d61769a2bb0bdd346a3ec2662abb0c95aa08d6,sha256:f4fea07dd2e1410e1eb6d2d57de963e66c68942984fb36e95c8f5ee75d20283e,same-leader,7,66493,66493,66493,68076,True,179.886412262627,318.4790771561446,66493,66493
scored,scan-hop-179a743995ae3a68,sha256:0148405d070050c973edabbc271011aaa41b1201814530e916766519267645d7,sha256:c38e5f67184e26e7f5e454166fb0d8b493a9692ce5fb0385854a99725aa4773a,same-leader,10,100636,100636,100636,65828,True,2240.8973867994573,4936.101995048779,100636,100636
scored,scan-hop-179a743995ae3a68,sha256:1c037bc83621b48398f3f6f6a7100fe863e29ac5717e2e39cc74315f53d7dea0,sha256:aa66e3f6d70b4a38b0a728c3a5a079b6cf7592717c16592b1ce92cfd0b48e7f4,unreviewed-side,3,,59015,59015,68393,True,82.19802264313262,205.2581887113411,68393,59015
