session_id,track,path,duration_s,observation_count,radio_rate_hz_s,best_object_name,best_catalog_number,best_train_rms_hz,best_holdout_rms_hz,linear_holdout_rms_hz,holdout_advantage_hz,scalar_empirical_p,free_affine_best_catalog_number,free_affine_holdout_rms_hz,wide_epoch_best_catalog_number,wide_epoch_adjustment_s,wide_epoch_holdout_rms_hz,adjacent_tle_shape_rms_hz,failed_secure_checks,secure_association
cap-20260821T190912-ffd441556880,T2,stream-0/RX1,17.0,583,-5555.485015770744,STARLINK-33944,64209,4827.037405830698,12518.916604425402,3179.7983865191204,-9339.118217906282,0.5121951219512195,62983,4700.6095490939915,60399,2.0000000000000036,9755.151309932371,264.5666389961845,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models;adjacent_tle_shape_stable,False
cap-20260821T190912-ffd441556880,T3,stream-0/RX1,13.725000000000001,422,-6530.217268672463,STARLINK-11182,60399,1843.010867375787,7916.135119691288,1718.6942392161163,-6197.440880475172,0.04878048780487805,51855,1481.7553706876538,60399,-2.0,7512.777321856471,24.773834542575173,holdout_rms;beats_linear_holdout;epoch_search_interior;identity_stable_across_nuisance_models,False
cap-20260821T190701-7a5d980ec1c6,T1,stream-1/RX1,14.75,1015,-5389.184283822664,STARLINK-11599,63670,2634.8513803897613,8744.498688741762,871.6168656853166,-7872.881823056445,0.5365853658536586,62909,1813.1092353615306,63670,-2.0,8231.243191092843,151.26791997651029,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models;adjacent_tle_shape_stable,False
cap-20260821T190701-7a5d980ec1c6,T2,stream-0/RX1,14.725,920,-5468.874764409509,STARLINK-11599,63670,2797.912412963082,9018.332894437899,753.6975084554701,-8264.635385982428,0.5365853658536586,62909,1596.0055387231475,63670,-2.0,8523.775826034007,149.06916790414505,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models;adjacent_tle_shape_stable,False
cap-20260821T190701-7a5d980ec1c6,T3,stream-1/RX0,7.949999999999998,220,-4974.011126097142,STARLINK-11599,63670,567.4115129191409,3606.6819919698983,1504.5311858341365,-2102.1508061357617,0.5365853658536586,53393,1928.4116187244804,63670,-2.0,3291.311941306497,28.374766853784333,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T183005-a987f97b643c,T1,stream-1/RX1,7.174999999999997,112,-5724.673295228439,STARLINK-33795,63457,2311.1865139855945,4518.309987933534,700.3918562165156,-3817.9181317170187,0.4634146341463415,63457,678.6972011416482,63457,-1.7999999999999998,4490.367476537259,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null,False
cap-20260821T162727-0abff1c9aa8e,T1,stream-1/RX1,16.75,755,-6782.906064374232,STARLINK-37915,69722,5515.979066379341,19803.2530329201,1385.3950467129994,-18417.857986207102,0.4878048780487805,61982,1009.9299214992785,69722,2.0000000000000036,19666.204132935323,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162727-0abff1c9aa8e,T2,stream-1/RX0,13.600000000000001,273,-6926.265228457988,STARLINK-37915,69722,6384.042793420031,18137.839484816213,1571.7366441922802,-16566.102840623935,0.4634146341463415,66925,2471.914971579759,69722,2.0000000000000036,18080.489544420518,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162727-0abff1c9aa8e,T3,stream-0/RX0,9.475,189,-5436.704101271234,STARLINK-37915,69722,2054.3274048292146,6682.927327250858,1993.6397749698026,-4689.2875522810555,0.5609756097560976,66925,2417.1095577307283,69722,2.0000000000000036,6530.920820822311,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162517-85cfb560afe8,T1,stream-0/RX1,20.775,900,-6350.193982723081,STARLINK-37236,68781,5236.699110959533,18215.844467112565,2799.2623420546006,-15416.582125057965,0.36585365853658536,61982,2541.1615534086254,62014,2.0000000000000036,13231.495055459534,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162517-85cfb560afe8,T2,stream-1/RX1,18.300000000000004,728,-6165.560449978982,STARLINK-37236,68781,4339.223898919155,14473.339495785467,2689.5200622444327,-11783.819433541034,0.5121951219512195,63470,3333.4616959757263,68781,2.0000000000000036,14612.844934184193,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
